,col0,col1,col2
0,ZTF18abotcjv,Ia,Ib
1,ZTF18abxxssh,Ia,Ic-broad
2,ZTF19abxfeln,Ia,Ic-broad
3,ZTF19abzrjrg,Ia,Ic-norm
