,ZTF_Name,SNID_Class,Class,Version
100,ZTF18acbznvp,Ia-norm,Ia,ZTF18acbznvp_20181107_P60_v1.ascii
101,ZTF18accbppp,Ia-norm,Ia,ZTF18accbppp_20181104_P60_v1.ascii
102,ZTF18acchvwh,Ia-norm,Ia,ZTF18acchvwh_20181106_P60_v1.ascii
103,ZTF18accnbgw,Ia-norm,Ia,ZTF18accnbgw_20181115_P60_v1.ascii
104,ZTF18accnnyu,Ia-norm,Ia,ZTF18accnnyu_20181107_P60_v1.ascii
105,ZTF18accqcab,Ia-norm,Ia,ZTF18accqcab_20181108_P60_v1.ascii
106,ZTF18accwjiu,Ia-norm,Ia,ZTF18accwjiu_20181108_P60_v1.ascii
107,ZTF18acebefc,Ia-norm,Ia,ZTF18acebefc_20181115_P60_v1.ascii
108,ZTF18acehilk,Ia-norm,Ia,ZTF18acehilk_20181117_P60_v1.ascii
109,ZTF18acemhyb,Ia-norm,Ia,ZTF18acemhyb_20181115_P60_v2.ascii
110,ZTF18aceyjco,Ia-norm,Ia,ZTF18aceyjco_20181126_P60_v2.ascii
111,ZTF18aceynvm,Ia-norm,Ia,ZTF18aceynvm_20181121_P60_v1.ascii
112,ZTF18achbllm,Ia-norm,Ia,ZTF18achbllm_20181115_P60_v1.ascii
113,ZTF18achmxsx,Ia-norm,Ia,ZTF18achmxsx_20181126_P60_v1.ascii
114,ZTF18achyqcq,Ia-norm,Ia,ZTF18achyqcq_20181120_P60_v1.ascii
115,ZTF18acmwptq,Ia-norm,Ia,ZTF18acmwptq_20181126_P60_v1.ascii
116,ZTF18acmxkzj,Ia-norm,Ia,ZTF18acmxkzj_20181128_P60_v1.ascii
117,ZTF18acmyxfx,Ia-norm,Ia,ZTF18acmyxfx_20181127_P60_v2.ascii
118,ZTF18acnbgrb,Ia-norm,Ia,ZTF18acnbgrb_20181116_P60_v1.ascii
119,ZTF18acpscso,Ia-norm,Ia,ZTF18acpscso_20181126_P60_v1.ascii
120,ZTF18acqqyah,Ia-norm,Ia,ZTF18acqqyah_20181204_P60_v2.ascii
121,ZTF18acrcgyb,Ia-norm,Ia,ZTF18acrcgyb_20181212_P60_v2.ascii
122,ZTF18acrygtk,IIP,II,ZTF18acrygtk_20190103_P60_v1.ascii
123,ZTF18acsouxk,Ia-norm,Ia,ZTF18acsouxk_20181216_P60_v1.ascii
124,ZTF18acsovsw,Ia-norm,Ia,ZTF18acsovsw_20181210_P60_v1.ascii
125,ZTF18acsxpmp,Ia-norm,Ia,ZTF18acsxpmp_20181220_P60_v1.ascii
126,ZTF18acsyanq,Ia-norm,Ia,ZTF18acsyanq_20181220_P60_v1.ascii
127,ZTF18acsyzca,Ia-norm,Ia,ZTF18acsyzca_20181223_P60_v1.ascii
128,ZTF18acurlbj,Ia-norm,Ia,ZTF18acurlbj_20181213_P60_v1.ascii
129,ZTF18acurlbt,Ia-norm,Ia,ZTF18acurlbt_20181213_P60_v1.ascii
130,ZTF18acuscrr,Ia-norm,Ia,ZTF18acuscrr_20181212_P60_v2.ascii
131,ZTF18acusrws,Ia-norm,Ia,ZTF18acusrws_20181220_P60_v1.ascii
132,ZTF18acusueb,Ia-norm,Ia,ZTF18acusueb_20181213_P60_v1.ascii
133,ZTF18acvjnst,Ia-norm,Ia,ZTF18acvjnst_20181222_P60_v1.ascii
134,ZTF18acvrfvv,Ia-norm,Ia,ZTF18acvrfvv_20181219_P60_v1.ascii
135,ZTF18acvwchp,Ia-norm,Ia,ZTF18acvwchp_20181219_P60_v1.ascii
136,ZTF18acwutbr,Ia-norm,Ia,ZTF18acwutbr_20181219_P60_v2.ascii
137,ZTF18acwwonp,Ia-norm,Ia,ZTF18acwwonp_20181229_P60_v1.ascii
138,ZTF18acxwtyx,Ia-norm,Ia,ZTF18acxwtyx_20181220_P60_v1.ascii
139,ZTF18acyarki,Ia-norm,Ia,ZTF18acyarki_20181219_P60_v1.ascii
140,ZTF18acyctqi,Ia-norm,Ia,ZTF18acyctqi_20181229_P60_v2.ascii
141,ZTF18aczotxi,Ia-norm,Ia,ZTF18aczotxi_20190104_P60_v1.ascii
142,ZTF18aczzrkn,Ia-norm,Ia,ZTF18aczzrkn_20181231_P60_v1.ascii
143,ZTF18adbadqp,Ia-norm,Ia,ZTF18adbadqp_20190104_P60_v1.ascii
144,ZTF19aadnxnl,IIP,IIP,ZTF19aadnxnl_20190313_P60_v1.ascii
145,ZTF19aaezwmr,Ia-norm,Ia,ZTF19aaezwmr_20190225_P60_v1.ascii
146,ZTF19aahsgka,Ia-norm,Ia,ZTF19aahsgka_20190224_P60_v1.ascii
147,ZTF19aailqli,Ia-norm,Ia,ZTF19aailqli_20190305_P60_v1.ascii
148,ZTF19aajxhwa,Ia-norm,Ia,ZTF19aajxhwa_20190225_P60_v1.ascii
149,ZTF19aakiwxx,Ia-norm,Ia,ZTF19aakiwxx_20190301_P60_v1.ascii
150,ZTF19aakiyly,Ia-norm,Ia,ZTF19aakiyly_20190225_P60_v1.ascii
151,ZTF19aakoasy,Ia-norm,Ia,ZTF19aakoasy_20190226_P60_v1.ascii
152,ZTF19aakpcfi,Ia-norm,Ia,ZTF19aakpcfi_20190305_P60_v1.ascii
153,ZTF19aakpmoy,Ia-norm,Ia,ZTF19aakpmoy_20190225_P60_v1.ascii
154,ZTF19aakxwqu,Ia-norm,Ia,ZTF19aakxwqu_20190304_P60_v1.ascii
155,ZTF19aalemmz,Ia-norm,Ia,ZTF19aalemmz_20190316_P60_v1.ascii
156,ZTF19aalrfoi,Ia-norm,Ia,ZTF19aalrfoi_20190315_P60_v2.ascii
157,ZTF19aalryov,Ia-norm,Ia,ZTF19aalryov_20190305_P60_v1.ascii
158,ZTF19aalxlpp,Ia-norm,Ia,ZTF19aalxlpp_20190317_P60_v1.ascii
159,ZTF19aamgokq,Ia-norm,Ia,ZTF19aamgokq_20190316_P60_v1.ascii
160,ZTF19aamhhgu,Ia-norm,Ia,ZTF19aamhhgu_20190324_P60_v1.ascii
161,ZTF19aamhlnl,Ia-norm,Ia,ZTF19aamhlnl_20190326_P60_v1.ascii
162,ZTF19aamoqxy,Ia-norm,Ia,ZTF19aamoqxy_20190316_P60_v1.ascii
163,ZTF19aamsnhu,Ia-norm,Ia,ZTF19aamsnhu_20190329_P60_v1.ascii
164,ZTF19aanbfaw,Ia-norm,Ia,ZTF19aanbfaw_20190329_P60_v1.ascii
165,ZTF19aangier,Ia-norm,Ia,ZTF19aangier_20190331_P60_v1.ascii
166,ZTF19aanhlxe,Ia-norm,Ia,ZTF19aanhlxe_20190408_P60_v1.ascii
167,ZTF19aanhlzi,Ia-norm,Ia,ZTF19aanhlzi_20190326_P60_v1.ascii
168,ZTF19aanjjhk,Ia-norm,Ia,ZTF19aanjjhk_20190407_P60_v1.ascii
169,ZTF19aanramr,Ia-norm,Ia,ZTF19aanramr_20190401_P60_v1.ascii
170,ZTF19aanuhox,Ia-norm,Ia,ZTF19aanuhox_20190407_P60_v1.ascii
171,ZTF19aanuipr,Ia-norm,Ia,ZTF19aanuipr_20190414_P60_v1.ascii
172,ZTF19aanxgrz,Ia-norm,Ia-91bg,ZTF19aanxgrz_20190411_P60_v1.ascii
173,ZTF19aanxosu,Ia-norm,Ia,ZTF19aanxosu_20190418_P60_v1.ascii
174,ZTF19aaohyqj,Ia-norm,Ia,ZTF19aaohyqj_20190413_P60_v1.ascii
175,ZTF19aaozplq,Ia-norm,Ia,ZTF19aaozplq_20190414_P60_v1.ascii
176,ZTF19aapszzy,Ia-norm,Ia,ZTF19aapszzy_20190415_P60_v1.ascii
177,ZTF19aapuohr,Ia-norm,Ia,ZTF19aapuohr_20190414_P60_v1.ascii
178,ZTF19aapxocr,Ia-norm,Ia,ZTF19aapxocr_20190422_P60_v2.ascii
179,ZTF19aardunx,Ia-norm,Ia,ZTF19aardunx_20190423_P60_v1.ascii
180,ZTF19aatgznl,Ia-norm,Ia,ZTF19aatgznl_20190514_P60_v1.ascii
181,ZTF19aauivtj,Ia-norm,Ia,ZTF19aauivtj_20190607_P60_v1.ascii
182,ZTF19aauxmqj,Ia-norm,Ia,ZTF19aauxmqj_20190603_P60_v1.ascii
183,ZTF19aauxxgk,IIP,II,ZTF19aauxxgk_20190606_P60_v1.ascii
184,ZTF19aavhvkd,Ia-norm,Ia,ZTF19aavhvkd_20190612_P60_v1.ascii
185,ZTF19aavhxby,Ia-norm,Ia,ZTF19aavhxby_20190605_P60_v1.ascii
186,ZTF19aavhypb,Ia-norm,Ia,ZTF19aavhypb_20190606_P60_v1.ascii
187,ZTF19aavhzsc,Ia-norm,Ia,ZTF19aavhzsc_20190531_P60_v1.ascii
188,ZTF19aavissk,Ia-norm,Ia,ZTF19aavissk_20190603_P60_v1.ascii
189,ZTF19aavmlqh,Ia-norm,Ia,ZTF19aavmlqh_20190605_P60_v1.ascii
190,ZTF19aavnwtf,Ia-norm,Ia,ZTF19aavnwtf_20190531_P60_v1.ascii
191,ZTF19aavnwxf,Ia-norm,Ia,ZTF19aavnwxf_20190531_P60_v2.ascii
192,ZTF19aavnwyt,Ia-norm,Ia,ZTF19aavnwyt_20190607_P60_v1.ascii
193,ZTF19aavrcew,IIP,IIP,ZTF19aavrcew_20190531_P60_v1.ascii
194,ZTF19aavrswr,Ia-norm,Ia,ZTF19aavrswr_20190602_P60_v1.ascii
195,ZTF19aavweum,Ia-norm,Ia,ZTF19aavweum_20190531_P60_v1.ascii
196,ZTF19aavxikq,Ia-norm,Ia,ZTF19aavxikq_20190608_P60_v1.ascii
197,ZTF19aavxufb,Ia-norm,Ia,ZTF19aavxufb_20190605_P60_v1.ascii
198,ZTF19aawbsek,Ia-norm,Ia,ZTF19aawbsek_20190604_P60_v1.ascii
199,ZTF19aawfcgp,Ia-norm,Ia,ZTF19aawfcgp_20190605_P60_v1.ascii
200,ZTF19aawgfnn,Ia-norm,Ia,ZTF19aawgfnn_20190607_P60_v1.ascii
201,ZTF19aayveer,Ia-norm,Ia,ZTF19aayveer_20190624_P60_v1.ascii
202,ZTF19aazgpar,Ia-norm,Ia,ZTF19aazgpar_20190616_P60_v1.ascii
203,ZTF19aazlsfj,Ia-norm,Ia,ZTF19aazlsfj_20190624_P60_v1.ascii
204,ZTF19aazzpje,Ia-norm,Ia,ZTF19aazzpje_20190623_P60_v2.ascii
205,ZTF19ababigc,Ia-norm,Ia,ZTF19ababigc_20190625_P60_v1.ascii
206,ZTF19abahvdh,Ia-norm,Ia,ZTF19abahvdh_20190625_P60_v1.ascii
207,ZTF19abakjao,Ia-norm,Ia,ZTF19abakjao_20190701_P60_v1.ascii
208,ZTF19abakjci,Ia-norm,Ia,ZTF19abakjci_20190703_P60_v1.ascii
209,ZTF19abangub,Ia-norm,Ia,ZTF19abangub_20190709_P60_v1.ascii
210,ZTF19abangws,Ia-norm,Ia,ZTF19abangws_20190624_P60_v1.ascii
211,ZTF19abattvp,Ia-norm,Ia,ZTF19abattvp_20190625_P60_v1.ascii
212,ZTF19abcejoa,Ia-91T,Ia,ZTF19abcejoa_20190708_P60_v1.ascii
213,ZTF19abcfzdy,Ia-norm,Ia,ZTF19abcfzdy_20190709_P60_v1.ascii
214,ZTF19abcttsc,Ia-norm,Ia,ZTF19abcttsc_20190711_P60_v1.ascii
215,ZTF19abddqhy,Ia-norm,Ia,ZTF19abddqhy_20190719_P60_v1.ascii
216,ZTF19abdgpuv,Ia-norm,Ia,ZTF19abdgpuv_20190708_P60_v1.ascii
217,ZTF19abdkecj,Ia-norm,Ia,ZTF19abdkecj_20190705_P60_v1.ascii
218,ZTF19abdkfqe,Ia-norm,Ia,ZTF19abdkfqe_20190704_P60_v1.ascii
219,ZTF19abdrwsz,Ia-norm,Ia,ZTF19abdrwsz_20190710_P60_v1.ascii
220,ZTF19abeloei,Ia-norm,Ia,ZTF19abeloei_20190710_P60_v1.ascii
221,ZTF19abetjcx,Ia-norm,Ia,ZTF19abetjcx_20190708_P60_v1.ascii
222,ZTF19abfqhis,Ia-norm,Ia,ZTF19abfqhis_20190711_P60_v1.ascii
