,ZTF_Name,SNID_Class,Class,Version
287,ZTF19acdxlns,Ia-norm,Ia,ZTF19acdxlns_20191027_P60_v2.ascii
288,ZTF19acekbyz,Ia-norm,Ia,ZTF19acekbyz_20191023_P60_v2.ascii
289,ZTF19acetwqh,Ia-norm,Ia,ZTF19acetwqh_20191015_P60_v1.ascii
290,ZTF19acgbkzr,IIP,II,ZTF19acgbkzr_20191026_P60_v1.ascii
291,ZTF19acgcdas,Ia-norm,Ia,ZTF19acgcdas_20191029_P60_v1.ascii
292,ZTF19acgcshq,Ia-norm,Ia,ZTF19acgcshq_20191026_P60_v1.ascii
293,ZTF19acgeabh,Ia-norm,Ia,ZTF19acgeabh_20191023_P60_v1.ascii
294,ZTF19acgouje,Ia-norm,Ia,ZTF19acgouje_20191104_P60_v1.ascii
295,ZTF19achagst,Ia-norm,Ia,ZTF19achagst_20191103_P60_v1.ascii
296,ZTF19achajnc,Ia-norm,Ia,ZTF19achajnc_20191031_P60_v2.ascii
297,ZTF19achaspq,Ia-norm,Ia,ZTF19achaspq_20191029_P60_v1.ascii
298,ZTF19achejoc,Ia-norm,Ia,ZTF19achejoc_20191029_P60_v1.ascii
299,ZTF19achticg,Ia-norm,Ia,ZTF19achticg_20191103_P60_v1.ascii
300,ZTF19acitnck,Ia-norm,Ia,ZTF19acitnck_20191101_P60_v1.ascii
301,ZTF19ackjvjr,Ia-norm,Ia,ZTF19ackjvjr_20191110_P60_v1.ascii
302,ZTF19aclyezb,Ia-norm,Ia,ZTF19aclyezb_20191106_P60_v1.ascii
303,ZTF19acmwkul,Ia-norm,Ia,ZTF19acmwkul_20191113_P60_v1.ascii
304,ZTF19acpgaet,Ia-norm,Ia,ZTF19acpgaet_20191119_P60_v2.ascii
305,ZTF19acrbyzj,Ia-norm,Ia,ZTF19acrbyzj_20191112_P60_v1.ascii
306,ZTF19acrcupt,Ia-norm,Ia,ZTF19acrcupt_20191124_P60_v1.ascii
307,ZTF19acrwzqs,Ia-norm,Ia,ZTF19acrwzqs_20191116_P60_v1.ascii
308,ZTF19actldas,Ia-norm,Ia,ZTF19actldas_20191123_P60_v2.ascii
309,ZTF19aculypc,Ia-norm,Ia,ZTF19aculypc_20191201_P60_v2.ascii
310,ZTF19acuymeu,Ia-norm,Ia,ZTF19acuymeu_20191210_P60_v1.ascii
311,ZTF19acxnemy,Ia-norm,Ia,ZTF19acxnemy_20191210_P60_v1.ascii
312,ZTF19acxphhl,Ia-norm,Ia,ZTF19acxphhl_20191213_P60_v1.ascii
313,ZTF19acxzdht,Ia-norm,Ia,ZTF19acxzdht_20191219_P60_v1.ascii
314,ZTF19acykjcw,Ia-norm,Ia,ZTF19acykjcw_20191221_P60_v1.ascii
315,ZTF19acylgic,Ia-norm,Ia,ZTF19acylgic_20191217_P60_v1.ascii
