,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
1618,ZTF19aapceyj,ZTF19aapceyj_20190419_P60_v1.ascii,53626791,3,3,5,0,0,0
1619,ZTF19aapcnzi,ZTF19aapcnzi_20190427_P60_v1.ascii,53626796,6,0,3,0,2,0
1620,ZTF19aapcvdi,ZTF19aapcvdi_20190502_P200_v1.ascii,53626801,0,5,2,1,1,2
1621,ZTF19aapeime,ZTF19aapeime_20190408_P60_v2.ascii,53626809,1,0,8,1,0,1
1622,ZTF19aapemqu,ZTF19aapemqu_20190411_P60_v1.ascii,53626813,0,10,1,0,0,0
1623,ZTF19aapfmki,ZTF19aapfmki_20190410_LT_v1.ascii,53626818,7,3,0,0,0,1
1624,ZTF19aapfmki,ZTF19aapfmki_20190414_LT_v1.ascii,53626822,1,1,0,7,2,0
1625,ZTF19aapfmki,ZTF19aapfmki_20190415_P60_v1.ascii,53626823,5,0,1,2,1,2
1626,ZTF19aapfnym,ZTF19aapfnym_20190425_P60_v1.ascii,53626830,5,4,0,1,0,0
1627,ZTF19aaphifl,ZTF19aaphifl_20190421_P60_v2.ascii,53626834,9,1,0,0,1,0
1628,ZTF19aaphifl,ZTF19aaphifl_20190505_P60_v1.ascii,53626837,2,0,1,2,4,2
1629,ZTF19aapocyd,ZTF19aapocyd_20190415_P60_v1.ascii,53626844,4,1,3,0,0,3
1630,ZTF19aapreis,ZTF19aapreis_20190607_Lick_3-m_v1.ascii,53626853,0,2,3,4,1,1
1631,ZTF19aaprwye,ZTF19aaprwye_20190525_P60_v2.ascii,53626865,5,1,4,0,0,0
1632,ZTF19aapszzy,ZTF19aapszzy_20190415_P60_v1.ascii,53626869,1,6,1,0,0,3
1633,ZTF19aaptwpu,ZTF19aaptwpu_20190513_P60_v1.ascii,53626873,4,1,0,4,2,0
1634,ZTF19aapwnmb,ZTF19aapwnmb_20190413_P60_v1.ascii,53626884,1,2,3,0,4,0
1635,ZTF19aapygmq,ZTF19aapygmq_20190415_P60_v1.ascii,53626890,1,5,0,1,3,0
1636,ZTF19aapzbjr,ZTF19aapzbjr_20190424_P200_v1.ascii,53626894,0,3,1,4,1,2
1637,ZTF19aaqdkrm,ZTF19aaqdkrm_20190420_P60_v1.ascii,53626902,1,1,0,0,0,8
1638,ZTF19aaqdkrm,ZTF19aaqdkrm_20190420_P60_v2.ascii,53626903,2,0,6,0,3,0
1639,ZTF19aaqxmbq,ZTF19aaqxmbq_20190418_P60_v1.ascii,53626915,4,1,1,2,1,2
1640,ZTF19aaqxmbq,ZTF19aaqxmbq_20190424_P200_v1.ascii,53626916,1,2,2,0,0,6
1641,ZTF19aaraued,ZTF19aaraued_20190602_P200_v1.ascii,53626920,2,3,0,1,0,4
1642,ZTF19aaraxhh,ZTF19aaraxhh_20190423_P60_v1.ascii,53626924,2,0,0,5,2,1
1643,ZTF19aardunx,ZTF19aardunx_20190423_P60_v1.ascii,53626927,2,3,1,4,0,1
1644,ZTF19aarfkch,ZTF19aarfkch_20190428_P60_v1.ascii,53626930,0,2,0,6,2,1
1645,ZTF19aarfkch,ZTF19aarfkch_20190926_Keck1_v1.ascii,53626932,3,0,2,1,1,4
1646,ZTF19aarfnto,ZTF19aarfnto_20190423_P60_v1.ascii,53626935,3,4,2,2,0,0
1647,ZTF19aarfntx,ZTF19aarfntx_20190513_P200_v1.ascii,53626936,2,2,1,1,0,3
1648,ZTF19aarfyvc,ZTF19aarfyvc_20190527_NOT_v1.ascii,53626939,5,0,4,1,1,0
1649,ZTF19aariwfe,ZTF19aariwfe_20190503_P60_v1.ascii,53626971,2,7,1,0,1,0
1650,ZTF19aariwpf,ZTF19aariwpf_20190428_P60_v1.ascii,53626973,1,4,1,0,4,1
1651,ZTF19aarixue,ZTF19aarixue_20190502_P60_v1.ascii,53626976,2,1,1,2,2,3
1652,ZTF19aarmznp,ZTF19aarmznp_20190427_P60_v1.ascii,53626986,8,0,1,0,2,0
1653,ZTF19aarmznp,ZTF19aarmznp_20190504_P60_v1.ascii,53626987,3,3,1,3,0,1
1654,ZTF19aarphwc,ZTF19aarphwc_20190619_P60_v1.ascii,53627000,4,0,0,1,1,5
