ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF18aahpbwz,Ic,0.069,,2458254.5,2459627.18,-1372.68,ZTF18aahpbwz_20180516_NOT_v1.ascii,1
ZTF18aahpbwz,Ic,0.069,,2458255.5,2459627.18,-1371.68,ZTF18aahpbwz_20180517_P200_v1.ascii,1
ZTF18aahpbwz,Ic,0.069,,2458432.5,2459627.18,-1194.68,ZTF18aahpbwz_20181110_Keck1_v1.ascii,1
ZTF18aahptcq,Ia,0.054,0.063542,2458223.5,2459606.23,-1382.73,ZTF18aahptcq_20180415_P60_v1.ascii,1
ZTF18aahptcq,Ia,0.054,0.063542,2458223.5,2459606.23,-1382.73,ZTF18aahptcq_20180415_P60_v2.ascii,1
ZTF18aahfgyz,Ia-91bg,0.011,0.012012,2458218.5,2459600.33,-1381.83,ZTF18aahfgyz_20180410_P200_v1.ascii,1
ZTF18aahfeiy,Ia,0.071,0.071256,2458251.5,2459596.24,-1344.74,ZTF18aahfeiy_20180513_LT_v1.ascii,1
ZTF18aahfeiy,Ia,0.071,0.071256,2458252.5,2459596.24,-1343.74,ZTF18aahfeiy_20180514_P60_v1.ascii,1
ZTF18aahfeiy,Ia,0.071,0.071256,2458255.5,2459596.24,-1340.74,ZTF18aahfeiy_20180517_P200_v1.ascii,1
ZTF18aahfohe,AGN,0.031,,2458251.5,2459957.4,-1705.9,ZTF18aahfohe_20180513_DCT_v1.ascii,0
ZTF18aainvic,II,0.031,,2458254.5,2459648.34,-1393.84,ZTF18aainvic_20180516_P200_v1.ascii,1
ZTF18aainvic,II,0.031,,2458277.5,2459648.34,-1370.84,ZTF18aainvic_20180608_NOT_v1.ascii,1
ZTF18aainvic,II,0.031,,2458291.5,2459648.34,-1356.84,ZTF18aainvic_20180622_TNG_v2.ascii,1
ZTF18aainvic,II,0.031,,2458313.5,2459648.34,-1334.84,ZTF18aainvic_20180714_TNG_v1.ascii,1
ZTF18aainvic,II,0.031,,2458316.5,2459648.34,-1331.84,ZTF18aainvic_20180717_P200_v1.ascii,1
ZTF18aainvic,II,0.031,,2458336.5,2459648.34,-1311.84,ZTF18aainvic_20180806_TNG_v2.ascii,1
ZTF18aainvic,II,0.031,,2458391.5,2459648.34,-1256.84,ZTF18aainvic_20180930_TNG_v1.ascii,1
ZTF18aairuad,Ia,0.061,0.064609,2458224.5,2459609.29,-1384.79,ZTF18aairuad_20180416_LT_v1.ascii,1
ZTF18aahjafd,Ia,0.044,0.035883,2458229.5,2459615.22,-1385.72,ZTF18aahjafd_20180421_APO_v1.ascii,1
ZTF18aajtlbf,Ia-91bg,0.028,0.027989,2458228.5,2459611.48,-1382.98,ZTF18aajtlbf_20180420_P200_v1.ascii,1
ZTF18aahqkbt,TDE,0.051,,2458226.5,2459631.19,-1404.69,ZTF18aahqkbt_20180418_P60_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458251.5,2459631.19,-1379.69,ZTF18aahqkbt_20180513_DCT_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458255.5,2459631.19,-1375.69,ZTF18aahqkbt_20180517_P60_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458257.5,2459631.19,-1373.69,ZTF18aahqkbt_20180519_DCT_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458258.5,2459631.19,-1372.69,ZTF18aahqkbt_20180520_P60_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458374.5,2459631.19,-1256.69,ZTF18aahqkbt_20180913_DCT_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458390.5,2459631.19,-1240.69,ZTF18aahqkbt_20180929_HST_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458391.5,2459631.19,-1239.69,ZTF18aahqkbt_20180930_HST_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458779.5,2459631.19,-851.69,ZTF18aahqkbt_20191023_DCT_v1.ascii,0
ZTF18aaisyyp,SLSN-I,0.132,,2458242.5,2459637.26,-1394.76,ZTF18aaisyyp_20180504_NOT_v1.ascii,1
ZTF18aaisyyp,SLSN-I,0.132,,2458242.5,2459637.26,-1394.76,ZTF18aaisyyp_20180504_P60_v1.ascii,1
ZTF18aaisyyp,SLSN-I,0.132,,2458252.5,2459637.26,-1384.76,ZTF18aaisyyp_20180514_Keck1_v1.ascii,1
ZTF18aaisyyp,SLSN-I,0.132,,2458487.5,2459637.26,-1149.76,ZTF18aaisyyp_20190104_Keck1_v1.ascii,1
ZTF18aaisyyp,SLSN-I,0.132,,2458576.5,2459637.26,-1060.76,ZTF18aaisyyp_20190403_Keck1_v1.ascii,1
ZTF18aahvcby,CLAGN,0.0661,,2458251.5,2459612.26,-1360.76,ZTF18aahvcby_20180513_DCT_v1.ascii,0
ZTF18aakctzv,II,0.038,0.023223,2458281.5,2459630.28,-1348.78,ZTF18aakctzv_20180612_P200_v1.ascii,1
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458229.5,2459603.28,-1373.78,ZTF18aahhzqn_20180421_P60_v1.ascii,1
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458229.5,2459603.28,-1373.78,ZTF18aahhzqn_20180421_P60_v2.ascii,1
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458240.5,2459603.28,-1362.78,ZTF18aahhzqn_20180502_NOT_v1.ascii,1
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458576.5,2459603.28,-1026.78,ZTF18aahhzqn_20190403_Keck1_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458254.5,2459654.21,-1399.71,ZTF18aajqcue_20180516_LT_v2.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458254.5,2459654.21,-1399.71,ZTF18aajqcue_20180516_P200_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458254.5,2459654.21,-1399.71,ZTF18aajqcue_20180516_P200_v2.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458268.5,2459654.21,-1385.71,ZTF18aajqcue_20180530_NOT_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458278.5,2459654.21,-1375.71,ZTF18aajqcue_20180609_P200_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458278.5,2459654.21,-1375.71,ZTF18aajqcue_20180609_P200_v3.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458279.5,2459654.21,-1374.71,ZTF18aajqcue_20180610_LT_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458294.5,2459654.21,-1359.71,ZTF18aajqcue_20180625_NOT_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458316.5,2459654.21,-1337.71,ZTF18aajqcue_20180717_P200_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458487.5,2459654.21,-1166.71,ZTF18aajqcue_20190104_Keck1_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458546.5,2459654.21,-1107.71,ZTF18aajqcue_20190304_Keck1_v1.ascii,1
ZTF18aajqcue,SLSN-I,0.0734,,2458600.5,2459654.21,-1053.71,ZTF18aajqcue_20190427_P200_v1.ascii,1
ZTF18aajpjdi,Ia,0.08,0.074638,2458233.5,2459627.24,-1393.74,ZTF18aajpjdi_20180425_P60_v1.ascii,1
ZTF18aajpjdi,Ia,0.08,0.074638,2458235.5,2459627.24,-1391.74,ZTF18aajpjdi_20180427_LT_v1.ascii,1
ZTF18aahqmsr,Ia,0.064,,2458234.5,2459613.2,-1378.7,ZTF18aahqmsr_20180426_P60_v1.ascii,1
ZTF18aakaaza,AGN,0.059,,2458251.5,2459609.19,-1357.69,ZTF18aakaaza_20180513_DCT_v1.ascii,0
ZTF18aakrnvd,IIn,0.047,0.045349,2458255.5,2459694.22,-1438.72,ZTF18aakrnvd_20180517_NOT_v1.ascii,1
ZTF18aakrnvd,IIn,0.047,0.045349,2458255.5,2459694.22,-1438.72,ZTF18aakrnvd_20180517_P200_v1.ascii,1
ZTF18aakzliv,Ia,0.089,,2458254.5,2459617.51,-1363.01,ZTF18aakzliv_20180516_P200_v1.ascii,1
ZTF18aalcxig,Ia,0.071,,2458254.5,2459629.44,-1374.94,ZTF18aalcxig_20180516_P200_v1.ascii,1
ZTF18aalpdyt,-,,,2458262.5,2459639.26,-1376.76,ZTF18aalpdyt_20180524_P60_v1.ascii,0
ZTF18aakecej,Ia,0.062,0.06647,2458234.5,2459614.21,-1379.71,ZTF18aakecej_20180426_P60_v1.ascii,1
ZTF18aakecej,Ia,0.062,0.06647,2458234.5,2459614.21,-1379.71,ZTF18aakecej_20180426_P60_v2.ascii,1
ZTF18aamigmk,Ia,0.023,,2458229.5,2459627.48,-1397.98,ZTF18aamigmk_20180421_Ekar_v1.ascii,1
ZTF18aapxjzs,-,0.0665,,2458254.5,2459629.45,-1374.95,ZTF18aapxjzs_20180516_P200_v1.ascii,0
ZTF18aapxjzs,-,0.0665,,2458281.5,2459629.45,-1347.95,ZTF18aapxjzs_20180612_P200_v1.ascii,0
ZTF18aahtkze,CLAGN,0.0693,,2458251.5,2460293.28,-2041.78,ZTF18aahtkze_20180513_DCT_v1.ascii,0
ZTF18aaotzhu,Ia,0.069,0.07153,2458244.5,2459624.36,-1379.86,ZTF18aaotzhu_20180506_NTT_v1.ascii,1
ZTF18aaotzhu,Ia,0.069,0.07153,2458257.5,2459624.36,-1366.86,ZTF18aaotzhu_20180519_P60_v1.ascii,1
ZTF18aaovbiy,Ia,0.079,0.077453,2458247.5,2459624.37,-1376.87,ZTF18aaovbiy_20180509_P60_v1.ascii,1
ZTF18aapictz,Ia-91T,0.084,,2458255.5,2459636.22,-1380.72,ZTF18aapictz_20180517_P200_v1.ascii,1
ZTF18aaqehoc,Ia,0.063,0.06236,2458251.5,2459637.31,-1385.81,ZTF18aaqehoc_20180513_DCT_v1.ascii,1
ZTF18aaqcqvr,Ia,0.068,,2458247.5,2459639.31,-1391.81,ZTF18aaqcqvr_20180509_LT_v1.ascii,1
ZTF18aaqcqvr,Ia,0.068,,2458248.5,2459639.31,-1390.81,ZTF18aaqcqvr_20180510_P60_v2.ascii,1
ZTF18aaqcqvr,Ia,0.068,,2458254.5,2459639.31,-1384.81,ZTF18aaqcqvr_20180516_LT_v1.ascii,1
ZTF18aaqcugm,Ia,0.057,0.061865,2458246.5,2459637.26,-1390.76,ZTF18aaqcugm_20180508_LT_v1.ascii,1
ZTF18aaqjovh,Ic-BL,0.053,0.054031,2458247.5,2459630.27,-1382.77,ZTF18aaqjovh_20180509_P60_v1.ascii,1
ZTF18aaqjovh,Ic-BL,0.053,0.054031,2458252.5,2459630.27,-1377.77,ZTF18aaqjovh_20180514_Keck1_v1.ascii,1
ZTF18aaqjovh,Ic-BL,0.053,0.054031,2458253.5,2459630.27,-1376.77,ZTF18aaqjovh_20180515_NOT_v1.ascii,1
ZTF18aaqjovh,Ic-BL,0.053,0.054031,2458277.5,2459630.27,-1352.77,ZTF18aaqjovh_20180608_P200_v1.ascii,1
ZTF18aaqjovh,Ic-BL,0.053,0.054031,2458337.5,2459630.27,-1292.77,ZTF18aaqjovh_20180807_Keck1_v1.ascii,1
ZTF18aaqkoyr,II,0.027,0.023894,2458245.5,2459648.28,-1402.78,ZTF18aaqkoyr_20180507_P200_v1.ascii,1
ZTF18aabilqu,AGN,0.0222,,2458260.5,2460633.25,-2372.75,ZTF18aabilqu_20180522_P200_v1.ascii,0
ZTF18aakaljn,Ia-91T,0.066,0.070028,2458229.5,2459609.19,-1379.69,ZTF18aakaljn_20180421_Ekar_v1.ascii,1
ZTF18aaqqhis,Ia,0.055,,2458252.5,2459639.25,-1386.75,ZTF18aaqqhis_20180514_Keck1_v1.ascii,1
ZTF18aaqskoy,Ia,0.086,,2458257.5,2459637.45,-1379.95,ZTF18aaqskoy_20180519_P60_v1.ascii,1
ZTF18aaqskoy,Ia,0.086,,2458258.5,2459637.45,-1378.95,ZTF18aaqskoy_20180520_P60_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458269.5,2459666.42,-1396.92,ZTF18aapgrxo_20180531_NOT_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458281.5,2459666.42,-1384.92,ZTF18aapgrxo_20180612_P200_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458286.5,2459666.42,-1379.92,ZTF18aapgrxo_20180617_Keck1_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458311.5,2459666.42,-1354.92,ZTF18aapgrxo_20180712_Keck1_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458579.5,2459666.42,-1086.92,ZTF18aapgrxo_20190406_Keck1_v1.ascii,1
ZTF18aapgrxo,SLSN-I,0.2744,,2458666.5,2459666.42,-999.92,ZTF18aapgrxo_20190702_Keck1_v1.ascii,1
ZTF18aaqpjja,Ia,0.059,0.062395,2458260.5,2459629.25,-1368.75,ZTF18aaqpjja_20180522_P200_v1.ascii,1
ZTF18aaqpkvx,Ia,0.086,0.084264,2458260.5,2459629.25,-1368.75,ZTF18aaqpkvx_20180522_P200_v1.ascii,1
ZTF18aaqqoqs,Ia-91T,0.082,,2458248.5,2459643.27,-1394.77,ZTF18aaqqoqs_20180510_APO_v1.ascii,1
ZTF18aaqqoqs,Ia-91T,0.082,,2458255.5,2459643.27,-1387.77,ZTF18aaqqoqs_20180517_P200_v1.ascii,1
ZTF18aaqznkg,CV,,,2458248.5,2459626.46,-1377.96,ZTF18aaqznkg_20180510_P60_v1.ascii,0
ZTF18aaqznkg,CV,,,2458248.5,2459626.46,-1377.96,ZTF18aaqznkg_20180510_P60_v2.ascii,0
ZTF18aaqznkg,CV,,,2458252.5,2459626.46,-1373.96,ZTF18aaqznkg_20180514_Keck1_v1.ascii,0
ZTF18aaraifg,CV,,,2458248.5,2459626.49,-1377.99,ZTF18aaraifg_20180510_P60_v1.ascii,0
ZTF18aaraifg,CV,,,2458252.5,2459626.49,-1373.99,ZTF18aaraifg_20180514_LT_v1.ascii,0
ZTF18aaraifg,CV,,,2458255.5,2459626.49,-1370.99,ZTF18aaraifg_20180517_P200_v1.ascii,0
ZTF18aaqedfj,Ia,0.066,0.062307,2458255.5,2459624.3,-1368.8,ZTF18aaqedfj_20180517_P200_v1.ascii,1
ZTF18aaqedfj,Ia,0.066,0.062307,2458255.5,2459624.3,-1368.8,ZTF18aaqedfj_20180517_P200_v2.ascii,1
ZTF18aaqgadq,Ia,0.073,0.071919,2458254.5,2459637.3,-1382.8,ZTF18aaqgadq_20180516_P200_v1.ascii,1
ZTF18aaqgadq,Ia,0.073,0.071919,2458254.5,2459637.3,-1382.8,ZTF18aaqgadq_20180516_P60_v1.ascii,1
ZTF18aaqkqxi,Ia,0.079,0.076048,2458255.5,2459630.27,-1374.77,ZTF18aaqkqxi_20180517_P200_v1.ascii,1
ZTF18aarbify,Ia,0.064,0.081056,2458257.5,2459630.19,-1372.69,ZTF18aarbify_20180519_P60_v1.ascii,1
ZTF18aarbixk,-,,,2458259.5,2459627.19,-1367.69,ZTF18aarbixk_20180521_P60_v2.ascii,0
ZTF18aarcchg,ambiguous,0.035623,,2458254.5,2459648.26,-1393.76,ZTF18aarcchg_20180516_P200_v1.ascii,1
