Version,Resolution,Superfit_c,Superfit_z,ZTF_Name,Zooniverse_c,rlap,agreement
ZTF18adbnbqt_20190104_P60_v1.ascii,,,,ZTF18adbnbqt,II-norm,5.58,7.0
ZTF18adfntwj_20191003_P200_v1.ascii,,,,ZTF18adfntwj,Gal,13.75,17.0
ZTF19aaabzpt_20190118_Keck2_v1.ascii,ZTF19aaabzpt_20190118_Keck2_v1_10,IIb-flash,0.008740000000000001,,,,
ZTF19aaafica_20190118_Keck2_v1.ascii,ZTF19aaafica_20190118_Keck2_v1_10,IIb-flash,0.019,,,,
ZTF19aaajbmv_20190112_P200_v1.ascii,,,,ZTF19aaajbmv,Ia-norm,11.67,10.0
ZTF19aablual_20190113_UH88_v1.ascii,,,,ZTF19aablual,Ia-91bg,15.84,10.0
ZTF19aacgslb_20190110.ascii,ZTF19aacgslb_20190110_Lijiang-2,Ia-norm,0.004294,,,,
ZTF19aadphcr_20190126_P200_v1.ascii,,,,ZTF19aadphcr,Ia-csm,7.46,5.0
ZTF19aadyppr_20190220_P200_v1.ascii,ZTF19aadyppr_20190220_P200_v1_10,IIb-flash,0.001425,,,,
ZTF19aaeoqsi_20190406_Keck1_v1.ascii,,,,ZTF19aaeoqsi,Gal,13.95,9.0
ZTF19aaephty_20190204_UH88_v1.ascii,,,,ZTF19aaephty,Ia-norm,13.13,9.0
ZTF19aaflhvf_20190212_P200_v1.ascii,,,,ZTF19aaflhvf,Gal,10.04,10.0
ZTF19aaflrxz_20190212_P200_v1.ascii,,,,ZTF19aaflrxz,Gal,16.27,10.0
ZTF19aagqkrq_20190303_Keck2_v1.ascii,ZTF19aagqkrq_20190303_Keck2_v1_10,IIb-flash,0.00285,,,,
ZTF19aailpwl_20200328_P60_v1.ascii,ZTF19aailpwl_20200328_P60_v1_10,SLSN-II,0.392301,,,,
ZTF19aailsex_20190212_P200_v1.ascii,,,,ZTF19aailsex,II-norm,7.19,8.0
ZTF19aaimcgv_20190403_Keck1_v1.ascii,,,,ZTF19aaimcgv,Gal,27.35,8.0
ZTF19aaiqetk_20190212_P200_v1.ascii,,,,ZTF19aaiqetk,Gal,4.65,6.0
ZTF19aakiyfn_20190225_P200_v1.ascii,,,,ZTF19aakiyfn,II-norm,18.38,10.0
ZTF19aakltef_20190306_Keck1_v1.ascii,,,,ZTF19aakltef,II-norm,19.47,10.0
ZTF19aakpxfm_20190319_P60_v1.ascii,,,,ZTF19aakpxfm,Ia-91T,5.8,9.0
ZTF19aakpxfm_20190406_P60_v1.ascii,,,,ZTF19aakpxfm,II-norm,5.24,6.0
ZTF19aakswrb_20200609_DCT_v1.ascii,ZTF19aakswrb_20200609_DCT_v1_10,TDE H,0.1206,,,,
ZTF19aalclok_20190403_Keck1_v1.ascii,,,,ZTF19aalclok,Ic-norm,12.29,6.0
ZTF19aalfsrm_20190315_P200_v1.ascii,,,,ZTF19aalfsrm,Ic-BL,8.51,6.0
ZTF19aalfsrm_20190706_Keck1_v1.ascii,,,,ZTF19aalfsrm,Ic-norm,16.18,5.0
ZTF19aalkxhz_20190315_P200_v1.ascii,,,,ZTF19aalkxhz,AGN,14.5,5.0
ZTF19aalkxhz_20190403_Keck1_v1.ascii,,,,ZTF19aalkxhz,Gal,38.01,4.0
ZTF19aalofwy_20190603_Keck1_v1.ascii,,,,ZTF19aalofwy,Gal,32.17,5.0
ZTF19aalouag_20200323_Keck1_v1.ascii,ZTF19aalouag_20200323_Keck1_v1_10,II,0.057645,,,,
ZTF19aalrfoi_20190315_P60_v1.ascii,,,,ZTF19aalrfoi,Ia-norm,10.94,6.0
ZTF19aalrfoi_20190315_P60_v2.ascii,,,,ZTF19aalrfoi,Ia-norm,10.58,4.0
ZTF19aalryov_20190305_P60_v1.ascii,,,,ZTF19aalryov,Ia-norm,11.79,9.0
ZTF19aalwfqj_20190316_P200_v1.ascii,,,,ZTF19aalwfqj,Ia-91T,5.6,4.0
ZTF19aalwfqj_20190403_Keck1_v1.ascii,,,,ZTF19aalwfqj,Ic-norm,15.83,5.0
ZTF19aalwqqa_20190315_P200_v1.ascii,,,,ZTF19aalwqqa,Gal,27.48,6.0
ZTF19aalwqqa_20190403_Keck1_v1.ascii,,,,ZTF19aalwqqa,Gal,21.35,8.0
ZTF19aalycsv_20190315_P200_v1.ascii,,,,ZTF19aalycsv,Gal,13.04,4.0
ZTF19aalycsv_20190403_Keck1_v1.ascii,,,,ZTF19aalycsv,II-norm,16.33,5.0
ZTF19aalypsi_20190307_Keck1_v1.ascii,,,,ZTF19aalypsi,Ia-91bg,8.18,10.0
ZTF19aalypsi_20190315_P200_v1.ascii,,,,ZTF19aalypsi,Ia-norm,7.04,5.0
ZTF19aalypsi_20190403_Keck1_v1.ascii,,,,ZTF19aalypsi,Gal,8.86,14.0
ZTF19aamkowf_20190316_P200_v1.ascii,,,,ZTF19aamkowf,QSO,8.63,6.0
ZTF19aamkowf_20190406_Keck1_v1.ascii,,,,ZTF19aamkowf,II-norm,13.16,4.0
ZTF19aammewd_20190312.ascii,ZTF19aammewd_20190312_Lijiang-2,Ia-norm,0.057999999999999996,,,,
ZTF19aamohrk_20190327_P60_v1.ascii,,,,ZTF19aamohrk,Ia-91T,5.32,5.0
ZTF19aamrnyv_20190318_P60_v1.ascii,,,,ZTF19aamrnyv,Ic-BL,6.46,9.0
ZTF19aamrnyv_20190318_P60_v2.ascii,,,,ZTF19aamrnyv,Gal,4.27,9.0
ZTF19aamrnyv_20190326_P60_v1.ascii,,,,ZTF19aamrnyv,Ia-91T,4.6,10.0
ZTF19aamsetj_20190524_Keck2_v1.ascii,ZTF19aamsetj_20190524_Keck2_v1_10,IIb-flash,0.0261345,,,,
ZTF19aancoel_20190406_Keck1_v1.ascii,,,,ZTF19aancoel,Ic-BL,12.39,6.0
ZTF19aaneseo_20190423_P60_v1.ascii,ZTF19aaneseo_20190423_P60_v1_10,II,0.06384,,,,
ZTF19aanfkyc_20190403_Keck1_v1.ascii,,,,ZTF19aanfkyc,II-norm,27.1,37.0
ZTF19aanfsmc_20190406_Keck1_v1.ascii,,,,ZTF19aanfsmc,Ib-norm,17.82,7.0
ZTF19aanfsmc_20200218_Keck1_v1.ascii,,,,ZTF19aanfsmc,Gal,20.06,8.0
ZTF19aanftyh_20190413_P200_v1.ascii,,,,ZTF19aanftyh,Gal,12.46,9.0
ZTF19aanijyq_20190406_Keck1_v1.ascii,,,,ZTF19aanijyq,II-norm,23.62,8.0
ZTF19aanikcj_20190413_P200_v1.ascii,,,,ZTF19aanikcj,Ib-norm,8.61,9.0
ZTF19aaniqrr_20200720_Keck1_v1.ascii,ZTF19aaniqrr_20200720_Keck1_v1_10,Ic-BL,0.49305,,,,
ZTF19aankiwf_20190424_P200_v1.ascii,,,,ZTF19aankiwf,Gal,13.94,6.0
ZTF19aanqzle_20190330_P60_v1.ascii,,,,ZTF19aanqzle,IIb,4.05,3.0
ZTF19aanqzle_20190406_Keck1_v1.ascii,,,,ZTF19aanqzle,II-norm,14.37,8.0
ZTF19aanrrgh_20190413_P200_v1.ascii,,,,ZTF19aanrrgh,Gal,17.12,7.0
ZTF19aaodkhk_20190402_P60_v1.ascii,,,,ZTF19aaodkhk,Ic-SLSN,4.35,7.0
ZTF19aaojovs_20190413_P200_v1.ascii,,,,ZTF19aaojovs,IIb,9.1,6.0
ZTF19aaoyglz_20190410_P60_v1.ascii,,,,ZTF19aaoyglz,Ia-91bg,5.72,5.0
ZTF19aaoyglz_20190410_P60_v2.ascii,,,,ZTF19aaoyglz,Ia-norm,4.34,3.0
ZTF19aaoyglz_20190420_P60_v1.ascii,,,,ZTF19aaoyglz,II-norm,4.99,7.0
ZTF19aaoyglz_20190420_P60_v2.ascii,,,,ZTF19aaoyglz,Ic-BL,5.11,3.0
ZTF19aapadxs_20190704_Keck1_v1.ascii,ZTF19aapadxs_20190704_Keck1_v1_10,II-flash,0.03675,,,,
ZTF19aapclqk_20190424_P200_v1.ascii,,,,ZTF19aapclqk,Gal,6.52,8.0
ZTF19aapfmrf_20190413_P200_v1.ascii,,,,ZTF19aapfmrf,Gal,11.37,10.0
ZTF19aaphifl_20190524_Keck2_v1.ascii,ZTF19aaphifl_20190524_Keck2_v1_10,IIb-flash,0.027075,,,,
ZTF19aaprwye_20190503_P60_v1.ascii,,,,ZTF19aaprwye,Ia-91bg,5.82,1.0
ZTF19aaprwye_20190525_P60_v1.ascii,,,,ZTF19aaprwye,Gal,14.05,10.0
ZTF19aaprwye_20190525_P60_v2.ascii,,,,ZTF19aaprwye,IIb,9.88,4.0
ZTF19aapwnmb_20190603_Keck1_v1.ascii,ZTF19aapwnmb_20190603_Keck1_v1_10,ILRT,0.095,,,,
ZTF19aapygmq_20190413_P60_v1.ascii,,,,ZTF19aapygmq,Ibn,6.57,2.0
ZTF19aapygmq_20190415_P60_v1.ascii,,,,ZTF19aapygmq,Ic-SLSN,9.14,6.0
ZTF19aapygmq_20190415_P60_v2.ascii,,,,ZTF19aapygmq,Ic-BL,4.11,4.0
ZTF19aapygmq_20190416_WHT_v1.ascii,,,,ZTF19aapygmq,II-norm,7.18,6.0
ZTF19aapygmq_20190424_P200_v1.ascii,,,,ZTF19aapygmq,II-norm,14.96,9.0
ZTF19aaqhcgm_20190424_P60_v1.ascii,,,,ZTF19aaqhcgm,Ib-norm,3.76,5.0
ZTF19aaqxmbq_20190418_P60_v1.ascii,,,,ZTF19aaqxmbq,Ic-norm,3.75,3.0
ZTF19aaqxmbq_20190424_P200_v1.ascii,,,,ZTF19aaqxmbq,IIn,10.74,6.0
ZTF19aarfeok_20190424_P200_v1.ascii,,,,ZTF19aarfeok,IIb,17.38,9.0
ZTF19aarfntx_20190513_P200_v1.ascii,,,,ZTF19aarfntx,Gal,15.94,4.0
ZTF19aarinqi_20190513_P200_v1.ascii,,,,ZTF19aarinqi,Gal,25.89,6.0
ZTF19aarphwc_20190907_Keck2_v1.ascii,ZTF19aarphwc_20190907_Keck2_v1_10,IIb-flash,0.29041500000000003,,,,
ZTF19aarqyyq_20190513_P200_v3.ascii,,,,ZTF19aarqyyq,Ib-norm,8.44,8.0
ZTF19aarqyyq_20190513_P200_v4.ascii,,,,ZTF19aarqyyq,Ib-norm,8.44,6.0
ZTF19aarqyyq_20190513_P200_v5.ascii,,,,ZTF19aarqyyq,Ib-norm,8.44,4.0
ZTF19aarqyyq_20190513_P200_v6.ascii,,,,ZTF19aarqyyq,Ib-norm,8.44,8.0
ZTF19aarqyyq_20190513_P200_v7.ascii,,,,ZTF19aarqyyq,Ib-norm,8.44,11.0
ZTF19aarqyyq_20190924_Keck1_v2.ascii,,,,ZTF19aarqyyq,Gal,13.15,7.0
ZTF19aarrdoz_20190604_Keck1_v1.ascii,,,,ZTF19aarrdoz,Ic-norm,12.46,5.0
ZTF19aarrdoz_20200218_Keck1_v1.ascii,,,,ZTF19aarrdoz,Gal,14.89,8.0
ZTF19aarsjdb_20190502_P60_v1.ascii,,,,ZTF19aarsjdb,II-norm,4.82,5.0
ZTF19aarxrem_20190704_Keck1_v1.ascii,ZTF19aarxrem_20190704_Keck1_v1_10,TDE H,0.0456,,,,
ZTF19aarzaod_20190425_SALT_v1.ascii,,,,ZTF19aarzaod,Ia-norm,6.03,7.0
ZTF19aasqseq_20190513_P200_v1.ascii,,,,ZTF19aasqseq,IIb,9.7,4.0
ZTF19aasqseq_20190604_Keck1_v1.ascii,,,,ZTF19aasqseq,Gal,7.78,2.0
ZTF19aasqseq_20200124_Keck1_v1.ascii,,,,ZTF19aasqseq,Ic-SLSN,26.39,5.0
ZTF19aasqseq_20200124_Keck1_v2.ascii,,,,ZTF19aasqseq,Ic-SLSN,12.1,5.0
ZTF19aatesgp_20200124_Keck1_v8.ascii,ZTF19aatesgp_20200124_Keck1_v8_10,Ia-02cx like,0.004085,,,,
ZTF19aatheus_20190524_Keck2_v1.ascii,ZTF19aatheus_20190524_Keck2_v1_10,IIb-flash,0.017442,,,,
ZTF19aatlmbo_20190524_Keck2_v1.ascii,ZTF19aatlmbo_20190524_Keck2_v1_10,IIb-flash,0.0073625,,,,
ZTF19aatmadu_20190513_P200_v1.ascii,,,,ZTF19aatmadu,II-norm,14.98,10.0
ZTF19aatqzrb_20190504_P60_v1.ascii,,,,ZTF19aatqzrb,Ia-91bg,4.98,4.0
ZTF19aatqzrb_20190513_P200_v1.ascii,,,,ZTF19aatqzrb,Gal,6.9,7.0
ZTF19aauihxr_20190524_P200_v1.ascii,,,,ZTF19aauihxr,Gal,15.44,7.0
ZTF19aauojid_20190607_P60_v1.ascii,,,,ZTF19aauojid,II-norm,16.05,6.0
ZTF19aavbkdp_20190704_Keck1_v1.ascii,,,,ZTF19aavbkdp,Ib-norm,11.66,7.0
ZTF19aavbkdp_20190704_Keck1_v2.ascii,,,,ZTF19aavbkdp,Ic-norm,16.16,5.0
ZTF19aaviqnb_20190603_P60_v3.ascii,,,,ZTF19aaviqnb,Ia-91T,5.01,6.0
ZTF19aavjbyl_20190704_Keck1_v1.ascii,,,,ZTF19aavjbyl,IIb,5.46,5.0
ZTF19aavjvkh_20190604_P200_v2.ascii,,,,ZTF19aavjvkh,Ia-csm,10.64,6.0
ZTF19aavoayk_20190604_P200_v2.ascii,,,,ZTF19aavoayk,Ib-norm,11.77,5.0
ZTF19aavoayk_20190926_Keck1_v2.ascii,,,,ZTF19aavoayk,Ic-BL,12.36,7.0
ZTF19aavotnx_20190604_P200_v1.ascii,,,,ZTF19aavotnx,Gal,14.42,10.0
ZTF19aavotnx_20190626_P200_v1.ascii,,,,ZTF19aavotnx,II-norm,8.33,9.0
ZTF19aavvygo_20190618_P60_v1.ascii,,,,ZTF19aavvygo,Ic-SLSN,7.2,2.0
ZTF19aavvygo_20190701_P200_v1.ascii,,,,ZTF19aavvygo,Ia,6.92,0.0
ZTF19aavvygo_20190701_P200_v2.ascii,,,,ZTF19aavvygo,II-norm,7.38,2.0
ZTF19aavweog_20190604_P200_v1.ascii,,,,ZTF19aavweog,Gal,15.75,9.0
ZTF19aavxgur_20190701_P200_v2.ascii,,,,ZTF19aavxgur,Gal,11.35,5.0
ZTF19aawfbtg_20190907_Keck2_v2.ascii,ZTF19aawfbtg_20190907_Keck2_v2_10,IIb-flash,0.08227000000000001,,,,
ZTF19aawfbzn_20190603_P60_v1.ascii,,,,ZTF19aawfbzn,Ia-norm,11.8,10.0
ZTF19aawfezk_20190704_Keck1_v1.ascii,,,,ZTF19aawfezk,Ic-norm,19.21,9.0
ZTF19aawhlcn_20190604_P200_v2.ascii,,,,ZTF19aawhlcn,Ia-norm,7.54,2.0
ZTF19aawhlcn_20190704_Keck1_v1.ascii,,,,ZTF19aawhlcn,II-norm,6.09,7.0
ZTF19aawmcjt_20200224_P60_v1.ascii,,,,ZTF19aawmcjt,TDE,10.3,10.0
ZTF19aaxeerg_20190701_P200_v1.ascii,,,,ZTF19aaxeerg,LBV,5.27,5.0
ZTF19aaxeerg_20190704_Keck1_v1.ascii,,,,ZTF19aaxeerg,Ia-norm,8.12,7.0
ZTF19aaxivit_20190704_Keck1_v1.ascii,,,,ZTF19aaxivit,Gal,26.02,9.0
ZTF19aaxkzts_20190704_Keck1_v1.ascii,,,,ZTF19aaxkzts,Ib-norm,14.26,9.0
ZTF19aaxolvo_20190626_P200_v1.ascii,,,,ZTF19aaxolvo,Ia,5.56,0.0
ZTF19aaxqwjx_20190701_P200_v1.ascii,,,,ZTF19aaxqwjx,II-norm,12.5,5.0
ZTF19aayimmc_20190927_P60_v1.ascii,,,,ZTF19aayimmc,II-norm,8.41,8.0
ZTF19aayimmc_20191003_P200_v1.ascii,,,,ZTF19aayimmc,QSO,12.46,7.0
ZTF19aaymcet_20200624_P60_v1.ascii,,,,ZTF19aaymcet,Gal,12.63,10.0
ZTF19aaymcet_20200624_P60_v2.ascii,,,,ZTF19aaymcet,Gal,4.47,5.0
ZTF19aaywatp_20190701_P200_v1.ascii,,,,ZTF19aaywatp,Gal,10.93,7.0
ZTF19aazpnlc_20190709_P60_v1.ascii,,,,ZTF19aazpnlc,Ia-norm,7.16,4.0
ZTF19aazppeu_20190704_Keck1_v1.ascii,,,,ZTF19aazppeu,Ia-91bg,10.71,5.0
ZTF19abaalsl_20190620_P60_v1.ascii,,,,ZTF19abaalsl,II-norm,6.59,11.0
ZTF19abaamsd_20190620_P60_v1.ascii,,,,ZTF19abaamsd,Gal,6.56,7.0
ZTF19abaamsd_20190620_P60_v2.ascii,,,,ZTF19abaamsd,Ic-norm,6.08,4.0
ZTF19abaamsd_20190623_P60_v1.ascii,,,,ZTF19abaamsd,Gal,6.88,6.0
ZTF19abaamsd_20190623_P60_v2.ascii,,,,ZTF19abaamsd,II-norm,7.26,9.0
ZTF19abaexlf_20190701_P200_v1.ascii,,,,ZTF19abaexlf,Ic-norm,3.7,4.0
ZTF19abaexlf_20190704_Keck1_v1.ascii,,,,ZTF19abaexlf,Ic-BL,6.59,7.0
ZTF19abaexlf_20200218_Keck1_v1.ascii,,,,ZTF19abaexlf,Ib-norm,5.15,2.0
ZTF19abalbim_20190704_Keck1_v1.ascii,,,,ZTF19abalbim,Ia-02cx,10.97,7.0
ZTF19abalbim_20200322_Keck1_v2.ascii,,,,ZTF19abalbim,Ic-BL,5.11,7.0
ZTF19abalbim_20200322_Keck1_v3.ascii,,,,ZTF19abalbim,Ia-norm,5.74,3.0
ZTF19abalqkq_20190626_P200_v1.ascii,,,,ZTF19abalqkq,Ic-norm,8.16,7.0
ZTF19abbyuxo_20190707_P60_v1.ascii,,,,ZTF19abbyuxo,Gal,6.41,5.0
ZTF19abctzkc_20190831_P200_v1.ascii,,,,ZTF19abctzkc,IIn,20.2,5.0
ZTF19abcupbu_20190704_P200_v1.ascii,,,,ZTF19abcupbu,Ic-BL,6.85,4.0
ZTF19abcupbu_20190711_P60_v1.ascii,,,,ZTF19abcupbu,Ia-norm,5.16,6.0
ZTF19abdbqgw_20190703_P200_v1.ascii,,,,ZTF19abdbqgw,II-norm,15.66,10.0
ZTF19abdkfxp_20190704_Keck1_v1.ascii,,,,ZTF19abdkfxp,Ia-norm,20.27,10.0
ZTF19abdkgmf_20190809_P200_v1.ascii,,,,ZTF19abdkgmf,II-norm,9.43,9.0
ZTF19abdspop_20190715_P60_v1.ascii,,,,ZTF19abdspop,Ic-BL,4.82,4.0
ZTF19abdspop_20190831_Keck1_v1.ascii,,,,ZTF19abdspop,Gal,29.41,8.0
ZTF19abdsstx_20191010_P60_v1.ascii,,,,ZTF19abdsstx,Ia-norm,4.34,3.0
ZTF19abdsstx_20191010_P60_v2.ascii,,,,ZTF19abdsstx,II-norm,7.85,10.0
ZTF19abehwhj_20190709_Lick_3-m_v1.ascii,,,,ZTF19abehwhj,II-norm,5.82,7.0
ZTF19abejaiy_20190711_P60_v1.ascii,,,,ZTF19abejaiy,Ib-norm,5.71,4.0
ZTF19abejaiy_20190711_P60_v2.ascii,,,,ZTF19abejaiy,Ib-norm,6.07,5.0
ZTF19abejaiy_20190712_P60_v1.ascii,,,,ZTF19abejaiy,IIb,5.06,4.0
ZTF19abfasex_20190713_P60_v1.ascii,,,,ZTF19abfasex,Gal,4.4,9.0
ZTF19abfpupe_20190804_P200_v1.ascii,,,,ZTF19abfpupe,Ia-norm,14.67,9.0
ZTF19abfrmvl_20190804_P200_v1.ascii,,,,ZTF19abfrmvl,M-star,10.13,7.0
ZTF19abfrmvl_20190831_Keck1_v1.ascii,,,,ZTF19abfrmvl,II-norm,24.35,10.0
ZTF19abfwfjd_20190715_P60_v1.ascii,,,,ZTF19abfwfjd,IIn,4.97,5.0
ZTF19abfwfjd_20190715_P60_v2.ascii,,,,ZTF19abfwfjd,Ib-norm,4.5,4.0
ZTF19abfwfjd_20190729_P60_v1.ascii,,,,ZTF19abfwfjd,LBV,5.29,7.0
ZTF19abfwfjd_20190729_P60_v2.ascii,,,,ZTF19abfwfjd,Ia-norm,5.24,7.0
ZTF19abgbbzy_20190723_P60_v1.ascii,,,,ZTF19abgbbzy,Gal,9.1,5.0
ZTF19abgbbzy_20190723_P60_v2.ascii,,,,ZTF19abgbbzy,Ic-norm,8.75,7.0
ZTF19abgkpca_20190804_P200_v1.ascii,,,,ZTF19abgkpca,IIb,14.47,6.0
ZTF19abgplqh_20190804_P200_v1.ascii,,,,ZTF19abgplqh,II-norm,8.31,3.0
ZTF19abgqjyh_20190726_P60_v1.ascii,,,,ZTF19abgqjyh,II-norm,10.92,8.0
ZTF19abgqruu_20190801_P200_v1.ascii,,,,ZTF19abgqruu,IIb,6.68,8.0
ZTF19abgqruu_20190831_Keck1_v1.ascii,,,,ZTF19abgqruu,Ib-norm,8.97,4.0
ZTF19abgqruu_20190924_Keck1_v1.ascii,,,,ZTF19abgqruu,Ib-norm,13.7,8.0
ZTF19abgqruu_20190924_Keck1_v2.ascii,,,,ZTF19abgqruu,Ib-norm,13.7,10.0
ZTF19abgqruu_20200124_Keck1_v1.ascii,,,,ZTF19abgqruu,Ic-norm,17.39,9.0
ZTF19abgqruu_20200124_Keck1_v2.ascii,,,,ZTF19abgqruu,Ic-norm,17.29,7.0
ZTF19abgqruu_20200623_Keck1_v1.ascii,,,,ZTF19abgqruu,Ic-norm,10.76,7.0
ZTF19abgurml_20190727_P60_v1.ascii,,,,ZTF19abgurml,Ia-norm,8.35,5.0
ZTF19abhhdwf_20190804_P200_v1.ascii,,,,ZTF19abhhdwf,Ic-BL,11.25,8.0
ZTF19abhhdwf_20200124_Keck1_v1.ascii,,,,ZTF19abhhdwf,Ia-91T,4.56,3.0
ZTF19abifdsd_20190728_P60_v1.ascii,,,,ZTF19abifdsd,Ic-BL,4.66,10.0
ZTF19abiietd_20190812_P200_v1.ascii,ZTF19abiietd_20190812_P200_v1_10,IIb-flash,0.0152,,,,
ZTF19abinywu_20190809_P200_v1.ascii,,,,ZTF19abinywu,Gal,31.26,10.0
ZTF19abiqhwm_20190804_P200_v1.ascii,,,,ZTF19abiqhwm,IIn,6.85,4.0
ZTF19abitskw_20190801_P200_v1.ascii,,,,ZTF19abitskw,Gal,8.66,7.0
ZTF19abitskw_20190804_P200_v1.ascii,,,,ZTF19abitskw,II-norm,8.08,8.0
ZTF19abiyyun_20190808_P60_v1.ascii,,,,ZTF19abiyyun,IIn,9.83,5.0
ZTF19abiyyun_20190808_P60_v2.ascii,,,,ZTF19abiyyun,IIn,9.95,6.0
ZTF19abiyyun_20190809_P200_v1.ascii,,,,ZTF19abiyyun,Ic-SLSN,14.64,4.0
ZTF19abiyyun_20190811_P60_v1.ascii,,,,ZTF19abiyyun,AGN,10.69,6.0
ZTF19abjaqvv_20190809_P200_v1.ascii,,,,ZTF19abjaqvv,II-norm,6.9,3.0
ZTF19abjgdet_20190815_P60_v1.ascii,,,,ZTF19abjgdet,II-norm,4.94,6.0
ZTF19abjgdet_20190817_P60_v1.ascii,,,,ZTF19abjgdet,II-norm,4.37,6.0
ZTF19abjgdet_20190924_Keck1_v1.ascii,,,,ZTF19abjgdet,II-norm,35.2,10.0
ZTF19abkinmd_20190907_P200_v1.ascii,,,,ZTF19abkinmd,II-norm,16.2,10.0
ZTF19ablesob_20191204_Keck2_v1.ascii,ZTF19ablesob_20191204_Keck2_v1_10,IIb-flash,0.05301,,,,
ZTF19ablfoqa_20190810_P200_v1.ascii,,,,ZTF19ablfoqa,Gal,15.68,10.0
ZTF19abllxfy_20190804_P200_v1.ascii,,,,ZTF19abllxfy,II-norm,14.89,8.0
ZTF19abmzmuv_20190919_P60_v1.ascii,,,,ZTF19abmzmuv,Ic-BL,4.16,4.0
ZTF19abnchgq_20190809_P200_v1.ascii,,,,ZTF19abnchgq,Gal,14.01,8.0
ZTF19abnfgwe_20191003_P200_v1.ascii,,,,ZTF19abnfgwe,Gal,28.41,7.0
ZTF19abnsymu_20191124_P200_v1.ascii,,,,ZTF19abnsymu,AGN,11.86,4.0
ZTF19abnsymu_20191124_P200_v2.ascii,,,,ZTF19abnsymu,Gal,11.98,10.0
ZTF19abormrg_20190814_P60_v1.ascii,,,,ZTF19abormrg,Gal,7.47,3.0
ZTF19abovuiy_20190902_P200_v1.ascii,,,,ZTF19abovuiy,II-norm,17.56,10.0
ZTF19abowblg_20190819_P60_v1.ascii,,,,ZTF19abowblg,Ia-norm,5.3,4.0
ZTF19abowblg_20190819_P60_v2.ascii,,,,ZTF19abowblg,Ib-norm,4.56,3.0
ZTF19abowblg_20190827_P200_v1.ascii,,,,ZTF19abowblg,Ia-norm,9.89,8.0
ZTF19aboxstf_20190812_P60_v1.ascii,,,,ZTF19aboxstf,Ic-SLSN,3.91,6.0
ZTF19abpgvyz_20190817_P60_v1.ascii,,,,ZTF19abpgvyz,II-norm,7.15,5.0
ZTF19abpgvyz_20190823_P60_v1.ascii,,,,ZTF19abpgvyz,Ib-norm,11.79,6.0
ZTF19abpgvyz_20190823_P60_v2.ascii,,,,ZTF19abpgvyz,Ib-norm,13.67,7.0
ZTF19abpqvdh_20190820_P60_v1.ascii,,,,ZTF19abpqvdh,Ic-norm,5.68,8.0
ZTF19abpqvdh_20190820_P60_v2.ascii,,,,ZTF19abpqvdh,Ia-91bg,8.72,7.0
ZTF19abprquf_20190817_P60_v1.ascii,,,,ZTF19abprquf,Ia-91bg,6.98,3.0
ZTF19abprquf_20190817_P60_v2.ascii,,,,ZTF19abprquf,II-norm,6.51,8.0
ZTF19abprquf_20190826_P60_v1.ascii,,,,ZTF19abprquf,LBV,5.38,8.0
ZTF19abprquf_20190827_P200_v1.ascii,,,,ZTF19abprquf,Gal,18.0,5.0
ZTF19abptopv_20190817_P60_v1.ascii,,,,ZTF19abptopv,Ib-norm,4.73,4.0
ZTF19abptopv_20190823_P60_v1.ascii,,,,ZTF19abptopv,Ia-norm,4.41,5.0
ZTF19abptopv_20190827_P200_v1.ascii,,,,ZTF19abptopv,Ib-norm,19.88,8.0
ZTF19abptrnn_20190820_P60_v1.ascii,,,,ZTF19abptrnn,Ia-91T,4.14,7.0
ZTF19abptrnn_20190827_P200_v1.ascii,,,,ZTF19abptrnn,Ia-norm,17.63,5.0
ZTF19abpwowb_20190928_Keck1_v1.ascii,,,,ZTF19abpwowb,II-norm,24.54,10.0
ZTF19abpxuaa_20190831_Keck1_v1.ascii,,,,ZTF19abpxuaa,II-norm,16.84,7.0
ZTF19abqilza_20190920_P60_v1.ascii,,,,ZTF19abqilza,Ic-SLSN,3.88,7.0
ZTF19abqptyi_20190827_P200_v1.ascii,,,,ZTF19abqptyi,Ic-norm,21.07,6.0
ZTF19abqxzok_20191003_P200_v1.ascii,,,,ZTF19abqxzok,Ia-91T,9.33,3.0
ZTF19abqynnh_20190827_P200_v1.ascii,,,,ZTF19abqynnh,Ia-norm,23.45,10.0
ZTF19abrdzrv_20191221_P200_v1.ascii,,,,ZTF19abrdzrv,Ic-BL,5.62,3.0
ZTF19abrdzrv_20200101_P200_v1.ascii,,,,ZTF19abrdzrv,Gal,10.02,8.0
ZTF19abrizdd_20190831_Keck1_v1.ascii,,,,ZTF19abrizdd,Gal,29.8,8.0
ZTF19abroizw_20190831_Keck1_v1.ascii,,,,ZTF19abroizw,II-norm,37.74,9.0
ZTF19abttrze_20190831_Keck1_v1.ascii,,,,ZTF19abttrze,II-norm,17.92,9.0
ZTF19abudrvs_20191005_P200_v1.ascii,,,,ZTF19abudrvs,II-norm,9.1,8.0
ZTF19abuoqzr_20190909_P60_v1.ascii,,,,ZTF19abuoqzr,Gal,14.41,6.0
ZTF19abuoqzr_20190912_P60_v1.ascii,,,,ZTF19abuoqzr,Gal,9.51,6.0
ZTF19abuoqzr_20190912_P60_v2.ascii,,,,ZTF19abuoqzr,II-norm,8.4,5.0
ZTF19abuoqzr_20190915_P60_v1.ascii,,,,ZTF19abuoqzr,LBV,8.18,4.0
