Version,Resolution,Superfit_c,Superfit_z,ZTF_Name,Zooniverse_c,rlap,agreement
ZTF18aaqeasu_20180531_DCT_v1.ascii,,,,ZTF18aaqeasu,Ic-BL,5.23,8.0
ZTF18aaqeasu_20180608_P200_v2.ascii,,,,ZTF18aaqeasu,Ic-BL,8.7,2.0
ZTF18aaqeasu_20180617_Keck1_v1.ascii,,,,ZTF18aaqeasu,LBV,7.8,5.0
ZTF18aaqeasu_20180713_Keck1_v1.ascii,,,,ZTF18aaqeasu,II-norm,12.31,2.0
ZTF18aarvcmx_20180822_P60_v1.ascii,,,,ZTF18aarvcmx,IIn,4.91,5.0
ZTF18aarymnz_20180424_P60_v1.ascii,,,,ZTF18aarymnz,Ia-norm,21.43,6.0
ZTF18aasrssa_20180530_P60_v1.ascii,,,,ZTF18aasrssa,Ia-norm,5.28,4.0
ZTF18aasxguy_20181227_P200_v1.ascii,,,,ZTF18aasxguy,Gal,8.58,6.0
ZTF18aaumfla_20180613_Keck1_v1.ascii,,,,ZTF18aaumfla,Gal,13.87,6.0
ZTF18aauqdyb_20180626_P60_v1.ascii,,,,ZTF18aauqdyb,Ic-SLSN,8.3,6.0
ZTF18aautrkr_20180612_P200_v1.ascii,,,,ZTF18aautrkr,Gal,9.39,7.0
ZTF18aavjqvm_20190126_P200_v1.ascii,,,,ZTF18aavjqvm,Gal,20.37,6.0
ZTF18aavniyw_20180611_P60_v1.ascii,,,,ZTF18aavniyw,Ia-91bg,10.73,5.0
ZTF18aavytfq_20180912_P200_v2.ascii,,,,ZTF18aavytfq,Gal,22.09,9.0
ZTF18aawpzwp_20180612_P200_v1.ascii,,,,ZTF18aawpzwp,Gal,10.58,8.0
ZTF18aawwazv_20180912_P200_v2.ascii,,,,ZTF18aawwazv,II-norm,8.3,11.0
ZTF18aawwazv_20180913_P200_v1.ascii,,,,ZTF18aawwazv,II-norm,18.35,10.0
ZTF18aaxagxj_20191201_P60_v1.ascii,,,,ZTF18aaxagxj,II-norm,5.51,4.0
ZTF18aaxdrjn_20180531_P60_v1.ascii,ZTF18aaxdrjn_20180531_P60_v1_10,Ia-norm,0.032205000000000004,,,,
ZTF18aaxmaxb_20180612_P200_v1.ascii,,,,ZTF18aaxmaxb,Gal,20.23,9.0
ZTF18aaxnmdq_20180612_P200_v1.ascii,,,,ZTF18aaxnmdq,II-norm,11.65,9.0
ZTF18aaxopwa_20180613_Keck1_v1.ascii,,,,ZTF18aaxopwa,QSO,6.19,6.0
ZTF18aaxxota_20180609_P200_v1.ascii,,,,ZTF18aaxxota,AGN,7.9,5.0
ZTF18aaxxota_20180616_P200_v2.ascii,,,,ZTF18aaxxota,Gal,12.31,7.0
ZTF18aaxxota_20180617_Keck1_v1.ascii,,,,ZTF18aaxxota,II-norm,26.66,10.0
ZTF18aaxzlmy_20180621_P200_v2.ascii,,,,ZTF18aaxzlmy,Gal,8.03,6.0
ZTF18aayhylv_20180612_P200_v2.ascii,,,,ZTF18aayhylv,Ic-norm,10.38,6.0
ZTF18aayhylv_20180621_P200_v1.ascii,,,,ZTF18aayhylv,Ic-SLSN,6.63,6.0
ZTF18aayhylv_20180807_Keck1_v1.ascii,,,,ZTF18aayhylv,Ic-norm,8.58,3.0
ZTF18aayhylv_20190403_Keck1_v1.ascii,,,,ZTF18aayhylv,Ic-norm,4.34,3.0
ZTF18aayhylv_20190406_Keck1_v2.ascii,,,,ZTF18aayhylv,Ia-norm,5.12,1.0
ZTF18abafhva_20190501_P60_v1.ascii,,,,ZTF18abafhva,Gal,28.28,7.0
ZTF18abafhva_20190513_P200_v1.ascii,,,,ZTF18abafhva,Gal,36.84,5.0
ZTF18abcdzkp_20180621_P200_v2.ascii,,,,ZTF18abcdzkp,Ic-SLSN,5.34,8.0
ZTF18abceimg_20180708_P200_v2.ascii,,,,ZTF18abceimg,AGN,11.01,3.0
ZTF18abcwzhs_20190610_P60_v1.ascii,,,,ZTF18abcwzhs,Ia-norm,5.39,3.0
ZTF18abdbysy_20180902_Keck2_v2.ascii,ZTF18abdbysy_20180902_Keck2_v2_10,IIb-flash,0.010706499999999999,,,,
ZTF18abdeeeh_20180717_P60_v2.ascii,,,,ZTF18abdeeeh,II-norm,12.95,8.0
ZTF18abdingc_20180728_P60_v1.ascii,,,,ZTF18abdingc,Ia-91T,6.19,2.0
ZTF18abdingc_20180728_P60_v2.ascii,,,,ZTF18abdingc,Ic-BL,5.5,10.0
ZTF18abdingc_20180804_P200_v1.ascii,,,,ZTF18abdingc,Gal,10.31,9.0
ZTF18abdkkwa_20190603_Keck1_v1.ascii,ZTF18abdkkwa_20190603_Keck1_v1_10,Ca-Ia,0.02531,,,,
ZTF18abgqvwv_20180715_WHT_v3.ascii,,,,ZTF18abgqvwv,Gal,10.41,6.0
ZTF18abgqvwv_20180821_P200_v1.ascii,,,,ZTF18abgqvwv,II-norm,10.69,5.0
ZTF18abixglr_20180801_P60_v1.ascii,,,,ZTF18abixglr,II-norm,9.04,6.0
ZTF18abjyime_20180813_P60_v2.ascii,,,,ZTF18abjyime,Ia-norm,17.97,9.0
ZTF18abkhqhk_20180803_P60_v1.ascii,ZTF18abkhqhk_20180803_P60_v1_10,TDE H+He,0.11,,,,
ZTF18abkijya_20180912_P200_v2.ascii,,,,ZTF18abkijya,TDE,10.63,4.0
ZTF18abkijya_20180913_DCT_v1.ascii,,,,ZTF18abkijya,Gal,7.2,10.0
ZTF18abkmbpy_20180902_Keck2_v1.ascii,ZTF18abkmbpy_20180902_Keck2_v1_10,IIb-flash,0.027911000000000002,,,,
ZTF18ablhrpz_20180913_P200_v1.ascii,,,,ZTF18ablhrpz,II-norm,18.8,12.0
ZTF18ablhrpz_20180913_P60_v1.ascii,,,,ZTF18ablhrpz,II-norm,15.34,10.0
ZTF18ablqqqm_20180814_P60_v1.ascii,,,,ZTF18ablqqqm,Ic-norm,5.24,7.0
ZTF18ablqqqm_20180814_P60_v2.ascii,,,,ZTF18ablqqqm,Ic-SLSN,4.73,5.0
ZTF18ablqqqm_20180912_P200_v2.ascii,,,,ZTF18ablqqqm,Ic-BL,5.81,6.0
ZTF18abmasep_20180821_P200_v2.ascii,ZTF18abmasep_20180821_P200_v2_10,IIb,0.10605,,,,
ZTF18abmkacg_20180821_P200_v1.ascii,,,,ZTF18abmkacg,Gal,8.17,9.0
ZTF18abmxelh_20180821_P200_v1.ascii,,,,ZTF18abmxelh,IIb,10.08,4.0
ZTF18abmxelh_20181012_Keck1_v1.ascii,,,,ZTF18abmxelh,II-norm,7.95,2.0
ZTF18abnxfve_20180912_P200_v2.ascii,,,,ZTF18abnxfve,Gal,10.56,10.0
