ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18aahmhxu SLSN-II 0.167 nan 2458230.5 2458266.68 -36.18 ZTF18aahmhxu_20180422_P60_v4.ascii 1 False IIb 0.003746328 0.167 0.167 II-flash 0.0040304856 Ic-BL 2.97 1.1239 5.574024234904515 "1993J/BC-Ekar+1993-03-31 20:30:00.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458236.5 2458266.68 -30.18 ZTF18aahmhxu_20180428_LT_v1.ascii 1 False II 0.0023793494 0.167 0.167 SLSN-I 0.0023993952 Ia-norm 4.26 0.1985 1.8664348838991407 "1999em/Nickel-Spec+1999-10-31 08:16:48.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458255.5 2458266.68 -11.18 ZTF18aahmhxu_20180517_P200_v1.ascii 1 False IIn 0.0030147915 0.167 0.167 II-flash 0.0033280116 Gal 5.94 0.1695 8.665944698327738 "2005cp/DBSP+2005-07-16 00:00:00.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458255.5 2458266.68 -11.18 ZTF18aahmhxu_20180517_P200_v2.ascii 1 True IIn 0.0014565896 0.167 0.167 IIn 0.0017931171 QSO 9.64 0.1666 9.291463699359515 "2005cp/DBSP+2005-07-16 00:00:00.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458316.5 2458266.68 49.82 ZTF18aahmhxu_20180717_P200_v1.ascii 1 False SLSN-IIn 0.0014152578 0.167 0.167 IIn 0.0017900902 Gal 11.17 0.1655 5.685595161724392 "PTF10tpz/RC-Spec+2010-10-09 00:00:00.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458465.5 2458266.68 198.82 ZTF18aahmhxu_20181213_P200_v1.ascii 1 False IIn 0.0048694736 0.167 0.167 SLSN-IIn 0.00489952 Ia-csm 10.16 0.1692 8.41026372527309 "2010jl/LRIS+2010-12-08 15:27:27.00"
ZTF18aahmhxu SLSN-II 0.167 nan 2458465.5 2458266.68 198.82 ZTF18aahmhxu_20181213_P200_v2.ascii 1 False IIn 0.0029073802 0.167 0.167 SLSN-IIn 0.0030253385 AGN 16.32 0.1647 7.74592957294593 "2005cp/DBSP+2005-09-08 00:00:00.00"
ZTF18aahpbwz Ic 0.069 nan 2458234.5 2458245.6 -11.1 ZTF18aahpbwz_20180426_P60_v1.ascii 1 False IIb 0.0033414732 0.069 0.069 SLSN-I 0.0035051703 Ia-norm 5.03 0.0459 6.7207496547767756 "2012dy/EFOSC2-NTT+2012-08-08 08:44:21.00"
ZTF18aahpbwz Ic 0.069 nan 2458247.5 2458245.6 1.9 ZTF18aahpbwz_20180509_NOT_v1.ascii 1 False SLSN-I 0.018505303 0.069 0.069 SLSN-I 0.018658822 Ic-BL 6.76 0.0602 14.85089625788648 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aahpbwz Ic 0.069 nan 2458247.5 2458245.6 1.9 ZTF18aahpbwz_20180509_P60_v1.ascii 1 False SLSN-I 0.004300417 0.069 0.069 SLSN-Ib 0.0047319694 Ia-norm 7.41 0.0819 12.20969921551563 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
