ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18abbpxik II 0.041 0.032806 2458290.5 2458298.72 -8.22 ZTF18abbpxik_20180621_P60_v1.ascii 1 False II 0.0050908085 0.041 0.041 SLSN-I 0.005240479 Ia-norm 7.82 0.7124 14.368286438606003 "2016bkv/FLOYDS-N+2016-04-02 10:07:52.00"
ZTF18abbpxik II 0.041 0.032806 2458301.5 2458298.72 2.78 ZTF18abbpxik_20180702_P60_v1.ascii 1 True II 0.0035901223 0.041 0.041 II 0.0036352947 II-norm 5.92 0.0342 10.500430657169396 "2012aw/AFOSC+2012-03-26 21:02:19.00"
ZTF18abbpyvk II 0.022 0.022115 2458290.5 2458311.62 -21.12 ZTF18abbpyvk_20180621_P200_v1.ascii 1 False SLSN-Ib 0.00458598 0.022 0.022 II-flash 0.006127011 Ic-BL 5.22 0.3036 6.911211712921576 "2010md/DBSP+2010-05-21 00:00:00.00"
ZTF18abbpyvk II 0.022 0.022115 2458291.5 2458311.62 -20.12 ZTF18abbpyvk_20180622_P60_v1.ascii 1 False II 0.0026734695 0.022 0.022 II 0.0031262957 II-norm 12.07 0.0183 22.16584300163673 "2012aw/DOLORES+2012-03-20 20:38:27.00"
ZTF18abbpyvk II 0.022 0.022115 2458292.5 2458311.62 -19.12 ZTF18abbpyvk_20180623_P60_v1.ascii 1 True II 0.0019661637 0.022 0.022 II 0.002685111 II-norm 7.4 0.0221 19.789098471906605 "2012aw/DOLORES+2012-03-20 20:38:27.00"
ZTF18abbqjds Ia 0.093 nan 2458307.5 2458298.76 8.74 ZTF18abbqjds_20180708_P60_v1.ascii 1 True Ia-norm 0.0008656115 0.093 0.093 "Ia 99aa-like" 0.0019430014 Ia-norm 15.38 0.0928 5.393398847497774 "2012cg/KAST+2012-06-13 05:25:26.00"
ZTF18abcflnz Ia 0.024 nan 2458291.5 2458308.84 -17.34 ZTF18abcflnz_20180622_P60_v1.ascii 1 True Ia-norm 0.0023496086 0.024 0.024 Ia-norm 0.0030036198 Ia-norm 12.8 0.0346 7.578535475148373 "2011fe/KAST+2011-08-25 03:54:43.00"
ZTF18abcflnz Ia 0.024 nan 2458580.5 2458308.84 271.66 ZTF18abcflnz_20190407_APO_v1.ascii 1 False Ia-pec 0.0015351764 0.024 0.024 Ia-pec 0.0015408787 Ia-norm 8.82 0.1769 1.6037821472844414 "2013bh/HET-LRS+2013-04-16 00:00:00.00"
ZTF18abcicrq Ia 0.107 0.1048 2458297.5 2458295.64 1.86 ZTF18abcicrq_20180628_P60_v1.ascii 1 True "Ia 99aa-like" 0.0031914175 0.107 0.107 Ia-norm 0.0033682245 Ia-norm 5.84 0.2547 17.087603050759913 "1999aa/KAST+1999-02-23 00:00:00.00"
ZTF18abckujg Ia 0.074 nan 2458296.5 2458303.67 -7.17 ZTF18abckujg_20180627_P60_v1.ascii 1 True Ia-norm 0.0026892673 0.074 0.074 Ia-norm 0.0027713622 Ia-norm 17.03 0.0703 7.5825329031261495 "2012fr/KAST+2012-11-06 09:11:31.00"
ZTF18abckujq Ia 0.067 0.063789 2458300.5 2458303.65 -3.15 ZTF18abckujq_20180701_P60_v1.ascii 1 True "Ia 99aa-like" 0.0034262466 0.067 0.067 "Ia 99aa-like" 0.0039481414 Ia-norm 15.08 0.0584 4.291262339563825 "1999aa/KAST+1999-02-23 00:00:00.00"
ZTF18abckutn II 0.036 0.040705 2458290.5 2458299.79 -9.29 ZTF18abckutn_20180621_P200_v1.ascii 1 False IIb-flash 0.010508065 0.036 0.036 SLSN-I 0.011529168 Gal 8.45 0.0405 0.5645567885590936 2013cu_early/ALFOSC+09:32.0
ZTF18abckutn II 0.036 0.040705 2458290.5 2458299.79 -9.29 ZTF18abckutn_20180621_P200_v2.ascii 1 False II-flash 0.0033153812 0.036 0.036 II-flash 0.0034171657 AGN 17.46 0.4281 0.31394969686420726 2014cn_early/GMOS+00:00.0
ZTF18abckutn II 0.036 0.040705 2458297.5 2458299.79 -2.29 ZTF18abckutn_20180628_P60_v1.ascii 1 False IIb 0.0033376827 0.036 0.036 SLSN-I 0.0036021583 II-norm 4.6 0.0477 5.777390420319911 "2001ig/LRIS+2001-12-23 00:00:00.00"
ZTF18abckutn II 0.036 0.040705 2458307.5 2458299.79 7.71 ZTF18abckutn_20180708_P200_v2.ascii 1 True II 0.035227653 0.036 0.036 Ib 0.037572343 II-norm 13.71 0.0372 4.114989783221396 "2013ej/DEIMOS+2013-09-10 09:48:57.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458299.5 2458299.65 -0.15 ZTF18abclfee_20180630_P60_v1.ascii 1 False Ic-BL 0.026909474 0.029 0.029 II-flash 0.03306101 Ia-norm 6.31 0.1705 15.088131537663314 "2018gep/DBSP+2018-09-12 06:09:58.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458301.5 2458299.65 1.85 ZTF18abclfee_20180702_P60_v1.ascii 1 False """super chandra""" 0.002500658 0.029 0.029 II-flash 0.0037398825 Ia-norm 8.16 0.0462 10.480208936384741 "2009dc/CAFOS+2009-05-03 00:00:00.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458303.5 2458299.65 3.85 ZTF18abclfee_20180704_LT_v1.ascii 1 False "Ia-02cx like" 0.004768175 0.029 0.029 Ia-CSM 0.0048645106 Ia-02cx 12.7 0.0278 3.7588750540031968 "2018cxk/DBSP+2018-07-08 00:00:00.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458307.5 2458299.65 7.85 ZTF18abclfee_20180708_P200_v2.ascii 1 False "Ia-02cx like" 0.0007913828 0.029 0.029 """super chandra""" 0.007845021 Ia-02cx 10.49 0.0301 8.67694169369236 "2018cxk/DBSP+2018-07-08 00:00:00.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458307.5 2458299.65 7.85 ZTF18abclfee_20180708_P60_v1.ascii 1 True "Ia-02cx like" 0.0027442372 0.029 0.029 """super chandra""" 0.003735568 Ia-91T 13.7 0.0426 6.628785695905561 "2018cxk/DBSP+2018-07-08 00:00:00.00"
ZTF18abclfee Ia-02cx 0.029 nan 2458334.5 2458299.65 34.85 ZTF18abclfee_20180804_P200_v1.ascii 1 False "Ia-02cx like" 0.0017966595 0.029 0.029 "Ia-02cx like" 0.002109896 Ia-norm 12.39 0.039 2.7855412054040642 "2005hk/DEIMOS+2006-01-01 05:18:14.00"
ZTF18aazhwnh Ia 0.1 0.090702 2458292.5 2458291.7 0.8 ZTF18aazhwnh_20180623_P60_v1.ascii 1 True Ia-norm 0.0018015989 0.1 0.1 Ia-norm 0.0019621789 Ia-norm 8.18 0.1041 16.86329066715014 "2012fr/KAST+2012-11-20 07:11:59.00"
ZTF18abcdzyc Ia 0.056 0.055757 2458292.5 2458300.76 -8.26 ZTF18abcdzyc_20180623_P60_v1.ascii 1 True Ia-norm 0.0017145545 0.056 0.056 Ia-norm 0.0021461968 Ia-norm 7.89 0.0522 25.326370433094066 "2015N/LRIS+2015-07-16 00:00:00.00"
ZTF18abcptmt II 0.051 nan 2458292.5 2458302.78 -10.28 ZTF18abcptmt_20180623_P60_v1.ascii 1 False II-flash 0.0024856683 0.051 0.051 Ia-CSM 0.0025355057 II-norm 5.24 0.0471 13.568162432844401 "iPTF14flu_early/LRIS+2014-09-23 08:59:11.00"
ZTF18abcptmt II 0.051 nan 2458294.5 2458302.78 -8.28 ZTF18abcptmt_20180625_LCOGT1m_v1.ascii 1 False II-flash 0.008286063 0.051 0.051 IIb-flash 0.008915112 Ia-norm 5.24 0.2409 1.06118625194364 2016bkv_early/FLOYDS-N+21:25.0
ZTF18abcptmt II 0.051 nan 2458307.5 2458302.78 4.72 ZTF18abcptmt_20180708_LT_v1.ascii 1 False II 0.0020717569 0.051 0.051 Ic-BL 0.0020733667 Ib-norm 6.34 0.2781 1.8833181435875566 "1999em/LRIS+1999-11-08 00:00:00.00"
ZTF18abcptmt II 0.051 nan 2458315.5 2458302.78 12.72 ZTF18abcptmt_20180716_P60_v1.ascii 1 True II 0.0012593186 0.051 0.051 II 0.0012762469 II-norm 7.67 0.0506 10.0301274631953 "2013fs/DBSP+2013-11-02 04:59:51.00"
ZTF18abcrtnq Ia 0.1 0.10161 2458296.5 2458301.71 -5.21 ZTF18abcrtnq_20180627_P60_v1.ascii 1 True "Ia 91T-like" 0.003069379 0.1 0.1 "Ia 99aa-like" 0.0033216372 Ia-02cx 5.47 0.0791 6.210415273328727 "2018hfr/KAST+2018-10-16 13:01:55.00"
ZTF18abcrxoj Ia 0.022 0.030869 2458293.5 2458305.65 -12.15 ZTF18abcrxoj_20180624_P60_v1.ascii 1 False Ia-norm 0.0035099683 0.022 0.022 Ia-norm 0.0053275777 Ia-norm 13.16 -0.009 6.369756527689027 "2011fe/KAST+2011-08-25 03:54:43.00"
ZTF18abcrxoj Ia 0.022 0.030869 2458293.5 2458305.65 -12.15 ZTF18abcrxoj_20180624_P60_v2.ascii 1 True Ia-norm 0.0037393782 0.022 0.022 Ia-norm 0.004198987 Ia-norm 12.48 -0.0066 4.865363233523763 "2011fe/KAST+2011-08-25 03:54:43.00"
ZTF18abcsgvj Ia 0.06 nan 2458299.5 2458302.74 -3.24 ZTF18abcsgvj_20180630_P60_v1.ascii 1 True Ia-norm 0.002173894 0.06 0.06 Ia-norm 0.0022850952 II-norm 5.7 0.046 13.351673719050982 "2011fe/STIS+2011-09-10 09:22:00.00"
ZTF18abcpmwh II 0.015 0.015432 2458295.5 2458300.65 -5.15 ZTF18abcpmwh_20180626_P60_v1.ascii 1 True II 0.003288284 0.015 0.015 II 0.003420499 II-norm 11.42 0.0146 21.76179097836608 "2012aw/DOLORES+2012-03-20 20:38:27.00"
ZTF18abcpolh Ia 0.036 0.035158 2458296.5 2458304.63 -8.13 ZTF18abcpolh_20180627_P60_v1.ascii 1 True Ia-norm 0.0012735826 0.036 0.036 Ia-norm 0.0013222296 Ia-norm 22.53 0.0428 4.486266977781645 "2011fe/SNIFS+2011-08-27 05:55:38.00"
ZTF18abcxyjp Ia 0.045 0.042216 2458295.5 2458306.67 -11.17 ZTF18abcxyjp_20180626_P60_v1.ascii 1 True Ia-norm 0.0016675735 0.045 0.045 Ia-norm 0.002311807 Ia-norm 21.59 0.0343 5.307720789595582 "2017erp/KAST+2017-06-20 05:21:07.00"
ZTF18abcysdx Ia 0.066 nan 2458307.5 2458308.78 -1.28 ZTF18abcysdx_20180708_P60_v1.ascii 1 True "Ia 91T-like" 0.0018345506 0.066 0.066 Ia-pec 0.002053877 Ia-91T 9.81 0.066 7.16774077250265 "1991T/UV-Schmidt+1991-05-05 00:00:00.00"
ZTF18abcryxz Ia 0.064 0.06464 2458297.5 2458295.68 1.82 ZTF18abcryxz_20180628_P60_v1.ascii 1 True Ia-norm 0.002295729 0.064 0.064 Ia-norm 0.0024852974 Ia-norm 10.72 0.0622 23.385495266635814 "2017erp/KAST+2017-06-26 05:19:40.00"
ZTF18abcrzfz Ia-91T 0.061 nan 2458296.5 2458304.64 -8.14 ZTF18abcrzfz_20180627_P60_v1.ascii 1 True "Ia 91T-like" 0.0033798404 0.061 0.061 "Ia 91T-like" 0.003449802 Ia-91T 9.15 0.0614 13.962437968732516 "1991T/Other+1991-04-22 00:00:00.00"
ZTF18abdbuty Ia 0.067 nan 2458301.5 2458306.76 -5.26 ZTF18abdbuty_20180702_P60_v1.ascii 1 True Ia-norm 0.001794692 0.067 0.067 Ia-norm 0.0018561938 Ia-norm 14.29 0.0666 21.52571057545176 "2011by/KAST+2011-04-28 05:44:09.00"
ZTF18abdbysy II 0.013 0.012122 2458295.5 2458302.76 -7.26 ZTF18abdbysy_20180626_WHT_v4.ascii 1 False SLSN-IIn 0.0094060805 0.013 0.013 II 0.011321649 Ia-norm 7.25 0.0301 10.885187419902294 "PTF10jwd/LRIS+2010-06-12 00:00:00.00"
ZTF18abdbysy II 0.013 0.012122 2458296.5 2458302.76 -6.26 ZTF18abdbysy_20180627_DCT_v1.ascii 1 False II 0.0054212585 0.013 0.013 SLSN-IIn 0.0059817885 Ic-BL 6.67 0.0356 3.2635681580594684 "iPTF15crj/Deveny-LMI+2015-12-02 04:48:09.00"
ZTF18abdbysy II 0.013 0.012122 2458296.5 2458302.76 -6.26 ZTF18abdbysy_20180627_P60_v1.ascii 1 False Ib 0.0030661798 0.013 nan nan nan II-norm 6.24 0.2258 4.26868027490097 "2014C/KAST+2014-01-22 00:00:00.00"
ZTF18abdbysy II 0.013 0.012122 2458297.5 2458302.76 -5.26 ZTF18abdbysy_20180628_WHT_v2.ascii 1 False Ia-pec 2.7674065 0.013 0.013 Ia-pec 3.4341123 Ic-SLSN 7.13 0.0366 8.039313487976957 "2000cx/KAST+2000-11-29 05:00:58.00"
ZTF18abdbysy II 0.013 0.012122 2458299.5 2458302.76 -3.26 ZTF18abdbysy_20180630_P60_v1.ascii 1 False Ic-BL 0.010195943 0.013 0.013 Ibn 0.010807406 Ia-norm 5.46 0.288 14.862844641385221 "2018gep/DBSP+2018-09-12 06:09:58.00"
ZTF18abdbysy II 0.013 0.012122 2458308.5 2458302.76 5.74 ZTF18abdbysy_20180709_P60_v1.ascii 1 True Ia-norm 0.003282709 0.013 0.013 II 0.0033922724 Ic-BL 5.51 0.296 5.9969953328024115 "2012cu/KAST+2012-06-27 05:52:48.00"
ZTF18abdbysy II 0.013 0.012122 2458334.5 2458302.76 31.74 ZTF18abdbysy_20180804_P200_v2.ascii 1 False II 0.0053427867 0.013 0.013 II 0.0058191433 II-norm 14.81 0.0126 8.909142758555484 "2008fq/KAST+2008-11-20 03:15:50.00"
ZTF18abcyhju II 0.018 0.014995 2458299.5 2458294.68 4.82 ZTF18abcyhju_20180630_P60_v1.ascii 1 False IIb 0.0025745484 0.018 nan nan nan II-norm 6.56 0.0226 14.002734008307336 "2011dh/LRIS+2011-06-03 09:29:43.00"
ZTF18abcyhju II 0.018 0.014995 2458302.5 2458294.68 7.82 ZTF18abcyhju_20180703_P60_v1.ascii 1 True IIb 0.0035543917 0.018 0.018 II 0.003913657 II-norm 4.58 0.0088 10.454198720032991 "2011dh/ALFOSC+2011-06-05 22:03:03.00"
ZTF18abcyues II 0.038 0.037564 2458299.5 2458294.76 4.74 ZTF18abcyues_20180630_P60_v1.ascii 1 False IIb 0.002561717 0.038 0.038 II 0.0026182588 II-norm 8.1 0.0377 8.45991329766785 "2013cu/DBSP+2013-06-02 08:08:34.00"
ZTF18abcyues II 0.038 0.037564 2458299.5 2458294.76 4.74 ZTF18abcyues_20180630_P60_v2.ascii 1 False II 0.010100764 0.038 0.038 Ic-BL 0.010666018 II-norm 5.25 0.0337 10.549537286457566 "2013fs/ALFOSC+2013-10-17 01:10:33.00"
ZTF18abcyues II 0.038 0.037564 2458312.5 2458294.76 17.74 ZTF18abcyues_20180713_Keck1_v1.ascii 1 True II 0.00594899 0.038 0.038 II 0.006840962 II-norm 14.92 0.0403 6.083798340142297 "2008fq/LRIS+2008-10-27 04:46:33.00"
ZTF18abdefet Ia 0.074 nan 2458304.5 2458310.84 -6.34 ZTF18abdefet_20180705_P60_v1.ascii 1 True Ia-norm 0.0020795597 0.074 0.074 "Ia 99aa-like" 0.002235833 Ia-norm 7.22 0.0739 11.818156815851228 "2013dy/STIS+2013-07-27 00:00:00.00"
ZTF18abdfaqi Ia 0.045 0.048319 2458308.5 2458306.67 1.83 ZTF18abdfaqi_20180709_P60_v1.ascii 1 True Ia-norm 0.00069901906 0.045 0.045 Ia-norm 0.001069264 Ia-norm 28.47 0.0468 7.928601096568812 "2013dy/STIS+2013-07-27 00:00:00.00"
ZTF18abdfazk Ia 0.087 nan 2458307.5 2458306.67 0.83 ZTF18abdfazk_20180708_P60_v1.ascii 1 False Ia-norm 0.002867365 0.087 0.087 Ia-norm 0.0028714642 Ia-norm 9.98 0.086 7.408832844659992 "2011by/KAST+2011-05-06 05:38:24.00"
ZTF18abdfazk Ia 0.087 nan 2458311.5 2458306.67 4.83 ZTF18abdfazk_20180712_P60_v1.ascii 1 False Ia-norm 0.0023519504 0.087 0.087 Ia-norm 0.0023525036 Ia-norm 11.79 0.0828 8.222585632142962 "2013dy/STIS+2013-07-27 00:00:00.00"
ZTF18abdfazk Ia 0.087 nan 2458311.5 2458306.67 4.83 ZTF18abdfazk_20180712_P60_v2.ascii 1 True Ia-norm 0.0020791285 0.087 0.087 Ia-norm 0.0021721506 Ia-norm 12.27 0.0834 5.442724141595181 "2011by/KAST+2011-05-14 05:54:14.00"
ZTF18abdcfgz Ia 0.046 nan 2458302.5 2458304.63 -2.13 ZTF18abdcfgz_20180703_P60_v1.ascii 1 True "Ia 91T-like" 0.0031780899 0.046 0.046 Ia-norm 0.003917087 Ia-91bg 7.84 0.0494 9.447592306245735 "1991T/UV-Schmidt+1991-05-05 00:00:00.00"
ZTF18abdfwcy II 0.015 0.013885 2458334.5 2458304.63 29.87 ZTF18abdfwcy_20180804_P200_v2.ascii 1 True II 0.0047222576 0.015 0.015 II 0.0048378035 II-norm 16.53 0.0131 11.99878262529638 "2014G/KAST+2014-03-07 03:27:21.00"
ZTF18abdfwur Ia 0.07 nan 2458303.5 2458308.65 -5.15 ZTF18abdfwur_20180704_P60_v1.ascii 1 True Ia-norm 0.0010996425 0.07 0.07 Ia-norm 0.0012164699 Ia-norm 10.72 0.0797 15.300045073615888 "2011fe/STIS+2011-09-10 09:22:00.00"
ZTF18abddrhd Ia 0.096 nan 2458311.5 2458311.66 -0.16 ZTF18abddrhd_20180712_P60_v1.ascii 1 False "Ia 99aa-like" 0.0020552143 0.096 0.096 Ia-norm 0.0024315577 Ia-norm 11.4 0.0919 3.068760445337868 "1999aa/KAST+1999-02-23 00:00:00.00"
ZTF18abddrhd Ia 0.096 nan 2458311.5 2458311.66 -0.16 ZTF18abddrhd_20180712_P60_v2.ascii 1 True Ia-norm 0.0019799545 0.096 0.096 "Ia 99aa-like" 0.0020868948 Ia-norm 14.95 0.1036 5.163550612754198 "2013dy/STIS+2013-07-27 00:00:00.00"
ZTF18abdffeo Ib/c 0.012 0.014744 2458300.5 2458306.62 -6.12 ZTF18abdffeo_20180701_P60_v1.ascii 1 False "Ia 91T-like" 0.00953455 0.012 0.012 II 0.010848542 Gal 7.47 0.0276 19.754155330278195 "1991T/Other+1991-04-17 00:00:00.00"
ZTF18abdffeo Ib/c 0.012 0.014744 2458325.5 2458306.62 18.88 ZTF18abdffeo_20180726_P60_v1.ascii 1 False IIn 0.0010991734 0.012 0.012 II 0.0012041411 Gal 9.03 0.0138 15.65166641307245 "2005cp/DBSP+2006-01-20 00:00:00.00"
ZTF18abdffeo Ib/c 0.012 0.014744 2458334.5 2458306.62 27.88 ZTF18abdffeo_20180804_P200_v1.ascii 1 True II 0.0044979244 0.012 0.012 Ib 0.0046518 Ia-91bg 9.82 0.0204 16.221307070579805 "2009kr/DEIMOS+2010-02-15 07:29:16.00"
ZTF18abdgwxn Ia 0.061 nan 2458303.5 2458305.75 -2.25 ZTF18abdgwxn_20180704_P60_v1.ascii 1 False Ia-norm 0.0030125629 0.061 0.061 Ia-norm 0.0031914136 Ia-norm 16.88 0.0663 1.4281808353591519 "1994D/KAST+1994-03-16 00:00:00.00"
ZTF18abdgwxn Ia 0.061 nan 2458305.5 2458305.75 -0.25 ZTF18abdgwxn_20180706_P60_v1.ascii 1 True Ia-norm 0.0025863983 0.061 0.061 Ia-norm 0.0033052198 IIn 10.81 0.2777 1.3799208644868424 "2011fe/STIS+2011-09-13 16:05:00.00"
ZTF18abdiwpt Ia-91T 0.073 nan 2458311.5 2458320.72 -9.22 ZTF18abdiwpt_20180712_P60_v1.ascii 1 False "Ia 91T-like" 0.0021239165 0.073 0.073 "Ia 91T-like" 0.0031068686 Ia-91T 11.45 0.0726 11.125949125474857 "2018hfr/KAST+2018-10-16 13:01:55.00"
ZTF18abdiwpt Ia-91T 0.073 nan 2458311.5 2458320.72 -9.22 ZTF18abdiwpt_20180712_P60_v2.ascii 1 True "Ia 91T-like" 0.0037227029 0.073 0.073 "Ia 91T-like" 0.005598354 Ia-91T 10.02 0.0757 9.456771677896853 "2018hfr/KAST+2018-10-16 13:01:55.00"
ZTF18abdfydj Ia 0.076 nan 2458304.5 2458306.76 -2.26 ZTF18abdfydj_20180705_P60_v1.ascii 1 True Ia-norm 0.00243122 0.076 0.076 Ia-norm 0.0028949033 Ia-norm 10.45 0.0727 8.799374664571058 "2012cg/KAST+2012-05-29 04:19:12.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458302.5 2458326.73 -24.23 ZTF18abdkkwa_20180703_P60_v1.ascii 1 False IIb 0.002649618 0.025 0.025 IIb 0.0027294017 Ic-BL 4.49 0.3162 10.594729170056532 "2001ig/LRIS+2001-12-23 00:00:00.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458310.5 2458326.73 -16.23 ZTF18abdkkwa_20180711_P60_v1.ascii 1 False Ic 0.0024090945 0.025 0.025 Ic 0.0025862576 Ib-norm 6.19 0.0215 15.260150666063481 "1994I/KAST+1994-04-04 10:14:53.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458310.5 2458326.73 -16.23 ZTF18abdkkwa_20180711_P60_v2.ascii 1 False Ic 0.0025267943 0.025 0.025 Ic 0.002615948 Ib-norm 8.08 0.0197 9.293764202129392 "1994I/KAST+1994-04-04 10:14:53.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458337.5 2458326.73 10.77 ZTF18abdkkwa_20180807_NOT_v1.ascii 1 True Ic 0.0023956671 0.025 0.025 "Ia 91bg-like" 0.00467717 Ia-91bg 16.08 0.0309 5.247799941466786 "2004gk/KAST+2004-12-18 13:27:50.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458408.5 2458326.73 81.77 ZTF18abdkkwa_20181017_NOT_v1.ascii 1 False Ib 0.0019944776 0.025 0.025 Ib 0.0028432384 Ic-norm 11.84 0.0289 1.2749794195975745 "2009jf/CAFOS+2009-12-27 00:00:00.00"
ZTF18abdkkwa Ic 0.025 0.025318 2458637.5 2458326.73 310.77 ZTF18abdkkwa_20190603_Keck1_v1.ascii 1 False Ca-Ia 0.0008593094 0.025 0.025 Ibn 0.0008767074 ZTF18abdkkwa 0.0 0.0 0.21496435788588886 "PTF09dav/LRIS+2009-10-22 08:41:17.00"
ZTF18abcvush Ia 0.049 nan 2458303.5 2458305.79 -2.29 ZTF18abcvush_20180704_P60_v1.ascii 1 True Ia-norm 0.001645373 0.049 0.049 Ia-norm 0.0017915498 Ia-norm 9.13 0.0477 21.80122392423003 "2012ht/KAST+2013-01-05 11:45:36.00"
ZTF18abdhsfc Ia-91T 0.073 nan 2458303.5 2458312.86 -9.36 ZTF18abdhsfc_20180704_P60_v1.ascii 1 False Ic-BL 0.002951644 0.073 0.073 Ia-pec 0.0031055913 Ia-03fg 6.63 0.5138 17.802951420440234 "2002ap/FAST+2002-02-06 02:38:24.00"
ZTF18abdhsfc Ia-91T 0.073 nan 2458307.5 2458312.86 -5.36 ZTF18abdhsfc_20180708_P200_v2.ascii 1 True "Ia 99aa-like" 0.0053400933 0.073 0.073 Ia-norm 0.005645759 Ia-91T 13.59 0.0708 8.504008455222703 "1999aa/KAST+1999-02-23 00:00:00.00"
ZTF18abdiqdh Ia 0.039 0.03837 2458304.5 2458319.66 -15.16 ZTF18abdiqdh_20180705_P60_v1.ascii 1 False Ia-norm 0.0010711012 0.039 0.039 Ia-norm 0.0014144601 Ia-norm 15.53 0.0383 19.341098875775916 "2011fe/STIS+2011-09-03 09:07:00.00"
ZTF18abdiqdh Ia 0.039 0.03837 2458304.5 2458319.66 -15.16 ZTF18abdiqdh_20180705_P60_v2.ascii 1 True Ia-norm 0.00064997433 0.039 0.039 Ia-norm 0.00096054724 Ia-norm 18.07 0.0414 11.083983283194202 "2011fe/STIS+2011-09-03 09:07:00.00"
ZTF18abdjmfh II 0.029 0.031775 2458304.5 2458306.64 -2.14 ZTF18abdjmfh_20180705_P60_v1.ascii 1 True II 0.0061952462 0.029 0.029 II 0.006419433 II-norm 8.19 0.0409 18.695204052809395 "2016bkv/FLOYDS-N+2016-04-02 10:07:52.00"
ZTF18abeajml II 0.037 0.036526 2458304.5 2458314.7 -10.2 ZTF18abeajml_20180705_P60_v1.ascii 1 False IIn 0.003065395 0.037 0.037 Ic-BL 0.0034345018 IIn 7.11 0.0355 18.64610270583014 "ASASSN-15og/KAST+2015-09-06 11:39:50.00"
ZTF18abeajml II 0.037 0.036526 2458305.5 2458314.7 -9.2 ZTF18abeajml_20180706_P60_v1.ascii 1 False II-flash 0.004170927 0.037 0.037 II-flash 0.0041892384 II-norm 7.16 0.0302 17.832045852438775 "iPTF14flu_early/LRIS+2014-09-23 08:59:11.00"
ZTF18abeajml II 0.037 0.036526 2458305.5 2458314.7 -9.2 ZTF18abeajml_20180706_P60_v2.ascii 1 False II-flash 0.0042163017 0.037 0.037 Ic-BL 0.0043361867 IIn 7.01 0.0343 18.482181897084914 2013fs_early/ALFOSC+00:00.0
ZTF18abeajml II 0.037 0.036526 2458305.5 2458314.7 -9.2 ZTF18abeajml_20180706_P60_v3.ascii 1 False II-flash 0.0033921553 0.037 nan nan nan II-norm 7.04 0.0505 13.551774795362327 "iPTF14flu_early/DEIMOS+2014-09-24 08:00:18.00"
ZTF18abeajml II 0.037 0.036526 2458305.5 2458314.7 -9.2 ZTF18abeajml_20180706_P60_v4.ascii 1 False II-flash 0.003378287 0.037 0.037 SLSN-I 0.003936457 Ia-91bg 7.03 0.0388 20.164333530809948 2013fs_early/ALFOSC+00:00.0
ZTF18abeajml II 0.037 0.036526 2458305.5 2458314.7 -9.2 ZTF18abeajml_20180706_WHT_v1.ascii 1 False II-flash 0.0108008105 0.037 0.037 II-flash 0.012218311 IIn 6.24 0.0371 20.546975603939806 2013fs_early/ALFOSC+00:00.0
ZTF18abeajml II 0.037 0.036526 2458307.5 2458314.7 -7.2 ZTF18abeajml_20180708_P200_v1.ascii 1 False IIb 0.010233281 0.037 0.037 II 0.011237465 II-norm 6.69 0.0365 17.58662343108334 "2013cu/LRIS+2013-05-09 09:05:02.00"
ZTF18abeajml II 0.037 0.036526 2458312.5 2458314.7 -2.2 ZTF18abeajml_20180713_P60_v1.ascii 1 False IIb 0.0039634127 0.037 0.037 Ic-BL 0.004073595 II-norm 6.69 0.0441 29.291883310256377 "2011fu/LRIS+2011-09-26 09:12:57.00"
ZTF18abeajml II 0.037 0.036526 2458312.5 2458314.7 -2.2 ZTF18abeajml_20180713_P60_v2.ascii 1 False II 0.0035832208 0.037 0.037 IIb 0.0035957764 Ic-BL 6.08 0.5925 17.05503102921152 "2016bkv/FLOYDS-N+2016-04-02 10:07:52.00"
ZTF18abeajml II 0.037 0.036526 2458331.5 2458314.7 16.8 ZTF18abeajml_20180801_P60_v1.ascii 1 False II 0.0013626186 0.037 0.037 II 0.0017950942 II-norm 10.18 0.0344 9.59501257067149 "2014G/DOLORES+2014-02-19 00:27:12.00"
ZTF18abeajml II 0.037 0.036526 2458331.5 2458314.7 16.8 ZTF18abeajml_20180801_P60_v2.ascii 1 True II 0.0014028894 0.037 0.037 II 0.0015072194 II-norm 10.0 0.0337 9.961051312384297 "2013ej/KAST+2013-08-12 12:11:31.00"
ZTF18abeamgv Ib 0.047 0.03518 2458307.5 2458314.67 -7.17 ZTF18abeamgv_20180708_P200_v1.ascii 1 False Ib 0.023452012 0.047 0.047 Ic-BL 0.029249758 IIb 8.33 0.0278 8.036586054731528 "2014C/KAST+2014-01-22 00:00:00.00"
