Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF19abvdgqo_20190904_Lick_3-m_v1.ascii,binnings/ZTF19abvdgqo_20190904_Lick_3-m_v1,IIb,0.0349885,IIb/2013df/HET-LRS phase-band : -8.0B,SB1,0.4625711,0.5374289,-8.0,0.4
ZTF19abvdgqo_20190907_NOT_v1.ascii,binnings/ZTF19abvdgqo_20190907_NOT_v1,Ic,0.0349885,Ic/1994I/KAST phase-band : -2.57B,Sa,0.8923434,0.10765657,-2.57,0.6
ZTF19abvgxrq_20191012_LT_v1.ascii,binnings/ZTF19abvgxrq_20191012_LT_v1,IIb-flash,0.097,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8202555,0.1797445,-7.0,-2.0
ZTF19abvgxrq_20200226_DCT_v1.ascii,binnings/ZTF19abvgxrq_20200226_DCT_v1,IIb-flash,0.097,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.76852715,0.23147283,-7.0,-2.0
ZTF19abvgxrq_20200913_DCT_v1.ascii,binnings/ZTF19abvgxrq_20200913_DCT_v1,IIb-flash,0.097,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.793277,0.20672297,-7.0,-2.0
ZTF19abvgxrq_20201206_DCT_v1.ascii,binnings/ZTF19abvgxrq_20201206_DCT_v1,IIb-flash,0.097,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.7832889,0.21671112,-7.0,-2.0
ZTF19abwscnk_20190910_P60_v1.ascii,binnings/ZTF19abwscnk_20190910_P60_v1,Ia-CSM-(ambigious),0.06825,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 6.0B,SB1,0.93176466,0.06823536,6.0,0.2
ZTF19abwscnk_20190917_P60_v2.ascii,binnings/ZTF19abwscnk_20190917_P60_v2,Ic-BL,0.0735,Ic-BL/1998bw/DFOSC phase-band : 7.0B,SB2,0.8621413,0.13785867,7.0,2.0
ZTF19abxjrge_20200915_Keck1_v1.ascii,binnings/ZTF19abxjrge_20200915_Keck1_v1,IIb,0.022785,IIb/2001ig/LRIS phase-band : u-,SB1,0.15087861,0.8491214,u,2.0
ZTF19abxnycf_20191012_LT_v1.ascii,binnings/ZTF19abxnycf_20191012_LT_v1,IIb-flash,0.06807,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8569045,0.14309552,-7.0,-2.0
ZTF19abxnycf_20191027_Keck1_v1.ascii,binnings/ZTF19abxnycf_20191027_Keck1_v1,II,0.06807,II/iPTF15crj/FLOYDS-N phase-band : u-,Sc,0.19599256,0.8040074,u,2.0
ZTF19abxvjkn_20190921_Lick_3-m_v1.ascii,binnings/ZTF19abxvjkn_20190921_Lick_3-m_v1,Ia 91bg-like,0.051471,Ia 91bg-like/2015ac/KAST phase-band : u-,SB6,0.9530037,0.046996273,u,1.2
ZTF19abxvtxk_20190913_P60_v1.ascii,binnings/ZTF19abxvtxk_20190913_P60_v1,Ia 99aa-like,0.08,Ia 99aa-like/1999aa/KAST phase-band : 0.0B,Sc,0.9990889,0.0009110974,0.0,0.6
ZTF19abycslo_20190919_P60_v1.ascii,binnings/ZTF19abycslo_20190919_P60_v1,SLSN-I,0.0945,SLSN-I/2017egm/KAST phase-band : 6.62B,SB1,0.9384614,0.06153858,6.62,-0.4
