ZTF_Name,Version,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,Ic,6,Ic-SLSN,5.36,6,0.7996
ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,AGN,9,AGN,35.48,9,0.0812
ZTF18aabilqu,ZTF18aabilqu_20180522_P200_v1.ascii,QSO,4,QSO,16.62,4,0.022
ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,Gal,9,Gal,10.65,9,0.0198
ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,II,9,IIb,8.07,7,0.0374
ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,Ic,6,Ic-SLSN,6.68,4,0.1752
ZTF18aabtxvd,ZTF18aabtxvd_20180307_P60_v1.ascii,Ic,5,Ic-BL,4.19,5,0.605
ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,Ib,7,IIb,4.99,6,0.5506
ZTF18aabtxvd,ZTF18aabtxvd_20180327_P60_v1.ascii,Ic,6,Ic-norm,7.16,4,0.5336
ZTF18aabtxvd,ZTF18aabtxvd_20180328_WHT_v1.ascii,II,4,II-norm,9.66,4,0.0651
ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,II,5,IIn,4.13,5,0.3708
ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,II,11,II-norm,12.78,11,0.0617
ZTF18aabtxvd,ZTF18aabtxvd_20180411_P200_v1.ascii,Ia,4,Ia-norm,7.08,4,0.5379
ZTF18aabtxvd,ZTF18aabtxvd_20180417_Keck1_v1.ascii,II,3,II-norm,13.03,3,0.0669
ZTF18aabtxvd,ZTF18aabtxvd_20180419_Gemini_N_v1.ascii,II,4,II-norm,11.85,4,0.0675
ZTF18aabtxvd,ZTF18aabtxvd_20180505_Gemini_N_v1.ascii,TDE,6,TDE,5.04,6,0.0638
ZTF18aabtxvd,ZTF18aabtxvd_20180506_DCT_v1.ascii,TDE,7,TDE,7.89,7,0.0638
ZTF18aabtxvd,ZTF18aabtxvd_20180513_DCT_v1.ascii,TDE,9,TDE,7.97,9,0.0622
ZTF18aabtxvd,ZTF18aabtxvd_20180519_DCT_v2.ascii,Ib,6,Ibn,5.29,6,0.3705
ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,Ic,10,Ic-BL,6.12,10,0.1395
ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,Ic,10,Ic-norm,6.52,10,0.5165
ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,Gal,9,Gal,11.28,9,0.0282
ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,Ic,6,Ic-BL,6.48,5,0.0507
ZTF18aabxlsv,ZTF18aabxlsv_20180510_P60_v1.ascii,Ic,8,Ic-SLSN,8.57,6,0.0555
ZTF18aabxlsv,ZTF18aabxlsv_20180517_P200_v1.ascii,Ic,7,Ic-SLSN,9.46,6,0.0557
ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,II,11,IIn,8.91,8,0.0497
ZTF18aabybkt,ZTF18aabybkt_20180308_P200_v1.ascii,II,7,II-norm,5.56,6,0.0022
ZTF18aabybkt,ZTF18aabybkt_20180309_P60_v1.ascii,II,9,II-norm,6.0,9,0.0083
ZTF18aabybkt,ZTF18aabybkt_20180316_P60_v1.ascii,Ia,6,Ia-norm,4.73,6,0.0261
ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,II,10,II-norm,16.07,9,0.0074
ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,II,11,II-norm,16.38,10,0.0316
ZTF18aachojf,ZTF18aachojf_20180523_P60_v1.ascii,AGN,7,AGN,21.05,7,0.0379
ZTF18aacopwm,ZTF18aacopwm_20181204_Keck1_v1.ascii,Gal,11,Gal,10.26,11,0.088
ZTF18aacsudg,ZTF18aacsudg_20191001_P60_v1.ascii,Gal,9,Gal,10.2,9,0.0242
ZTF18aacsudg,ZTF18aacsudg_20191003_P200_v1.ascii,Gal,10,Gal,14.07,10,0.0247
ZTF18aadbtae,ZTF18aadbtae_20190701_P200_v1.ascii,Gal,5,Gal,7.15,5,0.0762
ZTF18aadkjmo,ZTF18aadkjmo_20181102_P60_v1.ascii,QSO,6,QSO,14.0,6,0.0233
ZTF18aadnqwz,ZTF18aadnqwz_20180831_P60_v1.ascii,Gal,8,Gal,16.3,8,0.0382
ZTF18aadqmyy,ZTF18aadqmyy_20190324_P60_v1.ascii,Gal,7,Gal,11.16,7,0.042
ZTF18aadsuxd,ZTF18aadsuxd_20201103_P60_v1.ascii,Gal,6,Gal,14.87,6,0.0293
ZTF18aadsuxd,ZTF18aadsuxd_20201110_P60_v1.ascii,AGN,7,AGN,7.44,7,0.0301
ZTF18aadvsxy,ZTF18aadvsxy_20200921_P60_v1.ascii,Ia,5,Ia-norm,8.38,5,0.0742
ZTF18aadzfso,ZTF18aadzfso_20200208_LT_v1.ascii,Ia,9,Ia-norm,6.64,8,0.0677
ZTF18aaegvyd,ZTF18aaegvyd_20190625_P60_v1.ascii,II,3,Ic-norm,5.18,3,0.0281
ZTF18aaekkoj,ZTF18aaekkoj_20180514_Keck1_v1.ascii,Gal,9,Gal,38.09,9,0.0454
ZTF18aaemivw,ZTF18aaemivw_20181104_P60_v1.ascii,Ia,11,Ia-csm,9.99,10,0.065
ZTF18aaenfaa,ZTF18aaenfaa_20180922_P60_v1.ascii,AGN,9,AGN,27.19,9,0.0729
ZTF18aaenucd,ZTF18aaenucd_20190315_P200_v1.ascii,TDE,7,TDE,5.43,7,0.0747
ZTF18aaeoiwu,ZTF18aaeoiwu_20191019_P60_v1.ascii,II,8,II-norm,8.27,8,0.6259
ZTF18aaermez,ZTF18aaermez_20190212_P200_v1.ascii,Gal,10,Gal,9.77,10,0.0226
ZTF18aaexyql,ZTF18aaexyql_20191102_P60_v1.ascii,II,5,IIb,5.4,5,0.4753
ZTF18aaexyql,ZTF18aaexyql_20191126_P60_v1.ascii,II,8,II-norm,5.53,5,0.0319
ZTF18aaexyql,ZTF18aaexyql_20200101_P200_v1.ascii,Gal,7,Gal,24.65,7,0.0294
ZTF18aaexyql,ZTF18aaexyql_20200124_Keck1_v1.ascii,Gal,10,Gal,16.93,10,0.0299
ZTF18aaeynan,ZTF18aaeynan_20180916_P60_v1.ascii,Gal,10,Gal,15.93,10,0.0493
ZTF18aafcpdd,ZTF18aafcpdd_20181222_P60_v1.ascii,Ic,6,Ic-SLSN,7.96,6,0.7859
ZTF18aaflcyp,ZTF18aaflcyp_20181229_P60_v1.ascii,Gal,9,Gal,14.08,9,0.028
ZTF18aagpxsx,ZTF18aagpxsx_20181227_P60_v1.ascii,Ic,10,Ic-BL,4.46,10,0.2728
ZTF18aagpzjk,ZTF18aagpzjk_20180320_P60_v1.ascii,Ia,9,Ia-csm,5.63,8,0.4463
ZTF18aagpzjk,ZTF18aagpzjk_20180410_P200_v1.ascii,II,10,II-norm,15.86,9,0.0114
ZTF18aagrdcs,ZTF18aagrdcs_20180327_P60_v1.ascii,Ib,6,Ib-norm,6.72,6,0.0081
ZTF18aagrdcs,ZTF18aagrdcs_20180419_P200_v1.ascii,Ib,7,Ib-norm,18.05,7,0.0207
ZTF18aagrdcs,ZTF18aagrdcs_20180419_TNG_v1.ascii,Ic,7,Ic-norm,12.36,7,0.016
ZTF18aagrkwn,ZTF18aagrkwn_20180601_P60_v1.ascii,II,6,II-norm,10.14,3,0.1426
ZTF18aagrtxs,ZTF18aagrtxs_20180328_P60_v1.ascii,Ia,11,Ia-norm,12.75,11,0.0176
ZTF18aagstdc,ZTF18aagstdc_20180402_P60_v1.ascii,Ia,10,Ia-91T,17.88,5,0.0366
ZTF18aagtcxj,ZTF18aagtcxj_20180410_P200_v1.ascii,Ia,10,Ia-norm,21.18,10,0.0333
ZTF18aagteoy,ZTF18aagteoy_20180403_P60_v1.ascii,TDE,10,TDE,7.57,10,0.0438
ZTF18aagteoy,ZTF18aagteoy_20180404_DCT_v3.ascii,II,10,II-norm,10.77,10,0.049
ZTF18aagtevs,ZTF18aagtevs_20180404_DCT_v2.ascii,Gal,6,Gal,15.58,6,0.0348
ZTF18aahatvc,ZTF18aahatvc_20200507_P60_v1.ascii,Ic,6,Ic-SLSN,6.55,6,0.0985
ZTF18aahatvc,ZTF18aahatvc_20200518_P60_v1.ascii,Ia,9,Ia-csm,7.51,7,0.0742
ZTF18aahatvc,ZTF18aahatvc_20200522_P60_v1.ascii,Ia,8,Ia-norm,8.42,4,0.1013
ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v1.ascii,Gal,6,Gal,7.19,6,0.0786
ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v4.ascii,Gal,6,Gal,7.19,6,0.0786
ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v5.ascii,Gal,8,Gal,7.19,8,0.0786
ZTF18aahesrp,ZTF18aahesrp_20180410_P60_v1.ascii,Ia,10,Ia-norm,7.5,6,0.0754
ZTF18aahfeiy,ZTF18aahfeiy_20180513_LT_v1.ascii,Ia,6,Ia-norm,7.1,4,0.0792
ZTF18aahfeiy,ZTF18aahfeiy_20180514_P60_v1.ascii,Ia,4,Ia-91T,3.45,3,0.6986
ZTF18aahfeiy,ZTF18aahfeiy_20180517_P200_v1.ascii,Ia,11,Ia-norm,17.3,11,0.0696
ZTF18aahfgsk,ZTF18aahfgsk_20180411_APO_v1.ascii,Ia,10,Ia-norm,18.64,8,0.0523
ZTF18aahfgyz,ZTF18aahfgyz_20180410_P200_v1.ascii,Ia,11,Ia-91bg,19.77,10,0.016
ZTF18aahfjdt,ZTF18aahfjdt_20180419_P60_v1.ascii,Gal,8,Gal,10.86,8,0.0453
ZTF18aahfohe,ZTF18aahfohe_20180419_P60_v1.ascii,Gal,4,Gal,9.19,4,0.0256
ZTF18aahfohe,ZTF18aahfohe_20180513_DCT_v1.ascii,Gal,8,Gal,14.22,8,0.0282
ZTF18aahfqbc,ZTF18aahfqbc_20180411_APO_v1.ascii,II,9,II-norm,15.38,9,0.0011
ZTF18aahfxnn,ZTF18aahfxnn_20180410_P200_v1.ascii,Ia,10,Ia-norm,16.45,10,0.0745
ZTF18aahfzea,ZTF18aahfzea_20180421_P60_v1.ascii,Ia,11,Ia-norm,24.78,11,0.0245
ZTF18aahfzea,ZTF18aahfzea_20180421_P60_v2.ascii,Ia,10,Ia-norm,24.78,9,0.0245
ZTF18aahheaj,ZTF18aahheaj_20180411_APO_v1.ascii,Ia,9,Ia-norm,14.03,9,0.0444
ZTF18aahheaj,ZTF18aahheaj_20180414_LT_v1.ascii,Ia,8,Ia-norm,21.67,8,0.0469
ZTF18aahhenr,ZTF18aahhenr_20180411_APO_v1.ascii,Ia,8,Ia-91T,10.75,7,0.0801
ZTF18aahhenr,ZTF18aahhenr_20180412_LT_v1.ascii,Ia,10,Ia-norm,7.72,5,0.0823
ZTF18aahhqih,ZTF18aahhqih_20180327_P60_v1.ascii,II,6,IIn,5.26,3,0.013
ZTF18aahhzqn,ZTF18aahhzqn_20180421_P60_v1.ascii,Ib,5,Ib-norm,6.78,5,0.0341
ZTF18aahhzqn,ZTF18aahhzqn_20180421_P60_v2.ascii,Ic,5,Ic-norm,7.83,3,0.0255
ZTF18aahhzqn,ZTF18aahhzqn_20180502_NOT_v1.ascii,Ic,6,Ic-norm,23.04,6,0.026
ZTF18aahhzqn,ZTF18aahhzqn_20190403_Keck1_v1.ascii,Ia,9,Ia-91T,3.84,5,0.4337
ZTF18aahijwe,ZTF18aahijwe_20180425_P60_v1.ascii,Ic,5,Ic-BL,8.7,5,0.0576
ZTF18aahjafd,ZTF18aahjafd_20180421_APO_v1.ascii,Ia,9,Ia-norm,20.28,9,0.0424
ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v1.ascii,Ia,9,Ia-91bg,8.17,8,0.0448
ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v2.ascii,Ia,10,Ia-91bg,8.17,9,0.0448
ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v3.ascii,Ic,7,Ic-SLSN,6.74,5,0.0004
ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v4.ascii,Ia,9,Ia-91bg,8.17,9,0.0448
ZTF18aahjaxz,ZTF18aahjaxz_20180421_P60_v1.ascii,Ia,8,Ia-91bg,6.98,7,0.0445
ZTF18aahjaxz,ZTF18aahjaxz_20180421_P60_v2.ascii,Ia,9,Ia-91bg,6.98,9,0.0445
ZTF18aahjaxz,ZTF18aahjaxz_20180428_LT_v1.ascii,Ib,5,Ib-norm,4.89,5,0.294
ZTF18aahmhxu,ZTF18aahmhxu_20180422_P60_v2.ascii,Ic,4,Ic-BL,3.41,3,0.894
ZTF18aahmhxu,ZTF18aahmhxu_20180422_P60_v4.ascii,Ic,6,Ic-SLSN,2.85,5,0.9788
ZTF18aahmhxu,ZTF18aahmhxu_20180428_LT_v1.ascii,Ic,4,Ic-BL,3.63,4,0.2817
ZTF18aahmhxu,ZTF18aahmhxu_20180517_P200_v1.ascii,Gal,5,Gal,5.94,5,0.1695
ZTF18aahmhxu,ZTF18aahmhxu_20180517_P200_v2.ascii,QSO,4,QSO,9.64,4,0.1666
ZTF18aahmhxu,ZTF18aahmhxu_20180717_P200_v1.ascii,II,4,II-norm,11.17,3,0.1655
ZTF18aahmhxu,ZTF18aahmhxu_20181213_P200_v2.ascii,AGN,5,AGN,16.32,5,0.1647
ZTF18aahmkac,ZTF18aahmkac_20190529_DCT_v1.ascii,II,6,II-norm,10.24,6,0.0666
ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v2.ascii,Ic,4,Ic-SLSN,5.03,3,0.1906
ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v5.ascii,Ib,11,Ib-norm,12.86,11,0.0239
ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v6.ascii,Ib,8,Ib-norm,17.38,8,0.0315
ZTF18aahmxqa,ZTF18aahmxqa_20180410_P200_v1.ascii,Ib,10,Ib-norm,22.62,10,0.0263
ZTF18aahmxqa,ZTF18aahmxqa_20180417_NOT_v1.ascii,Ic,8,Ic-norm,14.7,8,0.0267
ZTF18aahmxqa,ZTF18aahmxqa_20180419_TNG_v1.ascii,Ib,5,Ib-norm,19.23,5,0.0265
ZTF18aahmxqa,ZTF18aahmxqa_20180514_Keck1_v1.ascii,Ib,7,Ib-norm,14.36,5,0.0337
ZTF18aahmxqa,ZTF18aahmxqa_20180712_Keck1_v1.ascii,Ib,11,Ib-norm,12.21,11,0.0322
ZTF18aahnnly,ZTF18aahnnly_20180508_P200_v1.ascii,II,11,II-norm,12.13,11,0.0291
ZTF18aahpbal,ZTF18aahpbal_20180418_P60_v1.ascii,AGN,10,AGN,13.05,10,0.0577
ZTF18aahpbwz,ZTF18aahpbwz_20180426_P60_v1.ascii,Ic,9,Ic-SLSN,4.75,9,0.0563
ZTF18aahpbwz,ZTF18aahpbwz_20180509_NOT_v1.ascii,Ic,8,Ic-BL,6.76,4,0.0602
ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v1.ascii,Ic,9,Ic-SLSN,6.65,9,0.0491
ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v2.ascii,Ia,5,Ia-91T,7.01,3,0.2037
ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v3.ascii,Ia,7,Ia-norm,7.91,4,0.2165
ZTF18aahpbwz,ZTF18aahpbwz_20180516_NOT_v1.ascii,Ic,9,Ic-norm,9.22,9,0.0599
ZTF18aahpbwz,ZTF18aahpbwz_20180517_P200_v1.ascii,Ic,9,Ic-norm,9.61,7,0.0618
ZTF18aahpbwz,ZTF18aahpbwz_20181110_Keck1_v1.ascii,Gal,6,Gal,6.76,6,0.0504
ZTF18aahptcq,ZTF18aahptcq_20180415_P60_v1.ascii,Ia,7,Ia-norm,11.12,5,0.0668
ZTF18aahptcq,ZTF18aahptcq_20180415_P60_v2.ascii,Ia,7,Ia-norm,5.29,6,0.0539
ZTF18aahqfee,ZTF18aahqfee_20180513_DCT_v1.ascii,II,11,II-norm,16.41,11,0.039
ZTF18aahqkbt,ZTF18aahqkbt_20180418_P60_v1.ascii,Ia,4,Ia-norm,7.97,3,0.0651
ZTF18aahqkbt,ZTF18aahqkbt_20180513_DCT_v1.ascii,TDE,8,TDE,8.12,8,0.0502
ZTF18aahqkbt,ZTF18aahqkbt_20180517_P60_v1.ascii,TDE,11,TDE,8.84,11,0.0521
ZTF18aahqkbt,ZTF18aahqkbt_20180519_DCT_v1.ascii,TDE,7,TDE,10.54,7,0.0489
ZTF18aahqkbt,ZTF18aahqkbt_20180520_P60_v1.ascii,TDE,8,TDE,9.01,8,0.0485
ZTF18aahqkbt,ZTF18aahqkbt_20180913_DCT_v1.ascii,II,3,II-norm,5.46,3,0.0513
ZTF18aahqkbt,ZTF18aahqkbt_20191023_DCT_v1.ascii,Gal,5,Gal,8.45,5,0.0499
ZTF18aahqmsr,ZTF18aahqmsr_20180426_P60_v1.ascii,Ia,10,Ia-91T,7.85,5,0.0652
ZTF18aahshhp,ZTF18aahshhp_20200303_P60_v1.ascii,Ia,8,Ia-norm,7.56,8,0.0582
ZTF18aahtjsc,ZTF18aahtjsc_20190401_P60_v1.ascii,Ia,5,Ia-norm,5.92,5,0.0582
ZTF18aahtkze,ZTF18aahtkze_20180513_DCT_v1.ascii,Gal,6,Gal,18.43,6,0.0691
ZTF18aahuujv,ZTF18aahuujv_20190704_P200_v1.ascii,Gal,10,Gal,13.04,10,0.0343
ZTF18aahuujv,ZTF18aahuujv_20190704_P60_v1.ascii,Ic,5,Ic-BL,9.42,3,0.0458
ZTF18aahuujv,ZTF18aahuujv_20190708_P60_v1.ascii,Ic,9,Ic-BL,9.07,7,0.0543
ZTF18aahvcby,ZTF18aahvcby_20180513_DCT_v1.ascii,QSO,8,QSO,16.53,8,0.0664
ZTF18aahvndq,ZTF18aahvndq_20200509_GTC_v1.ascii,Ia,10,Ia-91T,10.33,9,0.0106
ZTF18aaiiigm,ZTF18aaiiigm_20190314_P60_v1.ascii,Ia,10,Ia-csm,6.61,8,0.0796
ZTF18aaikcbb,ZTF18aaikcbb_20180616_P200_v2.ascii,II,11,II-norm,12.87,10,0.0454
ZTF18aaikcbb,ZTF18aaikcbb_20180717_P200_v1.ascii,II,9,II-norm,16.66,7,0.0431
ZTF18aaikyip,ZTF18aaikyip_20181223_P60_v1.ascii,Ic,9,Ic-BL,9.29,6,0.2676
ZTF18aaikyip,ZTF18aaikyip_20181224_P60_v1.ascii,Ic,9,Ic-BL,8.08,9,0.5132
ZTF18aailmnv,ZTF18aailmnv_20180721_P60_v1.ascii,Ia,9,Ia-norm,9.23,9,0.0787
ZTF18aainvic,ZTF18aainvic_20180516_P200_v1.ascii,II,11,II-norm,19.08,11,0.0391
