ZTF_Name,Version,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF19aadttht,ZTF19aadttht_20190612_P60_v1.ascii,Ia,5,Ia-91T,8.05,3,0.5969
ZTF19aadttht,ZTF19aadttht_20190702_P60_v1.ascii,Ic,3,Ia-91bg,7.3,2,0.6014
ZTF19aadttht,ZTF19aadttht_20190926_Keck1_v1.ascii,Ic,5,Ic-norm,7.78,3,0.6079
ZTF19aadttht,ZTF19aadttht_20190926_Keck1_v2.ascii,Ic,3,Ic-norm,7.49,2,0.6085
ZTF19aaduufr,ZTF19aaduufr_20190315_P200_v1.ascii,II,22,II-norm,14.08,22,0.0445
ZTF19aaduufr,ZTF19aaduufr_20190418_P60_v2.ascii,II,14,II-norm,10.34,14,0.0421
ZTF19aaduufr,ZTF19aaduufr_20190420_P60_v1.ascii,II,10,II-norm,8.5,10,0.0417
ZTF19aadwtoe,ZTF19aadwtoe_20190126_P200_v2.ascii,Gal,13,Gal,9.82,13,0.015
ZTF19aadwtoe,ZTF19aadwtoe_20190209_P60_v1.ascii,Gal,11,Gal,7.89,11,0.0141
ZTF19aadwtoe,ZTF19aadwtoe_20190209_P60_v3.ascii,Ic,12,Ic-SLSN,11.48,12,0.0367
ZTF19aadwtoe,ZTF19aadwtoe_20190210_NOT_v1.ascii,Ic,17,Ic-norm,14.06,16,0.0202
ZTF19aadwtoe,ZTF19aadwtoe_20190406_Keck1_v1.ascii,Gal,5,Gal,9.57,5,0.0154
ZTF19aadwtoe,ZTF19aadwtoe_20200124_Keck1_v1.ascii,Gal,11,Gal,26.7,11,0.0154
ZTF19aadwtoe,ZTF19aadwtoe_20200124_Keck1_v2.ascii,Gal,16,Gal,24.14,16,0.0153
ZTF19aadyiao,ZTF19aadyiao_20190315_P60_v1.ascii,Ib,16,Ib-norm,4.04,9,0.2389
ZTF19aadyiao,ZTF19aadyiao_20190315_P60_v2.ascii,Ia,6,Ia-norm,4.16,6,0.1544
ZTF19aadyiao,ZTF19aadyiao_20190424_P200_v1.ascii,II,6,IIn,10.48,5,0.035
ZTF19aadyioa,ZTF19aadyioa_20190315_P200_v1.ascii,Ic,9,Ic-norm,7.48,5,0.507
ZTF19aadypig,ZTF19aadypig_20190220_P60_v1.ascii,Ia,8,Ia-norm,4.51,4,0.0305
ZTF19aadyppr,ZTF19aadyppr_20190126_NOT_v2.ascii,LBV,22,LBV,5.67,22,0.0019
ZTF19aadyppr,ZTF19aadyppr_20190126_P200_v1.ascii,Gal,6,Gal,9.05,6,0.0016
ZTF19aadyppr,ZTF19aadyppr_20190127_Gemini_N_v1.ascii,Ic,4,Ic-norm,5.4,3,-0.0094
ZTF19aadyppr,ZTF19aadyppr_20190127_Gemini_N_v2.ascii,Ia,3,Ia-91T,5.12,3,0.1443
ZTF19aadyppr,ZTF19aadyppr_20190206_NOT_v4.ascii,II,6,II-norm,12.12,6,0.0006
ZTF19aadyppr,ZTF19aadyppr_20190206_NOT_v5.ascii,II,3,II-norm,14.03,3,0.0007
ZTF19aadyppr,ZTF19aadyppr_20190208_P60_v1.ascii,Ic,5,Ic-BL,4.25,5,0.8103
ZTF19aadyppr,ZTF19aadyppr_20190212_P200_v1.ascii,LBV,8,LBV,10.67,8,0.0009
ZTF19aadyppr,ZTF19aadyppr_20190219_P60_v1.ascii,Ia,4,Ia-91T,5.74,4,-0.004
ZTF19aadyppr,ZTF19aadyppr_20190223_NOT_v1.ascii,II,7,II-norm,8.05,7,0.0011
ZTF19aadyppr,ZTF19aadyppr_20190307_Keck1_v1.ascii,LBV,8,LBV,7.49,8,0.0016
ZTF19aadyppr,ZTF19aadyppr_20190314_P60_v1.ascii,II,5,II-norm,5.65,4,0.2834
ZTF19aadyppr,ZTF19aadyppr_20190316_P200_v1.ascii,LBV,6,LBV,6.19,6,0.0023
ZTF19aadyppr,ZTF19aadyppr_20190413_P200_v1.ascii,II,4,II-norm,5.99,4,0.0016
ZTF19aadyppr,ZTF19aadyppr_20190513_P200_v1.ascii,Gal,7,Gal,7.52,7,0.0009
ZTF19aaeaeid,ZTF19aaeaeid_20190304_P60_v1.ascii,II,6,II-norm,7.61,6,0.0526
ZTF19aaebbam,ZTF19aaebbam_20190126_P200_v2.ascii,Ia,3,Ia-norm,3.98,3,0.463
ZTF19aaebbam,ZTF19aaebbam_20190212_P200_v1.ascii,Gal,4,Gal,5.27,4,0.0304
ZTF19aaefkfo,ZTF19aaefkfo_20190212_P200_v1.ascii,Ia,10,Ia-norm,8.42,8,0.0342
ZTF19aaeflme,ZTF19aaeflme_20190131_APO_v1.ascii,Ia,5,Ia-91T,4.76,4,0.0577
ZTF19aaeiowr,ZTF19aaeiowr_20190126_P200_v2.ascii,Ic,5,Ic-SLSN,9.72,4,0.7649
ZTF19aaejtof,ZTF19aaejtof_20190212_P200_v1.ascii,II,8,IIb,12.39,8,0.0394
ZTF19aaekvhn,ZTF19aaekvhn_20190304_Keck1_v1.ascii,Ia,6,Ia-norm,23.92,6,0.0613
ZTF19aaeopbq,ZTF19aaeopbq_20190212_P200_v1.ascii,Gal,7,Gal,7.05,7,0.0379
ZTF19aaeopbq,ZTF19aaeopbq_20190212_P200_v2.ascii,Gal,7,Gal,5.56,7,0.0379
ZTF19aaeopbq,ZTF19aaeopbq_20190212_P200_v3.ascii,II,5,IIn,5.84,4,0.0379
ZTF19aaeopgw,ZTF19aaeopgw_20190226_P60_v1.ascii,QSO,5,QSO,16.51,5,0.1278
ZTF19aaeopgw,ZTF19aaeopgw_20190303_LT_v1.ascii,AGN,4,AGN,15.38,4,0.1265
ZTF19aaeopqn,ZTF19aaeopqn_20190126_P200_v1.ascii,Ic,4,Ic-norm,9.76,4,0.0268
ZTF19aaeoqkk,ZTF19aaeoqkk_20190307_Keck1_v1.ascii,Ia,10,Ia-norm,17.79,8,0.0685
ZTF19aaeoqqj,ZTF19aaeoqqj_20190212_P200_v1.ascii,Gal,10,Gal,11.92,10,0.0304
ZTF19aaeoqsi,ZTF19aaeoqsi_20190406_Keck1_v1.ascii,Gal,9,Gal,13.95,9,0.0461
ZTF19aaephty,ZTF19aaephty_20190204_UH88_v1.ascii,Ia,11,Ia-norm,13.13,9,0.036
ZTF19aaepvjg,ZTF19aaepvjg_20191031_P60_v2.ascii,TDE,6,TDE,3.68,6,0.3965
ZTF19aaerbzy,ZTF19aaerbzy_20190114_LT_v1.ascii,QSO,5,QSO,10.59,5,0.0537
ZTF19aaeuhgo,ZTF19aaeuhgo_20191003_P60_v1.ascii,II,10,IIn,8.92,10,0.0619
ZTF19aaezale,ZTF19aaezale_20190629_P60_v1.ascii,II,4,II-norm,4.76,4,0.086
ZTF19aaezale,ZTF19aaezale_20190712_P60_v1.ascii,II,7,IIn,10.07,6,0.0802
ZTF19aaezwmr,ZTF19aaezwmr_20190225_P60_v1.ascii,Ia,10,Ia-norm,16.45,9,0.0627
ZTF19aaflcgn,ZTF19aaflcgn_20190316_P60_v1.ascii,Gal,8,Gal,15.36,8,0.0065
ZTF19aaflhbi,ZTF19aaflhbi_20190212_P200_v1.ascii,Gal,7,Gal,7.96,7,0.0442
ZTF19aaflhvf,ZTF19aaflhvf_20190212_P200_v1.ascii,Gal,10,Gal,10.04,10,0.0419
ZTF19aafljiq,ZTF19aafljiq_20190225_P200_v1.ascii,QSO,6,QSO,14.65,6,0.1055
ZTF19aafljiq,ZTF19aafljiq_20190225_P60_v1.ascii,LBV,5,LBV,4.61,5,0.1082
ZTF19aaflrxz,ZTF19aaflrxz_20190212_P200_v1.ascii,Gal,10,Gal,16.27,10,0.0286
ZTF19aafltef,ZTF19aafltef_20190301_P60_v1.ascii,AGN,6,AGN,27.22,6,0.0466
ZTF19aafmfxg,ZTF19aafmfxg_20190208_MDM24_v1.ascii,Ia,11,Ia-91T,31.46,11,0.05
ZTF19aafmhcl,ZTF19aafmhcl_20190209_P60_v3.ascii,Ia,11,Ia-91T,13.63,9,0.0707
ZTF19aafmjfw,ZTF19aafmjfw_20190529_DCT_v1.ascii,QSO,4,QSO,20.49,4,0.0083
ZTF19aafmjfw,ZTF19aafmjfw_20201206_DCT_v1.ascii,Gal,5,Gal,21.71,5,0.0079
ZTF19aafmvdb,ZTF19aafmvdb_20190212_P200_v1.ascii,Ia,10,Ia-norm,25.98,10,0.0205
ZTF19aafmyow,ZTF19aafmyow_20190225_LT_v1.ascii,Ic,8,Ic-BL,16.02,8,0.0391
ZTF19aafmyow,ZTF19aafmyow_20190409_NOT_v1.ascii,Ic,4,Ic-norm,12.75,4,0.0224
ZTF19aafmyow,ZTF19aafmyow_20190419_P60_v1.ascii,Ib,10,Ib-norm,6.97,10,0.0268
ZTF19aafmyow,ZTF19aafmyow_20190530_P60_v1.ascii,Ic,4,Ic-norm,6.56,4,0.4233
ZTF19aafmyow,ZTF19aafmyow_20190530_P60_v2.ascii,II,3,IIn,4.89,3,0.1905
ZTF19aafncsv,ZTF19aafncsv_20190314_P60_v1.ascii,Ia,8,Ia-norm,14.5,5,0.0391
ZTF19aafndot,ZTF19aafndot_20190212_P200_v1.ascii,II,9,II-norm,17.14,6,0.0344
ZTF19aafnecv,ZTF19aafnecv_20190212_P200_v1.ascii,Ia,11,Ia-norm,29.79,11,0.0362
ZTF19aafnend,ZTF19aafnend_20190415_P60_v1.ascii,Ic,2,Ic-BL,4.35,2,0.8143
ZTF19aafnend,ZTF19aafnend_20190417_P60_v1.ascii,II,6,IIb,6.92,3,0.1198
ZTF19aafnend,ZTF19aafnend_20190602_P200_v1.ascii,QSO,4,QSO,17.15,4,0.1192
ZTF19aafnfyc,ZTF19aafnfyc_20190304_P60_v1.ascii,Ia,9,Ia-norm,9.95,5,0.0777
ZTF19aafpyse,ZTF19aafpyse_20190212_P200_v1.ascii,Ic,4,Ic-BL,4.38,4,0.0203
ZTF19aafwrhf,ZTF19aafwrhf_20191219_LT_v2.ascii,Ia,10,Ia-norm,12.54,10,0.0558
ZTF19aafwrhf,ZTF19aafwrhf_20191220_P60_v1.ascii,Ia,5,Ia-norm,6.81,5,0.0626
ZTF19aagkfvq,ZTF19aagkfvq_20200518_LT_v1.ascii,Ia,5,Ia-norm,12.62,3,0.0596
ZTF19aagmpeq,ZTF19aagmpeq_20190212_P200_v1.ascii,Ia,7,Ia-norm,24.89,7,0.0561
ZTF19aagmsrr,ZTF19aagmsrr_20190201_Gemini_N_v1.ascii,Ic,4,Ic-SLSN,8.14,4,0.1563
ZTF19aagqkrq,ZTF19aagqkrq_20190211_NOT_v1.ascii,LBV,3,LBV,13.85,3,0.0026
ZTF19aagqkrq,ZTF19aagqkrq_20190212_P200_v1.ascii,II,5,II-norm,12.05,5,0.0043
ZTF19aagwzod,ZTF19aagwzod_20200123_Keck1_v1.ascii,AGN,7,AGN,20.38,7,0.0712
ZTF19aagwzod,ZTF19aagwzod_20200129_P60_v1.ascii,TDE,9,TDE,10.94,9,0.0712
ZTF19aagwzod,ZTF19aagwzod_20200226_DCT_v1.ascii,QSO,8,QSO,13.12,8,0.0708
ZTF19aagwzod,ZTF19aagwzod_20200913_DCT_v1.ascii,II,8,II-norm,8.81,8,0.07
ZTF19aagwzod,ZTF19aagwzod_20201206_DCT_v1.ascii,II,6,IIn,10.71,5,0.0709
ZTF19aagzanb,ZTF19aagzanb_20200112_LT_v1.ascii,Gal,6,Gal,14.41,6,0.0355
ZTF19aagzanb,ZTF19aagzanb_20200112_LT_v2.ascii,AGN,8,AGN,23.42,8,0.0354
ZTF19aahjhoy,ZTF19aahjhoy_20190212_P200_v1.ascii,Ia,10,Ia-91bg,14.46,10,0.0124
ZTF19aahsclk,ZTF19aahsclk_20190406_Keck1_v1.ascii,TDE,5,TDE,4.53,5,0.4256
ZTF19aahsgka,ZTF19aahsgka_20190224_P60_v1.ascii,Ia,7,Ia-norm,11.96,7,0.0195
ZTF19aahsmns,ZTF19aahsmns_20190225_P60_v1.ascii,Gal,5,Gal,12.54,5,0.0498
ZTF19aahsnmq,ZTF19aahsnmq_20190220_P60_v1.ascii,Ia,9,Ia-norm,7.62,9,0.0622
ZTF19aahuian,ZTF19aahuian_20190211_P60_v1.ascii,Ia,9,Ia-norm,11.06,9,0.0691
ZTF19aahulyd,ZTF19aahulyd_20190211_P60_v1.ascii,Ia,9,Ia-norm,17.24,8,0.0449
ZTF19aahulyd,ZTF19aahulyd_20190213_Ekar_v1.ascii,Ia,9,Ia-norm,16.31,9,0.0479
ZTF19aahygro,ZTF19aahygro_20190212_P200_v1.ascii,Ia,9,Ia-norm,15.49,5,0.0219
ZTF19aahygro,ZTF19aahygro_20190304_P200_v1.ascii,Ia,8,Ia-norm,26.89,7,0.0301
ZTF19aailcgs,ZTF19aailcgs_20190212_P200_v1.ascii,Ic,7,Ic-BL,9.99,5,0.0328
ZTF19aailcgs,ZTF19aailcgs_20190301_NOT_v1.ascii,Ic,10,Ic-BL,15.92,9,0.019
ZTF19aailcgs,ZTF19aailcgs_20191203_Keck1_v3.ascii,Ia,0,Ia,3.04,0,1.1606
ZTF19aailcgs,ZTF19aailcgs_20191203_Keck1_v4.ascii,Ia,0,Ia,3.23,0,0.9404
ZTF19aailepg,ZTF19aailepg_20190315_P200_v1.ascii,II,4,II-norm,9.7,4,0.0287
ZTF19aaileug,ZTF19aaileug_20190311_LT_v1.ascii,Ia,7,Ia-91T,18.12,6,0.0591
ZTF19aaillan,ZTF19aaillan_20190225_LT_v1.ascii,Ia,6,Ia-norm,8.94,6,0.0693
ZTF19aailltc,ZTF19aailltc_20190225_P60_v1.ascii,Ia,6,Ia-norm,5.79,6,0.0923
ZTF19aailltc,ZTF19aailltc_20190304_P200_v1.ascii,Ic,5,Ic-norm,10.74,4,0.1106
ZTF19aailltc,ZTF19aailltc_20190406_Keck1_v1.ascii,Ia,9,Ia-norm,13.51,9,0.0928
ZTF19aailmfm,ZTF19aailmfm_20190304_P200_v1.ascii,Gal,6,Gal,10.53,6,0.0806
ZTF19aailpwl,ZTF19aailpwl_20190622_DCT_v1.ascii,Ia,7,Ia-csm,6.69,7,0.0179
ZTF19aailpwl,ZTF19aailpwl_20200328_P60_v1.ascii,II,2,II-norm,6.05,2,0.0169
ZTF19aailpwl,ZTF19aailpwl_20200328_P60_v2.ascii,II,5,IIn,6.46,3,0.0288
ZTF19aailpwl,ZTF19aailpwl_20201206_DCT_v1.ascii,II,6,IIn,5.61,5,0.0313
ZTF19aailqir,ZTF19aailqir_20190306_Keck1_v1.ascii,Ia,11,Ia-norm,24.37,11,0.0508
ZTF19aailqli,ZTF19aailqli_20190305_P60_v1.ascii,Ia,11,Ia-norm,27.26,8,0.0586
ZTF19aailsex,ZTF19aailsex_20190212_P200_v1.ascii,II,8,II-norm,7.19,8,0.0308
ZTF19aailsge,ZTF19aailsge_20190212_P200_v1.ascii,Ib,6,Ib-norm,12.14,4,0.0353
ZTF19aailsge,ZTF19aailsge_20190223_NOT_v1.ascii,Ib,7,IIb,8.95,4,0.0327
ZTF19aailsge,ZTF19aailsge_20190603_Keck1_v1.ascii,Ib,10,IIb,14.52,7,0.0364
ZTF19aailteb,ZTF19aailteb_20190315_P200_v1.ascii,Ia,10,Ia-norm,10.15,6,0.0753
ZTF19aailvhf,ZTF19aailvhf_20190212_P200_v1.ascii,Ic,6,Ic-BL,4.14,6,0.332
ZTF19aailvhf,ZTF19aailvhf_20190315_P60_v1.ascii,II,4,IIb,5.21,4,0.7123
ZTF19aailvhf,ZTF19aailvhf_20190406_Keck1_v1.ascii,II,9,II-norm,21.61,9,0.028
ZTF19aaimcgv,ZTF19aaimcgv_20190403_Keck1_v1.ascii,Gal,8,Gal,27.35,8,0.0438
ZTF19aainipd,ZTF19aainipd_20190223_P60_v1.ascii,II,4,II-norm,4.17,3,0.3269
ZTF19aainjpz,ZTF19aainjpz_20190212_P200_v1.ascii,Ia,7,Ia-91T,7.19,6,0.0257
ZTF19aainjqn,ZTF19aainjqn_20190211_P60_v1.ascii,Ia,8,Ia-norm,7.94,8,0.035
ZTF19aainjqn,ZTF19aainjqn_20190211_SOAR_v1.ascii,Ia,9,Ia-norm,15.74,9,0.0302
ZTF19aainmwq,ZTF19aainmwq_20190313_P60_v1.ascii,Ia,4,Ia-norm,4.43,2,0.1356
ZTF19aaiohcc,ZTF19aaiohcc_20190317_P60_v1.ascii,Gal,5,Gal,10.71,5,0.0338
ZTF19aaiqetk,ZTF19aaiqetk_20190212_P200_v1.ascii,Gal,6,Gal,4.65,6,0.0425
ZTF19aaiqmgl,ZTF19aaiqmgl_20190315_NOT_v1.ascii,QSO,6,QSO,23.09,6,0.0292
ZTF19aaiqmgl,ZTF19aaiqmgl_20200509_P60_v1.ascii,II,5,II-norm,9.17,5,0.028
ZTF19aaiqmgl,ZTF19aaiqmgl_20200918_P60_v1.ascii,II,7,II-norm,8.61,7,0.0271
ZTF19aaiqmgl,ZTF19aaiqmgl_20200919_P60_v1.ascii,LBV,6,LBV,8.92,6,0.029
ZTF19aaiqmgl,ZTF19aaiqmgl_20200922_P60_v1.ascii,AGN,9,AGN,11.48,9,0.0284
ZTF19aajwdqt,ZTF19aajwdqt_20190225_P60_v1.ascii,Ia,9,Ia-norm,11.73,6,0.0892
ZTF19aajwhbc,ZTF19aajwhbc_20190315_P60_v1.ascii,Ia,9,Ia-norm,11.03,7,0.104
ZTF19aajwhse,ZTF19aajwhse_20190204_LT_v1.ascii,Ia,6,Ia-norm,15.1,6,0.0365
ZTF19aajwjwq,ZTF19aajwjwq_20190424_P200_v1.ascii,Ia,9,Ia-91bg,13.18,4,0.0429
ZTF19aajxhwa,ZTF19aajxhwa_20190225_P60_v1.ascii,Ia,11,Ia-norm,23.52,11,0.033
ZTF19aajxwnz,ZTF19aajxwnz_20190224_P60_v1.ascii,Ia,10,Ia-norm,14.5,8,0.0173
ZTF19aajyceh,ZTF19aajyceh_20190406_Keck1_v1.ascii,Gal,5,Gal,5.99,5,-0.0007
ZTF19aakirwj,ZTF19aakirwj_20190224_P60_v1.ascii,II,10,II-norm,5.87,6,0.0544
ZTF19aakirwj,ZTF19aakirwj_20190224_P60_v2.ascii,Ib,4,Ib-norm,5.2,4,0.0354
ZTF19aakirwj,ZTF19aakirwj_20190315_P200_v1.ascii,Ic,15,Ic-norm,14.13,15,0.0333
ZTF19aakirwj,ZTF19aakirwj_20190418_NOT_v1.ascii,Ic,6,Ic-norm,12.43,5,0.0329
ZTF19aakirwj,ZTF19aakirwj_20190419_P60_v1.ascii,Ia,8,Ia-norm,3.99,8,0.4109
ZTF19aakirwj,ZTF19aakirwj_20190429_Keck1_v1.ascii,Ic,7,Ic-norm,19.05,5,0.0368
ZTF19aakirwj,ZTF19aakirwj_20190603_Keck1_v2.ascii,Ic,9,Ic-BL,13.49,5,0.0324
ZTF19aakisjl,ZTF19aakisjl_20190315_P60_v1.ascii,Ic,8,Ic-BL,6.25,8,0.291
ZTF19aakisqk,ZTF19aakisqk_20190304_Keck1_v1.ascii,Ia,8,Ia-norm,20.31,4,0.0753
ZTF19aakiwxx,ZTF19aakiwxx_20190301_P60_v1.ascii,Ia,9,Ia-norm,25.93,9,0.0453
ZTF19aakiyed,ZTF19aakiyed_20190315_P200_v1.ascii,II,9,II-norm,19.17,9,0.0395
ZTF19aakiyfn,ZTF19aakiyfn_20190225_P200_v1.ascii,II,11,II-norm,18.38,10,0.0448
ZTF19aakiyly,ZTF19aakiyly_20190225_P60_v1.ascii,Ia,10,Ia-norm,15.99,8,0.0686
ZTF19aakjbej,ZTF19aakjbej_20190406_Keck1_v1.ascii,Ia,10,Ia-norm,20.81,10,0.0895
ZTF19aakjesi,ZTF19aakjesi_20190413_P60_v1.ascii,Ia,4,Ia-norm,4.53,4,0.4388
ZTF19aakjfaz,ZTF19aakjfaz_20190315_P200_v1.ascii,Ia,8,Ia-norm,11.37,7,0.0411
ZTF19aakkrqu,ZTF19aakkrqu_20190224_P60_v1.ascii,Gal,8,Gal,6.13,8,0.2534
ZTF19aakkrqu,ZTF19aakkrqu_20190224_P60_v2.ascii,II,7,II-norm,4.01,5,0.3894
ZTF19aakkrqu,ZTF19aakkrqu_20190406_Keck1_v1.ascii,II,10,II-norm,14.7,10,0.035
ZTF19aakkths,ZTF19aakkths_20190224_P60_v1.ascii,Ia,5,Ia-norm,6.53,2,0.033
ZTF19aakkths,ZTF19aakkths_20190315_P200_v1.ascii,II,3,IIb,7.39,3,0.0168
ZTF19aakkths,ZTF19aakkths_20190315_P200_v2.ascii,Ib,10,Ib-norm,6.84,9,0.0177
ZTF19aakkuki,ZTF19aakkuki_20190224_P60_v1.ascii,Ia,6,Ia-norm,4.8,3,0.0901
ZTF19aakkwpi,ZTF19aakkwpi_20190406_Keck1_v1.ascii,II,10,II-norm,18.1,10,0.0314
ZTF19aaklbok,ZTF19aaklbok_20190225_P60_v1.ascii,Ia,7,Ia-91T,8.14,5,0.0921
ZTF19aaklbok,ZTF19aaklbok_20190305_P60_v1.ascii,Ia,11,Ia-norm,9.97,11,0.0996
ZTF19aakljys,ZTF19aakljys_20190301_Ekar_v1.ascii,Ia,8,Ia-norm,21.07,8,0.0447
ZTF19aaklqod,ZTF19aaklqod_20200214_P60_v1.ascii,Ia,8,Ia-norm,5.81,7,0.0283
ZTF19aaklquv,ZTF19aaklquv_20190224_P60_v1.ascii,Ia,7,Ia-norm,11.39,7,0.0473
ZTF19aaklsto,ZTF19aaklsto_20190330_APO_v1.ascii,Ic,4,Ic-BL,6.13,4,0.4223
ZTF19aakltef,ZTF19aakltef_20190306_Keck1_v1.ascii,II,11,II-norm,19.47,10,0.0413
ZTF19aakluwr,ZTF19aakluwr_20190226_LT_v1.ascii,Ia,8,Ia-norm,8.02,5,0.0766
ZTF19aaknacv,ZTF19aaknacv_20190224_UH88_v1.ascii,Ic,7,Ic-norm,5.59,7,0.0265
ZTF19aaknate,ZTF19aaknate_20190224_P60_v1.ascii,II,9,IIb,10.57,7,0.0394
ZTF19aaknate,ZTF19aaknate_20190224_P60_v2.ascii,Ia,5,Ia-91T,5.81,5,0.4677
ZTF19aaknate,ZTF19aaknate_20190305_P60_v1.ascii,Gal,2,Gal,4.11,2,0.1861
ZTF19aaknate,ZTF19aaknate_20190305_P60_v2.ascii,Ia,5,Ia-91T,5.75,5,0.2909
ZTF19aaknate,ZTF19aaknate_20190402_P60_v1.ascii,II,8,IIb,5.49,8,0.0153
ZTF19aaknate,ZTF19aaknate_20190414_P60_v1.ascii,Ib,5,IIb,3.67,4,0.004
ZTF19aaknemm,ZTF19aaknemm_20190313_P60_v1.ascii,Ia,4,Ic-norm,7.82,4,0.0745
ZTF19aaknemm,ZTF19aaknemm_20190313_P60_v2.ascii,Ia,9,Ia-norm,8.7,8,0.0707
ZTF19aaknign,ZTF19aaknign_20190307_Keck1_v1.ascii,Ia,4,Ia-norm,7.07,3,0.0905
ZTF19aaknign,ZTF19aaknign_20190315_P200_v2.ascii,Ic,3,Ic-norm,6.49,3,0.583
ZTF19aaknign,ZTF19aaknign_20190316_P60_v1.ascii,Ia,8,Ia-91T,10.38,8,0.0958
ZTF19aaknqmp,ZTF19aaknqmp_20190316_P60_v1.ascii,Ia,5,Ia-norm,8.33,4,0.2982
ZTF19aaknqmp,ZTF19aaknqmp_20190324_P60_v1.ascii,Ic,9,Ic-BL,7.2,8,0.1553
ZTF19aaknqmp,ZTF19aaknqmp_20190406_Keck1_v1.ascii,Ic,31,Ic-BL,11.45,15,0.1648
ZTF19aaknqmp,ZTF19aaknqmp_20190704_Keck1_v3.ascii,Gal,8,Gal,17.06,8,0.1474
ZTF19aaknvlv,ZTF19aaknvlv_20190304_P60_v1.ascii,Ia,8,Ia-norm,10.08,8,0.0905
ZTF19aakoasy,ZTF19aakoasy_20190224_P60_v1.ascii,Ia,7,Ia-norm,7.85,6,0.0178
ZTF19aakoasy,ZTF19aakoasy_20190226_P60_v1.ascii,Ia,11,Ia-norm,18.26,11,0.0372
ZTF19aakoasy,ZTF19aakoasy_20190307_Keck1_v1.ascii,Ia,11,Ia-norm,31.32,11,0.0289
ZTF19aakocxy,ZTF19aakocxy_20190305_P60_v1.ascii,Ib,4,Ib-norm,6.95,4,0.0766
ZTF19aakocxy,ZTF19aakocxy_20190305_P60_v2.ascii,Ia,9,Ia-norm,9.97,8,0.0609
ZTF19aakoese,ZTF19aakoese_20190304_P200_v1.ascii,Ia,8,Ia-norm,9.4,8,0.0606
ZTF19aakozlr,ZTF19aakozlr_20190225_P60_v1.ascii,Ib,3,Ib-norm,6.84,2,0.124
ZTF19aakpccq,ZTF19aakpccq_20190424_P200_v1.ascii,Gal,7,Gal,24.15,7,0.0495
ZTF19aakpccq,ZTF19aakpccq_20190424_P200_v2.ascii,Gal,8,Gal,14.31,8,0.05
ZTF19aakpcfi,ZTF19aakpcfi_20190305_P60_v1.ascii,Ia,10,Ia-norm,22.18,9,0.057
ZTF19aakpcuw,ZTF19aakpcuw_20190304_NOT_v1.ascii,Ib,8,Ib-norm,18.92,8,0.0298
ZTF19aakpcuw,ZTF19aakpcuw_20190926_Keck1_v1.ascii,II,6,IIb,13.2,6,0.0284
ZTF19aakpcuw,ZTF19aakpcuw_20190926_Keck1_v2.ascii,Ib,7,Ib-norm,17.55,5,0.0309
ZTF19aakpfax,ZTF19aakpfax_20190315_P200_v1.ascii,Ia,5,Ia-norm,10.05,5,0.0865
ZTF19aakphow,ZTF19aakphow_20190315_P200_v1.ascii,II,4,II-norm,9.02,4,0.1164
ZTF19aakphow,ZTF19aakphow_20190315_P60_v1.ascii,Gal,6,Gal,6.41,6,0.325
ZTF19aakpkto,ZTF19aakpkto_20191009_P60_v1.ascii,Ic,8,Ic-SLSN,5.15,8,0.2643
ZTF19aakpmoy,ZTF19aakpmoy_20190214_SOAR_v1.ascii,Ia,10,Ia-norm,9.85,5,0.0372
ZTF19aakpmoy,ZTF19aakpmoy_20190225_P60_v1.ascii,Ia,11,Ia-norm,17.85,11,0.0468
ZTF19aakpmqg,ZTF19aakpmqg_20190317_P60_v1.ascii,II,7,II-norm,5.63,7,0.0281
ZTF19aakpmry,ZTF19aakpmry_20190225_P60_v1.ascii,Ia,10,Ia-norm,6.74,5,0.0232
ZTF19aakpwlg,ZTF19aakpwlg_20190324_P60_v1.ascii,Ia,8,Ia-norm,8.14,3,0.0469
ZTF19aakpxfm,ZTF19aakpxfm_20190319_P60_v1.ascii,Ia,9,Ia-91T,5.8,9,0.286
ZTF19aakpxfm,ZTF19aakpxfm_20190406_P60_v1.ascii,II,6,II-norm,5.24,6,0.0335
ZTF19aakrawk,ZTF19aakrawk_20190316_P60_v1.ascii,Ia,9,Ia-norm,10.7,8,0.0745
ZTF19aakrhzj,ZTF19aakrhzj_20190314_P60_v1.ascii,Ia,7,Ia-norm,8.68,7,0.0977
ZTF19aakrnqh,ZTF19aakrnqh_20190314_P60_v1.ascii,Ia,11,Ia-norm,9.25,5,0.1076
ZTF19aakrsuo,ZTF19aakrsuo_20190304_P60_v1.ascii,II,10,II-norm,9.38,10,0.0372
ZTF19aaksqsz,ZTF19aaksqsz_20190406_Keck1_v1.ascii,Ia,9,Ia-norm,17.57,9,0.0874
ZTF19aaksrgj,ZTF19aaksrgj_20190305_P60_v1.ascii,Ia,9,Ia-91T,13.43,5,0.0922
ZTF19aakssnv,ZTF19aakssnv_20190316_P60_v1.ascii,II,9,II-norm,12.71,5,0.0221
ZTF19aakswrb,ZTF19aakswrb_20190226_P60_v1.ascii,II,3,II-norm,6.23,3,0.1553
ZTF19aakswrb,ZTF19aakswrb_20190330_P60_v1.ascii,Ic,3,Ic-SLSN,10.04,2,0.8993
ZTF19aakswrb,ZTF19aakswrb_20190529_DCT_v1.ascii,TDE,5,TDE,6.62,5,0.1234
