Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF19aayejww_20190608_P60_v1.ascii,,,,,,,,,,ZTF19aayejww,Ia,13,Ia-norm,3.88,10,0.9198
ZTF19aayejww_20190608_P60_v2.ascii,,,,,,,,,,ZTF19aayejww,Ia,5,Ia-csm,4.22,3,0.5566
ZTF19aayejww_20190610_Gemini_N_v1.ascii,,,,,,,,,,ZTF19aayejww,Ic,6,Ic-SLSN,5.63,4,0.2111
ZTF19aayejww_20190612_HET_v1.ascii,,,,,,,,,,ZTF19aayejww,Gal,8,Gal,4.62,8,0.2445
ZTF19aayejww_20190615_HET_v1.ascii,,,,,,,,,,ZTF19aayejww,Ic,9,Ic-BL,4.97,6,0.0382
ZTF19aazwnwy_20190616_P60_v1.ascii,,,,,,,,,,ZTF19aazwnwy,Ic,9,Ic-SLSN,4.67,7,0.4952
ZTF19aazwnwy_20190625_P60_v1.ascii,,,,,,,,,,ZTF19aazwnwy,Ic,8,Ic-BL,5.3,5,0.4285
ZTF19abatvzs_20190627_P60_v1.ascii,,,,,,,,,,ZTF19abatvzs,Ic,5,Ic-SLSN,3.95,5,0.9429
ZTF19abfarpa_20190709_P60_v1.ascii,,,,,,,,,,ZTF19abfarpa,Ic,8,Ic-norm,4.28,5,0.9375
ZTF19abgbbpx_20190725_P60_v1.ascii,,,,,,,,,,ZTF19abgbbpx,Ia,8,Ia-norm,5.65,4,0.1302
ZTF19abgncfz_20190720_P60_v1.ascii,,,,,,,,,,ZTF19abgncfz,Ic,4,Ic-BL,6.53,3,0.0917
ZTF19abgpgyp_20190721_P60_v1.ascii,,,,,,,,,,ZTF19abgpgyp,Ia,6,Ia-91T,3.18,6,0.8405
ZTF19abgpgyp_20190721_P60_v2.ascii,,,,,,,,,,ZTF19abgpgyp,Ia,3,Ia-91T,5.51,3,0.0761
ZTF19abgpgyp_20190726_P60_v1.ascii,,,,,,,,,,ZTF19abgpgyp,Ic,6,Ic-SLSN,3.91,6,0.098
ZTF19abgpgyp_20190731_P60_v1.ascii,,,,,,,,,,ZTF19abgpgyp,II,9,IIb,3.79,9,0.0881
ZTF19abgpgyp_20190801_P200_v1.ascii,,,,,,,,,,ZTF19abgpgyp,Ic,8,Ic-BL,5.12,8,0.3849
ZTF19abgpgyp_20190804_P60_v1.ascii,,,,,,,,,,ZTF19abgpgyp,II,9,II-norm,6.52,9,0.0836
ZTF19abgpgyp_20190807_P60_v1.ascii,,,,,,,,,,ZTF19abgpgyp,TDE,8,TDE,4.5,8,0.0694
ZTF19abnagzk_20190816_P60_v3.ascii,,,,,,,,,,ZTF19abnagzk,Ic,9,Ic-BL,4.56,9,0.317
ZTF19abpaskr_20190817_P60_v1.ascii,,,,,,,,,,ZTF19abpaskr,II,8,IIb,5.19,6,0.3115
ZTF19abpnpcy_20190828_P60_v2.ascii,,,,,,,,,,ZTF19abpnpcy,II,2,Ib-norm,3.73,2,0.768
ZTF19abuzinv_20191213_P60_v1.ascii,,,,,,,,,,ZTF19abuzinv,II,4,AGN,6.16,4,0.0318
ZTF19abywduc_20190918_P60_v1.ascii,,,,,,,,,,ZTF19abywduc,Ia,7,Ia-91T,5.4,4,0.0921
ZTF19abzrdup_20191001_P60_v1.ascii,,,,,,,,,,ZTF19abzrdup,Ic,8,Ic-BL,4.49,6,0.1413
ZTF19acaiora_20191001_P60_v1.ascii,,,,,,,,,,ZTF19acaiora,Ic,8,Ic-SLSN,3.96,6,0.7551
ZTF19acbonaa_20191101_P60_v1.ascii,,,,,,,,,,ZTF19acbonaa,II,7,IIb,3.71,7,0.2535
ZTF19acbumks_20191009_P60_v1.ascii,,,,,,,,,,ZTF19acbumks,II,1,IIb,4.75,1,0.7731
ZTF19accczvs_20191008_P60_v2.ascii,,,,,,,,,,ZTF19accczvs,Ic,3,Ic-BL,4.19,3,0.9188
ZTF19acdihrz_20191008_P60_v1.ascii,,,,,,,,,,ZTF19acdihrz,Ia,7,Ia-norm,6.98,7,0.072
ZTF19acgbzam_20191025_P60_v1.ascii,,,,,,,,,,ZTF19acgbzam,Ia,9,Ia-91T,7.13,6,0.0728
ZTF19acgbzam_20191026_P60_v1.ascii,,,,,,,,,,ZTF19acgbzam,Ia,8,Ia-02cx,6.63,5,0.053
ZTF19acgcxop_20191031_P60_v2.ascii,,,,,,,,,,ZTF19acgcxop,Ic,6,Ic-BL,5.91,3,0.4199
ZTF19achagst_20191030_P60_v1.ascii,,,,,,,,,,ZTF19achagst,Ic,6,Ic-norm,8.62,6,0.3224
ZTF19achbhfc_20191024_P60_v2.ascii,,,,,,,,,,ZTF19achbhfc,Ic,7,Ic-norm,4.23,7,0.9214
ZTF19acitkzs_20191103_P60_v1.ascii,,,,,,,,,,ZTF19acitkzs,Ia,9,Ia-91T,8.41,7,0.0943
ZTF19acjwdnu_20191105_NTT_v1.ascii,,,,,,,,,,ZTF19acjwdnu,Ic,10,Ic-SLSN,5.42,9,0.2556
ZTF19acmoifg_20191113_P60_v1.ascii,,,,,,,,,,ZTF19acmoifg,Ic,4,Ib-norm,4.32,3,0.2625
ZTF19acoaoty_20191115_P60_v1.ascii,,,,,,,,,,ZTF19acoaoty,II,3,II-norm,4.98,3,0.0662
ZTF19acocoaq_20191107_P60_v1.ascii,,,,,,,,,,ZTF19acocoaq,Ia,3,Ia-norm,4.88,2,0.3067
ZTF19acoqkxe_20191107_P60_v1.ascii,,,,,,,,,,ZTF19acoqkxe,Ia,5,Ia-norm,7.38,5,0.6012
ZTF19actfpma_20191118_P60_v1.ascii,,,,,,,,,,ZTF19actfpma,Gal,4,Gal,6.77,4,0.3365
ZTF19actnybi_20200101_P60_v1.ascii,,,,,,,,,,ZTF19actnybi,Ia,4,Ia-norm,3.75,4,0.4787
ZTF19acukrxv_20191214_P60_v1.ascii,,,,,,,,,,ZTF19acukrxv,Ic,3,Ic-SLSN,4.25,2,0.9687
ZTF19acxmpnz_20191220_P60_v1.ascii,,,,,,,,,,ZTF19acxmpnz,Gal,8,Gal,7.07,8,0.167
ZTF19acxniuc_20191213_P60_v1.ascii,,,,,,,,,,ZTF19acxniuc,Ia,3,Ia-91T,5.44,3,0.2812
ZTF19acxowrr_20200101_P60_v2.ascii,,,,,,,,,,ZTF19acxowrr,Ia,5,Ia-02cx,4.98,5,0.2594
ZTF19acyjzeo_20200101_P60_v2.ascii,,,,,,,,,,ZTF19acyjzeo,Ib,7,Ib-norm,4.74,5,0.0556
ZTF20aaddbem_20200106_P60_v1.ascii,,,,,,,,,,ZTF20aaddbem,Ib,3,Ibn,4.89,3,0.4924
ZTF20aadtarr_20200114_P60_v1.ascii,,,,,,,,,,ZTF20aadtarr,Gal,5,Gal,5.72,5,0.076
ZTF20aahcslg_20200130_P60_v1.ascii,,,,,,,,,,ZTF20aahcslg,Ic,4,Ic-norm,4.26,4,0.9628
ZTF20aahcslg_20200131_P60_v1.ascii,,,,,,,,,,ZTF20aahcslg,II,5,IIn,4.58,5,0.1727
ZTF20aajvyja_20200212_P60_v1.ascii,,,,,,,,,,ZTF20aajvyja,TDE,6,TDE,3.72,6,0.1001
ZTF20aajvyja_20200218_P60_v1.ascii,,,,,,,,,,ZTF20aajvyja,II,3,AGN,5.05,3,0.0976
ZTF20aaljgcp_20200209_P60_v1.ascii,,,,,,,,,,ZTF20aaljgcp,Ia,5,Ia-norm,4.7,5,0.2777
ZTF20aalsiwo_20200211_P60_v1.ascii,,,,,,,,,,ZTF20aalsiwo,Ic,7,Ic-SLSN,5.14,4,0.7124
