,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
10,ZTF17aaazdba_20190304_P200_v1.ascii,ZTF17aaazdba_20190304_P200_v1_10,SLSN-I,0.0209,SLSN-I/2017egm/ALFOSC+2457904.41,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.7428607,0.2571393,-21.674095,-1.8,ZTF17aaazdba,Ic,7,Ic-BL,8.48,5,0.0747
11,ZTF17aaazdba_20190304_P60_v1.ascii,ZTF17aaazdba_20190304_P60_v1_10,TDE H+He,0.02255,TDE H+He/2016fnl/DBSP+2457630.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.5626577,0.4373423,-1.0422405,2.0,ZTF17aaazdba,Ia,2,Ia-91bg,6.08,2,0.0404
12,ZTF17aaazdba_20190309_Gemini_N_v2.ascii,ZTF17aaazdba_20190309_Gemini_N_v2_10,SLSN-I,0.0209,SLSN-I/2017egm/SPRAT+2457920.3931713,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.37140384,0.6285961,-5.690924,1.8,ZTF17aaazdba,Ia,1,Ia-91bg,3.65,1,0.1975
13,ZTF17aaazdba_20190310_DCT_v1.ascii,ZTF17aaazdba_20190310_DCT_v1_10,IIb,0.0231,IIb/1993J/KAST+2449076.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.34337932,0.6566207,-18.0,1.6,ZTF17aaazdba,TDE,9,TDE,5.94,9,0.023
14,ZTF17aaazdba_20190315_P60_v1.ascii,ZTF17aaazdba_20190315_P60_v1_10,Ia-rapid,0.0209,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.14025432,0.8597457,6.312002,2.0,ZTF17aaazdba,Ic,3,Ic-SLSN,4.27,3,0.2648
15,ZTF17aaazdba_20190316_NOT_v1.ascii,ZTF17aaazdba_20190316_NOT_v1_10,TDE H+He,0.0209,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.1120774,0.8879226,9.906065,2.0,ZTF17aaazdba,Ia,4,Ia-norm,6.03,4,0.0332
16,ZTF17aaazdba_20190319_P60_v1.ascii,ZTF17aaazdba_20190319_P60_v1_10,TDE H+He,0.02255,TDE H+He/2016fnl/DBSP+2457630.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.98379266,0.016207341,-1.0422405,2.0,ZTF17aaazdba,TDE,9,TDE,5.13,9,0.0245
17,ZTF17aaazdba_20190323_Gemini_N_v1.ascii,ZTF17aaazdba_20190323_Gemini_N_v1_10,SLSN-I,0.0209,SLSN-I/2017egm/SPRAT+2457920.3931713,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.34325814,0.65674186,-5.690924,2.0,ZTF17aaazdba,Ic,8,Ic-BL,6.25,8,0.2938
18,ZTF17aaazdba_20190324_P60_v1.ascii,ZTF17aaazdba_20190324_P60_v1_10,TDE H+He,0.0231,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.2500789,0.74992114,9.906065,0.2,ZTF17aaazdba,Ib,4,Ib-norm,7.12,4,0.2818
19,ZTF17aaazdba_20190328_DCT_v3.ascii,ZTF17aaazdba_20190328_DCT_v3_10,II,0.02255,II/2012aw/ALFOSC+2456005.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.77056575,0.22943425,-5.744294,-0.8,ZTF17aaazdba,Ic,9,Ic-BL,5.1,9,0.0592
20,ZTF17aaazdba_20190330_P60_v1.ascii,ZTF17aaazdba_20190330_P60_v1_10,Ia-rapid,0.0209,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.21076168,0.78923833,6.312002,2.0,ZTF17aaazdba,TDE,8,TDE,6.47,8,0.0236
21,ZTF17aaazdba_20190406_P60_v1.ascii,ZTF17aaazdba_20190406_P60_v1_10,Ia-rapid,0.0209,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.18622981,0.8137702,6.312002,2.0,ZTF17aaazdba,TDE,9,TDE,6.27,9,0.0238
22,ZTF17aaazdba_20190417_P60_v1.ascii,ZTF17aaazdba_20190417_P60_v1_10,Ibn,0.0209,Ibn/2005la/DEIMOS+2453709.1509954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.1335088,0.8664912,-1.3490046,2.0,ZTF17aaazdba,TDE,6,TDE,7.12,6,0.0172
23,ZTF17aaazdba_20190424_P60_v1.ascii,ZTF17aaazdba_20190424_P60_v1_10,TDE H+He,0.0231,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.25906593,0.7409341,9.906065,2.0,ZTF17aaazdba,Ic,9,Ic-SLSN,6.15,8,0.7381
24,ZTF17aaazdba_20190501_Keck1_v1.ascii,ZTF17aaazdba_20190501_Keck1_v1_10,IIb,0.0231,IIb/2011dh/LRIS+2455715.8956366,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.992718,0.007282036,-13.9584875,1.2,ZTF17aaazdba,TDE,8,TDE,9.77,8,0.0296
25,ZTF17aaazdba_20190502_DCT_v1.ascii,ZTF17aaazdba_20190502_DCT_v1_10,II,0.02255,II/2012aw/ALFOSC+2456005.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.77206373,0.22793625,-5.744294,-0.4,ZTF17aaazdba,Ic,6,Ic-norm,5.56,6,0.0577
