,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
3003,ZTF19aamljom,ZTF19aamljom_20190326_P60_v1.ascii,53626567,0,6,1,2,0,0
3004,ZTF19aamljom,ZTF19aamljom_20190330_APO_v1.ascii,53626568,2,0,2,2,2,3
3005,ZTF19aamljom,ZTF19aamljom_20190330_P60_v1.ascii,53626569,1,0,0,1,9,0
3006,ZTF19aamljom,ZTF19aamljom_20190418_LT_v1.ascii,53626570,0,4,0,0,0,6
3007,ZTF19aamljom,ZTF19aamljom_20190419_P60_v1.ascii,53626571,1,0,9,0,1,0
3008,ZTF19aamljom,ZTF19aamljom_20190530_P60_v1.ascii,53626572,2,1,7,0,1,0
3009,ZTF19aamljom,ZTF19aamljom_20190714_P60_v1.ascii,53626573,1,7,1,0,0,1
3010,ZTF19aamohrk,ZTF19aamohrk_20190327_P60_v1.ascii,53626574,5,0,1,5,2,0
3011,ZTF19aamoidt,ZTF19aamoidt_20190330_P60_v1.ascii,53626575,2,3,1,1,0,2
3012,ZTF19aamooex,ZTF19aamooex_20190407_APO_v1.ascii,53626576,1,2,3,2,2,0
3013,ZTF19aamoqxy,ZTF19aamoqxy_20190316_P60_v1.ascii,53626577,0,5,2,1,3,0
3014,ZTF19aamowaf,ZTF19aamowaf_20190330_P60_v1.ascii,53626578,6,1,0,0,2,0
3015,ZTF19aamowaf,ZTF19aamowaf_20190330_P60_v2.ascii,53626579,2,0,3,3,1,1
3016,ZTF19aamowaf,ZTF19aamowaf_20190330_P60_v3.ascii,53626580,3,2,1,4,1,0
3017,ZTF19aamoyzf,ZTF19aamoyzf_20190325_P60_v1.ascii,53626581,3,0,2,1,2,2
3018,ZTF19aampokl,ZTF19aampokl_20190319_P60_v1.ascii,53626582,0,4,2,1,1,3
3019,ZTF19aampqcq,ZTF19aampqcq_20190319_P60_v1.ascii,53626583,2,7,0,1,0,0
3020,ZTF19aampyum,ZTF19aampyum_20190401_P60_v1.ascii,53626584,5,7,1,1,0,1
3021,ZTF19aamqebl,ZTF19aamqebl_20190331_P60_v1.ascii,53626585,1,4,0,2,1,1
3022,ZTF19aamqlxu,ZTF19aamqlxu_20190424_P200_v1.ascii,53626586,0,8,1,1,0,0
3023,ZTF19aamqlyl,ZTF19aamqlyl_20190407_P60_v1.ascii,53626587,2,3,0,2,0,3
3024,ZTF19aamrais,ZTF19aamrais_20190411_P60_v1.ascii,53626588,0,1,1,3,2,4
3025,ZTF19aamrais,ZTF19aamrais_20190417_P60_v1.ascii,53626589,4,2,4,0,0,1
3026,ZTF19aamrais,ZTF19aamrais_20190424_P200_v1.ascii,53626590,0,5,1,2,0,3
3027,ZTF19aamrais,ZTF19aamrais_20190524_P200_v1.ascii,53626591,1,0,0,0,9,0
3028,ZTF19aamrnyv,ZTF19aamrnyv_20190318_P60_v1.ascii,53626592,1,4,0,0,5,0
3029,ZTF19aamrnyv,ZTF19aamrnyv_20190318_P60_v2.ascii,53626593,1,0,0,9,0,1
3030,ZTF19aamrnyv,ZTF19aamrnyv_20190326_P60_v1.ascii,53626594,1,0,0,0,10,1
3031,ZTF19aamsetj,ZTF19aamsetj_20190325_P60_v1.ascii,53626595,0,4,4,0,2,0
3032,ZTF19aamsetj,ZTF19aamsetj_20190403_Keck1_v1.ascii,53626596,0,1,1,0,4,3
3033,ZTF19aamsetj,ZTF19aamsetj_20190417_LT_v2.ascii,53626597,0,1,1,1,7,0
3034,ZTF19aamsetj,ZTF19aamsetj_20190418_P60_v1.ascii,53626598,6,0,0,0,3,1
3035,ZTF19aamsetj,ZTF19aamsetj_20190420_NOT_v1.ascii,53626599,2,0,1,6,1,0
3036,ZTF19aamsetj,ZTF19aamsetj_20190423_P60_v1.ascii,53626600,4,2,1,0,3,0
3037,ZTF19aamsetj,ZTF19aamsetj_20190424_P200_v1.ascii,53626601,1,1,2,1,1,4
3038,ZTF19aamsetj,ZTF19aamsetj_20190424_P200_v3.ascii,53626602,2,1,1,6,1,0
3039,ZTF19aamsetj,ZTF19aamsetj_20190429_NOT_v1.ascii,53626603,0,2,6,0,0,0
3040,ZTF19aamsetj,ZTF19aamsetj_20190514_NOT_v1.ascii,53626604,0,0,0,5,0,4
3041,ZTF19aamsetj,ZTF19aamsetj_20190604_Keck1_v1.ascii,53626605,1,0,0,1,1,5
3042,ZTF19aamsnhu,ZTF19aamsnhu_20190329_P60_v1.ascii,53626606,0,2,2,1,3,2
3043,ZTF19aamtima,ZTF19aamtima_20190319_P60_v1.ascii,53626607,10,0,1,0,0,0
3044,ZTF19aamtima,ZTF19aamtima_20190406_Keck1_v1.ascii,53626608,1,3,0,4,1,1
3045,ZTF19aamtwiz,ZTF19aamtwiz_20190322_P60_v1.ascii,53626609,2,4,3,1,0,0
3046,ZTF19aamtwiz,ZTF19aamtwiz_20190325_P60_v1.ascii,53626610,0,6,0,0,1,3
3047,ZTF19aamtwiz,ZTF19aamtwiz_20190326_P60_v1.ascii,53626611,6,0,1,4,0,0
3048,ZTF19aamtwiz,ZTF19aamtwiz_20190428_P60_v1.ascii,53626612,6,2,1,1,0,1
3049,ZTF19aamtwwv,ZTF19aamtwwv_20190331_P60_v1.ascii,53626613,1,1,4,1,1,2
3050,ZTF19aamvape,ZTF19aamvape_20190406_P60_v1.ascii,53626614,0,2,1,1,6,1
3051,ZTF19aamvmer,ZTF19aamvmer_20190407_APO_v1.ascii,53626615,2,2,2,2,1,1
3052,ZTF19aamwyzl,ZTF19aamwyzl_20190331_P60_v1.ascii,53626616,1,4,0,4,1,0
3053,ZTF19aanbfaw,ZTF19aanbfaw_20190329_P60_v1.ascii,53626617,0,5,2,0,1,2
3054,ZTF19aanbojt,ZTF19aanbojt_20190325_P60_v1.ascii,53626618,3,2,3,3,0,0
3055,ZTF19aancoel,ZTF19aancoel_20190406_Keck1_v1.ascii,53626619,3,3,0,2,3,0
3056,ZTF19aandjiw,ZTF19aandjiw_20190408_P60_v1.ascii,53626620,3,1,0,5,1,0
3057,ZTF19aanejfr,ZTF19aanejfr_20190324_P60_v1.ascii,53626621,1,1,1,1,5,0
3058,ZTF19aanesgt,ZTF19aanesgt_20190410_LT_v1.ascii,53626622,2,0,2,1,2,3
3059,ZTF19aanesgt,ZTF19aanesgt_20190415_P60_v1.ascii,53626623,3,4,1,0,2,0
3060,ZTF19aanesgt,ZTF19aanesgt_20190424_P200_v1.ascii,53626624,0,0,9,0,1,0
3061,ZTF19aanesgt,ZTF19aanesgt_20190602_P200_v1.ascii,53626625,2,1,5,1,1,0
3062,ZTF19aanesxt,ZTF19aanesxt_20190326_P60_v1.ascii,53626626,0,1,5,0,1,3
3063,ZTF19aanetjx,ZTF19aanetjx_20190331_P60_v1.ascii,53626627,1,2,2,0,2,2
3064,ZTF19aaneugz,ZTF19aaneugz_20190402_P60_v1.ascii,53626628,5,2,0,3,0,0
3065,ZTF19aanevlu,ZTF19aanevlu_20190331_P60_v1.ascii,53626629,2,0,0,3,0,5
3066,ZTF19aanfkyc,ZTF19aanfkyc_20190403_Keck1_v1.ascii,53626630,0,17,3,5,11,5
3067,ZTF19aanfnvl,ZTF19aanfnvl_20190325_P60_v1.ascii,53626631,0,0,0,3,1,5
3068,ZTF19aanfnvl,ZTF19aanfnvl_20190326_P60_v1.ascii,53626632,0,5,0,1,0,5
3069,ZTF19aanfqug,ZTF19aanfqug_20190408_P60_v1.ascii,53626633,2,1,7,0,1,0
3070,ZTF19aanfqug,ZTF19aanfqug_20190422_P60_v1.ascii,53626634,1,5,2,0,0,3
3071,ZTF19aanfqug,ZTF19aanfqug_20190424_P200_v1.ascii,53626635,0,7,1,1,1,1
3072,ZTF19aanfrmq,ZTF19aanfrmq_20190414_P60_v1.ascii,53626636,1,1,1,4,1,3
3073,ZTF19aanfsmc,ZTF19aanfsmc_20190406_Keck1_v1.ascii,53626637,0,3,4,1,0,2
3074,ZTF19aanfsmc,ZTF19aanfsmc_20200218_Keck1_v1.ascii,53626638,0,0,0,1,1,8
