ZTF_Name,spectra_file,sn_type,superfit_sn_type,zooniverse_sn_type,z_sn,in_rcfI,sn_type_rcfI,in_marshall,sn_type_marshall
ZTF19aatmadu,ZTF19aatmadu_20190513_P200_v1.ascii,II,II,II-norm,0.0289,False,,True,II
ZTF19aatqzim,ZTF19aatqzim_20190601_P60_v1.ascii,II,II,II-norm,0.0451,False,,True,II
ZTF19aauisdr,ZTF19aauisdr_20200826_P200_v1.ascii,II,IIn,II-norm,0.0422,False,,True,IIn
ZTF19aauoiow,ZTF19aauoiow_20190608_P60_v1.ascii,II,II,II-norm,0.0099,False,,True,II
ZTF19aauojid,ZTF19aauojid_20190607_P60_v1.ascii,II,II,II-norm,0.045,False,,True,II
ZTF19aauxxgk,ZTF19aauxxgk_20190606_P60_v1.ascii,II,IIb,II-norm,0.0263,False,,True,II
ZTF19aavbkly,ZTF19aavbkly_20190604_P200_v1.ascii,II,II,II-norm,0.0395,False,,True,IIP
ZTF19aavjzrz,ZTF19aavjzrz_20190616_P60_v1.ascii,II,II,II-norm,0.0234,False,,True,IIP
ZTF19aavjztg,ZTF19aavjztg_20190627_P60_v1.ascii,II,IIn,II-norm,0.0199,False,,True,II
ZTF19aavjzwm,ZTF19aavjzwm_20190715_P60_v1.ascii,II,II,II-norm,0.0154,False,,True,IIP
ZTF19aavkptg,ZTF19aavkptg_20190604_P200_v1.ascii,II,II,II-norm,0.0401,False,,True,IIP
ZTF19aavotnx,ZTF19aavotnx_20190626_P200_v1.ascii,II,II,II-norm,0.0307,False,,True,II
ZTF19aawgxdn,ZTF19aawgxdn_20190918_P60_v2.ascii,II,II,II-norm,0.0326,False,,True,IIP
ZTF19aawlkjx,ZTF19aawlkjx_20190513_NTT_v1.ascii,II,II,IIb,0.0176,False,,True,II
ZTF19aawsdlq,ZTF19aawsdlq_20190608_P60_v1.ascii,II,II,II-norm,0.0165,False,,True,II
ZTF19aaxeaag,ZTF19aaxeaag_20190704_Keck1_v2.ascii,II,IIn,II-norm,0.0492,False,,True,IIn
ZTF19aaycrgf,ZTF19aaycrgf_20190701_P200_v1.ascii,II,IIn,II-norm,0.0153,False,,True,IIP
ZTF19aaydtur,ZTF19aaydtur_20190615_P60_v1.ascii,II,II,II-norm,0.0342,False,,True,II
ZTF19aayimmc,ZTF19aayimmc_20190927_P60_v1.ascii,II,II,II-norm,0.0059,False,,True,LBV
ZTF19aayrosj,ZTF19aayrosj_20190708_P60_v1.ascii,II,IIb,II-norm,0.0484,False,,True,II
ZTF19aazlpel,ZTF19aazlpel_20190704_P200_v1.ascii,II,II,II-norm,0.0344,False,,True,II
ZTF19aazudta,ZTF19aazudta_20190623_P60_v1.ascii,II,II,II-norm,0.0197,False,,True,II
ZTF19abacxod,ZTF19abacxod_20190705_P60_v1.ascii,II,IIb,IIb,0.0256,False,,True,IIb
ZTF19abatvzs,ZTF19abatvzs_20190804_P60_v1.ascii,II,II,II-norm,0.0423,False,,True,II
ZTF19abbnamr,ZTF19abbnamr_20191021_P60_v1.ascii,II,IIn,II-norm,0.018,False,,True,IIP
ZTF19abcejlb,ZTF19abcejlb_20190708_P60_v2.ascii,II,IIb,II-norm,0.0295,False,,True,II
ZTF19abclykm,ZTF19abclykm_20190803_P60_v1.ascii,II,IIn,II-norm,0.0916,False,,True,NLS1
ZTF19abdbqgw,ZTF19abdbqgw_20190703_P200_v1.ascii,II,II,II-norm,0.0316,False,,True,II
ZTF19abdkgmf,ZTF19abdkgmf_20190809_P200_v1.ascii,II,II,II-norm,0.0431,False,,True,II
ZTF19abegxfs,ZTF19abegxfs_20190809_P200_v1.ascii,II,II,II-norm,0.0233,False,,True,IIn
ZTF19abfrmvl,ZTF19abfrmvl_20190831_Keck1_v1.ascii,II,II,II-norm,0.0453,False,,True,II
ZTF19abfwdqv,ZTF19abfwdqv_20190718_P60_v1.ascii,II,II,II-norm,0.0131,False,,True,II
ZTF19abgncfz,ZTF19abgncfz_20190904_Lick_3-m_v1.ascii,II,IIn,II-norm,0.0722,False,,True,II
ZTF19abgpgyp,ZTF19abgpgyp_20190827_DCT_v6.ascii,II,IIb,II-norm,0.0853,False,,True,II
ZTF19abgqjyh,ZTF19abgqjyh_20190726_P60_v1.ascii,II,IIn,II-norm,0.0154,False,,True,II
ZTF19abguqsi,ZTF19abguqsi_20190831_Keck1_v1.ascii,II,II,II-norm,0.0494,False,,True,II
ZTF19abiahko,ZTF19abiahko_20190827_P200_v1.ascii,II,II,II-norm,0.0209,False,,True,IIP
ZTF19abitskw,ZTF19abitskw_20190804_P200_v1.ascii,II,IIn,II-norm,0.0408,False,,True,IIP
ZTF19abiyyun,ZTF19abiyyun_20190808_P60_v2.ascii,II,IIn,IIn,0.0439,False,,True,Ic
ZTF19abjgdet,ZTF19abjgdet_20190924_Keck1_v1.ascii,II,II,II-norm,0.0369,False,,True,II
ZTF19abjgdhb,ZTF19abjgdhb_20190806_P60_v1.ascii,II,II,II-norm,0.0297,False,,True,II
ZTF19abjpntj,ZTF19abjpntj_20190901_P60_v1.ascii,II,II,II-norm,0.0534,False,,True,II
ZTF19abkgjmj,ZTF19abkgjmj_20190805_P60_v1.ascii,II,II,II-norm,0.0233,False,,True,II
ZTF19abkinmd,ZTF19abkinmd_20190907_P200_v1.ascii,II,II,II-norm,0.029,False,,True,IIP
ZTF19abllxfy,ZTF19abllxfy_20190804_P200_v1.ascii,II,II,II-norm,0.0169,False,,True,IIP
ZTF19abnitex,ZTF19abnitex_20200819_P60_v1.ascii,II,IIn,II-norm,0.0379,False,,True,-
ZTF19abovuiy,ZTF19abovuiy_20190902_P200_v1.ascii,II,II,II-norm,0.0382,False,,True,II
ZTF19abpwowb,ZTF19abpwowb_20190928_Keck1_v1.ascii,II,IIn,II-norm,0.0348,False,,True,II
ZTF19abpxuaa,ZTF19abpxuaa_20190831_Keck1_v1.ascii,II,II,II-norm,0.0386,False,,True,II
ZTF19abqhobb,ZTF19abqhobb_20200129_NOT_v1.ascii,II,IIn,II-norm,0.0172,False,,True,II
ZTF19abqrhvt,ZTF19abqrhvt_20190919_P60_v1.ascii,II,II,II-norm,0.017,False,,True,II
ZTF19abqrhvy,ZTF19abqrhvy_20190922_P60_v1.ascii,II,II,II-norm,0.0294,False,,True,II
ZTF19abqykei,ZTF19abqykei_20190923_P60_v2.ascii,II,IIb,IIb,0.0409,False,,True,IIb
ZTF19abqyouo,ZTF19abqyouo_20191002_P60_v1.ascii,II,II,II-norm,0.0435,False,,True,IIP
ZTF19abqyoxj,ZTF19abqyoxj_20190911_P60_v1.ascii,II,II,II-norm,0.0403,False,,True,IIP
ZTF19abrbmvt,ZTF19abrbmvt_20190903_Lick_3-m_v1.ascii,II,IIb,II-norm,0.0413,False,,True,II
ZTF19abroizw,ZTF19abroizw_20190831_Keck1_v1.ascii,II,II,II-norm,0.0404,False,,True,II
ZTF19abrtjsf,ZTF19abrtjsf_20191003_P200_v1.ascii,II,II,II-norm,0.0531,False,,True,IIP
ZTF19abtslqm,ZTF19abtslqm_20191003_P200_v1.ascii,II,II,II-norm,0.0268,False,,True,IIP
ZTF19abttrze,ZTF19abttrze_20190831_Keck1_v1.ascii,II,II,II-norm,0.0132,False,,True,II
ZTF19abukakm,ZTF19abukakm_20190927_APO_v1.ascii,II,IIb,Ia-91bg,0.0574,False,,True,II
ZTF19abuszom,ZTF19abuszom_20190910_P60_v1.ascii,II,II,II-norm,0.0126,False,,True,II
ZTF19abuzinv,ZTF19abuzinv_20190922_P200_v1.ascii,II,II,II-norm,0.0284,False,,True,II
ZTF19abwamby,ZTF19abwamby_20190922_P200_v2.ascii,II,II,II-norm,0.0497,False,,True,II
ZTF19abwztsb,ZTF19abwztsb_20191031_Lick_3-m_v1.ascii,II,II,II-norm,0.008,False,,True,II
ZTF19abxgmzr,ZTF19abxgmzr_20200622_Keck1_v1.ascii,II,IIn,II-norm,0.1326,False,,True,SLSN-I.5
ZTF19abxjrge,ZTF19abxjrge_20191007_P60_v1.ascii,II,IIb,IIb,0.0228,False,,True,IIb
ZTF19abxvkya,ZTF19abxvkya_20190910_P60_v1.ascii,II,II,II-norm,0.0152,False,,True,II
ZTF19abyjmhl,ZTF19abyjmhl_20190928_Keck1_v1.ascii,II,II,II-norm,0.2191,False,,True,II
ZTF19abzgdfu,ZTF19abzgdfu_20191009_Lick_3-m_v1.ascii,II,II,II-norm,0.0333,False,,True,IIP
ZTF19abzzuyl,ZTF19abzzuyl_20191005_P200_v1.ascii,II,II,II-norm,0.0314,False,,True,II
ZTF19acahukh,ZTF19acahukh_20191003_P200_v1.ascii,II,II,II-norm,0.045,False,,True,IIP
ZTF19acalxgp,ZTF19acalxgp_20190928_Keck1_v1.ascii,II,II,II-norm,0.0272,False,,True,II
ZTF19acanzwg,ZTF19acanzwg_20191125_P200_v1.ascii,II,II,II-norm,0.0535,False,,True,II
ZTF19acaqqke,ZTF19acaqqke_20191005_P200_v1.ascii,II,II,II-norm,0.0258,False,,True,II
ZTF19acbihxh,ZTF19acbihxh_20191005_P200_v1.ascii,II,II,II-norm,0.0248,False,,True,II
ZTF19acblhxc,ZTF19acblhxc_20191011_P60_v1.ascii,II,II,II-norm,0.0174,False,,True,II
ZTF19acbpqlh,ZTF19acbpqlh_20191005_P200_v1.ascii,II,IIb,II-norm,0.0221,False,,True,II
ZTF19acbpsuf,ZTF19acbpsuf_20191002_P200_v1.ascii,II,II,II-norm,0.03,False,,True,II
ZTF19acbwejj,ZTF19acbwejj_20200105_P60_v1.ascii,II,II,II-norm,0.015,False,,True,II
ZTF19accnzsg,ZTF19accnzsg_20191005_P200_v1.ascii,II,II,II-norm,0.039,False,,True,II
ZTF19acctwpz,ZTF19acctwpz_20191022_NOT_v1.ascii,II,IIb,II-norm,0.0315,False,,True,II
ZTF19aceckht,ZTF19aceckht_20191104_APO_v1.ascii,II,II,II-norm,0.0239,False,,True,IIP
ZTF19acecluy,ZTF19acecluy_20191014_P60_v1.ascii,II,II,II-norm,0.014,False,,True,II
ZTF19aceshib,ZTF19aceshib_20191022_P60_v1.ascii,II,IIb,IIb,0.034,False,,True,II
ZTF19acfejbj,ZTF19acfejbj_20191031_Lick_3-m_v1.ascii,II,IIb,IIb,0.0193,False,,True,IIb
ZTF19acfsbpa,ZTF19acfsbpa_20191105_P200_v1.ascii,II,II,II-norm,0.0234,False,,True,II
ZTF19acgbkzr,ZTF19acgbkzr_20191026_P60_v1.ascii,II,II,II-norm,0.0233,False,,True,II
ZTF19acifduk,ZTF19acifduk_20191125_P200_v1.ascii,II,II,II-norm,0.0514,False,,True,II
